name	ensembl	module	subsystem
DPM1	ENSG00000000419	Glycosylation	ER glycosylation
ARF5	ENSG00000004059	Trafficking	Trafficking regulation
COPZ2	ENSG00000005243	Trafficking	Golgi to ER trafficking
TRAPPC6A	ENSG00000007255	Trafficking	ER to Golgi trafficking
PIGQ	ENSG00000007541	Glycosylation	GPI biosynthesis
CYTH3	ENSG00000008256	Trafficking	Trafficking regulation
SEC62	ENSG00000008952	Folding	Translocation
POMT2	ENSG00000009830	Glycosylation	ER glycosylation
RABGAP1	ENSG00000011454	Trafficking	Trafficking regulation
CAPN1	ENSG00000014216	Folding	ER calcium homeostasis
WAS	ENSG00000015285	Trafficking	Trafficking regulation
GLT8D1	ENSG00000016864	Glycosylation	Golgi glycosylation
RALBP1	ENSG00000017797	Trafficking	Trafficking regulation
ERP44	ENSG00000023318	Folding	Protein folding
SEC63	ENSG00000025796	Folding	Translocation
RABEP1	ENSG00000029725	Trafficking	Trafficking regulation
BAK1	ENSG00000030110	Folding	ER calcium homeostasis
ALG1	ENSG00000033011	Glycosylation	Dolichol pathway
FUT8	ENSG00000033170	Glycosylation	Golgi glycosylation
TBC1D23	ENSG00000036054	Trafficking	Trafficking regulation
RAB27B	ENSG00000041353	Trafficking	Post-Golgi trafficking
HSPA5	ENSG00000044574	Folding	Protein folding
ARAP2	ENSG00000047365	Trafficking	Trafficking regulation
VAMP3	ENSG00000049245	Trafficking	Post-Golgi trafficking
HERPUD1	ENSG00000051108	Capacity control	ERAD
USE1	ENSG00000053501	Trafficking	Golgi to ER trafficking
TRAPPC3	ENSG00000054116	Trafficking	ER to Golgi trafficking
TBC1D22A	ENSG00000054611	Trafficking	Trafficking regulation
CUL1	ENSG00000055130	Capacity control	ERAD
EIF2AK2	ENSG00000055332	Capacity control	UPR
SEC61A1	ENSG00000058262	Folding	Translocation
PSD	ENSG00000059915	Trafficking	Trafficking regulation
PIGV	ENSG00000060642	Glycosylation	GPI biosynthesis
CTSA	ENSG00000064601	Glycosylation	Golgi glycosylation
AP3D1	ENSG00000065000	Trafficking	Post-Golgi trafficking
PDIA5	ENSG00000065485	Folding	Protein folding
