GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
ALG3,0.4951540725,1.0,0.3333333333,0.277296245098114,0.46887807,0.4243886277,0.2298883663,0.4230204901,0.4564949006
FBXO6,0.4048302986,0.0,0.3333333333,0.3009108901023865,0.2702352292,0.690202035,0.7099649164,0.7255354993,0.4293765252
CRYAB,0.2505376597,0.0782178179,0.3333333333,0.0958879292011261,0.0748048508,0.5057589427,1.0,0.832266689,0.3963509028
CALR,0.8199726303,0.0,0.3333333333,1.0,0.0898611882,0.3486025407,0.0,0.3050238555,0.3620991935
KIF20A,0.2154718729,0.4978749523,0.0,0.10650337487459183,0.0893410056,0.571131149,0.6963005482,0.6927440093,0.358670864
AGR2,0.0088234623,0.0,0.0,0.015780070796608925,0.0815778294,1.0,0.6140775967,1.0,0.3400323699
STX1A,0.0,0.0161288443,0.0,0.0,0.1269984417,0.8084836507,0.839945201,0.810796452,0.3252940737
KDELR3,0.0,0.0,0.0,0.0,0.1741824104,0.6951935554,0.8687801251,0.8565777796,0.3243417338
RAB37,0.2518618522,0.1555597836,0.0,0.1193140372633934,0.1266415188,0.4684475479,0.6699455743,0.7976353858,0.3236757125
RAB9B,0.3798624083,0.3535744841,0.0,0.0,0.1319642249,0.4848692002,0.5323146518,0.556717266,0.3049127794
HAS1,0.0313993349,0.1606250077,0.0,0.0,0.1259955674,0.7141911956,0.4575843431,0.8677580625,0.2946941889
YKT6,0.3271842589,0.019777584,1.0,0.08886110782623291,0.1661470021,0.4240674183,0.0,0.2821337666,0.2885213922
MICALL2,0.0,0.0,0.3333333333,0.0,0.0308679599,0.5767487409,0.623683071,0.6280650919,0.2740872746
PDIA5,0.101881901,0.0008770967,0.3333333333,0.0,0.1564156769,0.4394186233,0.5309673381,0.5625966413,0.2656863263
UGCG,0.518741089,0.1593137999,0.0,0.03760537505149841,0.0309276011,0.3687842889,0.3805044592,0.579698497,0.2594468888
MOGS,0.5886395165,0.490800043,0.0,0.0,0.1436130998,0.3115759459,0.1414469019,0.379016136,0.2568864554
ARFGAP1,0.4235157735,0.0143910241,0.6666666667,0.04747695103287697,0.0186336509,0.3588639021,0.0771690565,0.387203939,0.2492401205
SEC61G,0.294850419,0.9528798636,0.0,0.0907684937119484,0.0772453058,0.3214813564,0.0,0.2557828381,0.2491260346
HAS3,0.0,0.2550588769,0.0,0.0,0.1168068065,0.5816966991,0.3034452249,0.6660699489,0.2403846945
EIF2AK1,0.1181713698,0.1640968996,0.3333333333,0.0,0.4037129056,0.443471233,0.0,0.4082645501,0.2338812864
POMT2,0.1030916553,0.1605603578,0.3333333333,0.07030241936445236,0.1437188821,0.4433609833,0.1322131225,0.4628009127,0.2311727083
BAX,0.9956073682,0.3262140727,0.0,0.0,0.1206110407,0.16320999,0.0,0.2175657052,0.2279010221
RNF185,0.4340322124,0.0476986935,0.3333333333,0.0,0.4317047781,0.2459328434,0.0,0.3059132671,0.224826891
RPN1,1.0,0.0,0.3333333333,0.0,0.0210110992,0.2058010504,0.0,0.1927948272,0.2191175388
TBC1D7,0.1630543105,0.5434039292,0.0,0.044034283608198166,0.2539567722,0.1795490892,0.1164117054,0.3798663227,0.2100345516
PDIA2,0.0,0.0015584823,0.0,0.0,0.0551557644,0.5407156459,0.493035693,0.5755998153,0.2082581751
ARHGEF6,0.0595583704,0.0265499592,0.0,0.0,0.0993644416,0.5761485087,0.306505822,0.5784583768,0.2058231848
GALNT6,0.2919741903,0.0,0.0,0.0,0.0161111411,0.4329048114,0.2987489431,0.5515566664,0.198911969
RAB11FIP1,0.0,0.0478629593,0.0,0.0,0.072698969,0.6369319515,0.2184937242,0.6011376407,0.1971406556
GALNT15,0.2378394804,0.0,0.0,0.0,0.1365376242,0.4624809264,0.1356664958,0.5643525924,0.1921096399
AP3M2,0.0449164704,0.0402906293,0.0,0.0,0.3653404228,0.4157503978,0.154027553,0.4888623409,0.1886484768
JUN,0.1783599875,0.1781517863,0.0,0.1628357619047165,0.0608241358,0.0951999353,0.3249166773,0.4778693864,0.1847697088
BAG1,0.2720834914,0.0559849799,0.0,0.01977793499827385,0.0390837211,0.2826139762,0.2040057425,0.5625713495,0.1795151494
DDIT3,0.0,0.0,0.0,0.0,0.081684997,0.6621253437,0.1824111507,0.4828114362,0.176129116
BAG2,0.2918360149,0.1079829775,0.0,0.01627788506448269,0.1724422297,0.3880802514,0.0108366986,0.417454764,0.1756138526
ASAP1,0.0,0.0,0.0,0.0,0.2411169506,0.4347534686,0.1874489873,0.5229971802,0.1732895733
VAMP2,0.3248491387,0.0962735527,0.3333333333,0.0,0.0860614561,0.1490320322,0.0,0.3672059169,0.1695944287
RAB24,0.0721919641,0.0,0.0,0.11279221624135971,0.4665927603,0.3545403979,0.0,0.3479499933,0.1692584165
BCL2,0.4434394634,0.0330498458,0.0,0.06075827777385712,0.0664670883,0.0408209234,0.2790830515,0.4204835687,0.1680127774
UFD1L,0.6400361561,0.0,0.3333333333,0.0,0.1770278014,0.0417225689,0.0,0.1003411533,0.1615576266
UBE2D1,0.0952933926,0.0,0.0,0.0,0.3603956211,0.3495059762,0.0158297443,0.4693471161,0.1612964813
PIGA,0.0,0.0684509888,0.0,0.0,0.0380675615,0.497516619,0.1460041216,0.5233392445,0.1591723169
EDEM1,0.0551466392,0.0,0.0,0.0,0.061712254,0.4723480337,0.1735381057,0.5077289273,0.158809245
AP1S1,0.0616611793,0.4271052897,0.0,0.0,0.3066785488,0.2213812836,0.0,0.2526994021,0.1586907129
HSPA4L,0.0,0.0,0.0,0.0,0.1358394638,0.3205103593,0.3445267721,0.4683424367,0.158652379
CTSA,0.1390764305,0.0934940335,0.0,0.07428023219108582,0.3231249397,0.3075753573,0.0,0.2841489913,0.1527124981
ASAP3,0.0891421789,0.0,0.0,0.0,0.0775129082,0.422420738,0.1337678894,0.4781817543,0.1501281836
AGR3,0.0528487627,0.0053951355,0.3333333333,0.0,0.0276229619,0.136196361,0.2618223965,0.381547492,0.1498458054
ARHGAP1,0.6530807998,0.0,0.0,0.0,0.1920992964,0.253216815,0.0,0.0815179542,0.1474893582
DNAJB11,0.0,0.8200367644,0.0,0.0,0.0505189355,0.1007130254,0.0,0.2042793799,0.1469435131
NAPB,0.0,0.0661282616,0.0,0.0,0.4601349914,0.3178653843,0.0,0.3204670874,0.1455744656
PSD,0.0026224532,0.0212516346,0.0,0.1439172327518463,0.0514609351,0.1389314409,0.27891275,0.5220407505,0.1448921496
RAB41,0.0,0.0344418029,0.0,0.0,0.5554848441,0.3170237585,0.0,0.2506370973,0.1446984378
SEC62,0.025397263,0.0,0.0,0.016410034149885178,0.3544848881,0.3482202108,0.0,0.4099340149,0.1443058014
BAK1,0.0639070768,0.0257215124,0.0,0.14526189863681793,0.1563174875,0.4026416007,0.0,0.3303189084,0.1405210606
KIF23,0.4415626524,0.2222054662,0.0,0.0,0.0990981779,0.0732213114,0.0,0.2820316524,0.1397649075
GALNT3,0.0,0.0,0.0,0.0,0.0009620954,0.2603097422,0.3047089335,0.5475916351,0.1391965508
SEC16B,0.0595583704,0.0,0.0,0.0,1.0,0.0302209496,0.0,0.014022134,0.1379751818
PIGL,0.0,0.0,0.0,0.0,0.0990827769,0.3212445997,0.2145294175,0.4660234317,0.1376100282
PLIN3,0.0605037413,0.1442479373,0.0,0.0,0.2928534109,0.3913873367,0.0,0.2055579086,0.1368187918
SAR1B,0.1739482564,0.0584907795,0.0,0.0,0.4402053719,0.1577309426,0.0,0.2439345212,0.134288734
PDIA4,0.0,0.0,0.0,0.13163098692893982,0.0858652444,0.2974486603,0.1451635762,0.4082706877,0.1335473944
TRAPPC6A,0.0992639506,0.0,0.0,0.0,0.0911015753,0.3753201889,0.0,0.4961838291,0.132733693
GLT8D2,0.0,0.0,0.0,0.0,0.1879823239,0.5008117324,0.0,0.3652604514,0.1317568135
TBC1D9,0.0529407737,0.0,0.0,0.0,0.1499180908,0.3973371719,0.0187186907,0.4307518655,0.1312083241
DNAJC5B,0.0397055803,0.0,0.0,0.0,0.037397687,0.524282847,0.0,0.4040610998,0.1256809018
FBXO8,0.0870470504,0.0,0.0,0.0,0.2205622503,0.339375967,0.0,0.3553874289,0.1252965871
SEC61A2,0.0775688992,0.0,0.0,0.0,0.30526105,0.1596768391,0.0728601182,0.3834777555,0.1248555828
ARHGEF1,0.0,0.0,0.0,0.0,0.3357672807,0.3466564514,0.0,0.3147867514,0.1246513104
GALNT1,0.0,0.0,0.0,0.0,0.0575121518,0.3915600102,0.1164969648,0.4304052438,0.1244967963
RAB3A,0.1360283768,0.0040445837,0.0,0.0,0.2262012376,0.3992161434,0.0,0.2216971011,0.1233984303
TRAM1,0.0,0.0,0.0,0.010770604014396667,0.2574234264,0.3410859259,0.0,0.3692561097,0.1223170083
VAMP8,0.0,0.3480842897,0.0,0.0,0.1333244324,0.3167140865,0.0,0.1701299303,0.1210315924
HSPA6,0.0,0.0,0.0,0.0,0.1131361195,0.3627723231,0.0739856391,0.4177375775,0.1209539574
RAB3IP,0.0,0.1396257285,0.0,0.0,0.2715078542,0.1684360722,0.019366113,0.3601415904,0.1198846698
SEC61A1,0.3454446819,0.0,0.0,0.058979474008083344,0.1941013466,0.1829292644,0.0,0.1759758343,0.1196788252
SRPRB,0.1835110472,0.0,0.0,0.0,0.4662270521,0.190646142,0.0,0.1142762038,0.1193325556
RAB36,0.0705876982,0.0,0.0,0.0,0.1314074478,0.3244081999,0.0,0.4278221693,0.1192781894
DNAJA2,0.0,0.0,0.0,0.0,0.3135388847,0.2837838055,0.0,0.3548293932,0.1190190104
RAB17,0.0397055803,0.0,0.0,0.0,0.0058759133,0.2115043122,0.2166888003,0.4763268233,0.1187626787
TBC1D10A,0.0529407737,0.0097212546,0.0,0.14278946816921234,0.194302708,0.223757706,0.0,0.3241183263,0.1184537796
TRAPPC5,0.0024901266,0.0282353918,0.0,0.0,0.5846849233,0.174342734,0.0,0.1544837156,0.1180296114
RAB23,0.4061241232,0.2134669014,0.0,0.0,0.1154751451,0.1180450406,0.0,0.0894655161,0.1178220908
NET1,0.0,0.088542908,0.0,0.0,0.1763897855,0.3323654218,0.0,0.3354453823,0.1165929372
TBC1D10B,0.140872177,0.0199399912,0.0,0.0,0.3628169109,0.2023366366,0.0,0.2059696227,0.1164919173
PIGZ,0.0,0.0354489573,0.0,0.0,0.1294191673,0.5093719787,0.0,0.2560888499,0.1162911192
TBC1D24,0.1876447648,0.0565046061,0.0,0.0,0.1771386805,0.1857110308,0.0,0.3215950345,0.1160742646
EDEM2,0.4007379012,0.0,0.0,0.0,0.0735929619,0.2334057934,0.0,0.219277188,0.1158767306
