pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.0585539589990721	4.73975794472942	0.0532979384733337	0.817593550613888	0.904482607823929
ACAP1	0.289664157875277	3.93473477889706	2.79009125671327	0.0959932518212197	0.24958670351469
ACAP2	0.0968239887825136	5.834514575386	1.64153817615909	0.201200248694694	0.397633979997664
ACAP3	-0.199991668036966	6.25346955250365	4.04793153284496	0.0452064019016672	0.153046819427293
AGAP1	0.0446616729486632	4.68733946426008	0.2732402573193	0.601589765937051	0.762975227745094
AGAP2	0.173815671788152	3.6778184762597	1.05148899963086	0.306070851054508	0.514967534518519
AGAP3	-0.302102133985617	7.24351820629886	13.4122817578525	0.000300090260936813	0.00497215566817066
AGR2	-0.507757068042361	7.9314214697196	3.16462435900487	0.0763608184239122	0.215015988719963
AGR3	1.21368134462067	1.38090733630068	9.05578950990574	0.00286296887912839	0.0241310768294694
AKAP10	0.00450135296404323	4.66786370919626	0.00501248609940652	0.943609558886582	0.972204569581271
ALG1	0.0418742737974149	4.29883319429376	0.443359063590632	0.506067039608284	0.692861813471174
ALG10B	0.105249080291815	3.41465233594378	1.10501634288293	0.294096139697159	0.503195970378998
ALG11	0.0892467099579962	2.58441248649427	1.13637899324013	0.287359284855782	0.495716101919224
ALG12	-0.0512129343710699	3.94366833204123	0.620413068708163	0.431576193014561	0.630788840056768
ALG13	-0.15735353438209	4.7725712467211	4.98931601400882	0.0263132794182267	0.108311190640322
ALG14	0.0123405300577739	3.41665756572219	0.0427979291110534	0.836260226587407	0.914582301711872
ALG1L	-0.0867604373310209	4.05020387542436	0.238830935014127	0.625443543260397	0.779790704923578
ALG1L2	0.0359859423463087	-0.592265257371404	0.0598774162228342	0.806873354246747	0.898043530619834
ALG2	-0.103970871268354	5.10328234367859	2.46875475904985	0.11728649770487	0.283086133009617
ALG3	0.0196650448789591	6.37459752756926	0.0880504131378157	0.766895749644599	0.875026091984959
ALG5	-0.00698153818729736	5.23109037974131	0.0110351339624596	0.916414555751812	0.957022552905334
ALG6	-0.0261561116275371	4.32314021800287	0.174140100155131	0.67678579044173	0.815980021330825
ALG8	-0.0504488035143388	5.4886292438978	0.426373433217071	0.514322564122617	0.698895643915033
ALG9	0.000870935793671325	3.0058151263908	0.000193229360650048	0.988919344796554	0.99472094708634
AMFR	0.16268280101073	6.69358767074167	7.74436650756538	0.0057635436133483	0.038747632823866
ANKFY1	-0.0297372502298226	5.86037663383465	0.142508066813542	0.706093171431272	0.836460246284614
AP1B1	-0.0870916525434039	8.04381954847429	1.27983315471847	0.258921452637791	0.46443207447735
AP1G1	-0.00143147047368657	6.70281202076189	0.000495633316724846	0.982254544111981	0.991816573050391
AP1M1	0.0012277853583289	6.08907142186082	0.000389997378251056	0.984258524695518	0.992843096565727
AP1S1	-0.0966086021808153	6.30621805908669	1.74866813917815	0.187149469005573	0.380094775712618
AP1S2	0.350004472186709	3.93765895941454	9.69048748074892	0.00204874035770154	0.0194267217686905
AP3B1	0.0366115922805566	5.9100321423781	0.343249795501242	0.558442706390773	0.732405902384598
AP3B2	0.0257693703713916	2.10642606161239	0.0103955116814033	0.918864449974469	0.95830984031488
