GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GALNT15,0.7646515044,0.3884540225,0.5,0.2351056933403015,0.4114536437,0.8226721995,0.9906281129,1.0,0.639120647
ARAP1,0.0316667439,1.0,1.0,0.190765380859375,0.56311333,0.6493789755,0.6190379088,0.7607819872,0.6018430408
RAB11A,0.6258934968,0.743493356,0.5,0.16908815503120422,0.5485815352,0.5786552109,0.682367592,0.6256207846,0.5592125163
HSPA1L,0.0722732531,0.2803321662,0.0,0.14720453321933746,0.8843079998,1.0,1.0,0.9373266978,0.5401805813
AMFR,0.1700926636,0.4888460393,0.5,0.015206940472126007,0.6495591628,0.6374766759,0.6922317483,0.6272419744,0.4725819006
ALG1L2,0.2615644538,0.0876943231,0.0,0.008510969579219818,0.7151561027,0.875879725,0.7814663801,0.8484646582,0.4473420766
AP1S2,0.1605465618,0.2986843339,0.5,0.2745745778083801,0.3508474875,0.5337147043,0.6730131503,0.5796706292,0.4213814306
DNAJB12,0.2332439549,0.2982919972,0.0,0.06376000493764877,1.0,0.5743748122,0.4993671929,0.6059574392,0.4093744252
DNAJC10,0.2190494127,0.2400969395,0.0,0.02555546537041664,0.5789117823,0.6469248619,0.7278730092,0.737306605,0.3969647595
RAB3A,0.243237414,0.371541843,0.5,0.043751370161771774,0.4510884192,0.375368579,0.5526188319,0.6271979433,0.3956005501
RAB44,0.1292808825,0.1557095625,0.0,0.0,0.573143372,0.7958996803,0.6445896321,0.8531144559,0.3939671982
MAP2K7,0.1648956805,0.4516060714,0.5,0.11159241944551468,0.9069443645,0.3450128095,0.20095303,0.4367831589,0.3897234418
PIGF,0.3070837188,0.4576441935,0.0,0.0,0.5391264703,0.5530039082,0.5510336638,0.6464466314,0.3817923233
COPZ2,1.0,0.3362613002,0.0,0.19845671951770782,0.1331044061,0.2590668513,0.3839774445,0.5630362766,0.3592378748
ALG2,0.3259558223,0.1282326935,0.0,0.0,0.5227765127,0.6170898171,0.6133139875,0.5896315825,0.349625052
TRAM1,0.0805617044,0.1539829741,0.0,0.006377240177243948,0.4691519757,0.6243559077,0.7789396209,0.6586058656,0.3464969111
VAMP1,0.2134887114,0.1848477635,0.0,0.00902921985834837,0.3872466541,0.5566186848,0.7302551058,0.6749791318,0.3445581589
TBC1D1,0.0,0.0413779673,0.0,1.0,0.2603926338,0.6687389727,0.211496073,0.5068554271,0.3361076342
UBA7,0.2085256893,0.0,0.5,0.06207770109176636,0.2154512411,0.6512573264,0.4602632905,0.5853620682,0.3353671646
BCL2,0.1847342374,0.0644563258,0.0,0.1830088049173355,0.4151647068,0.5985172357,0.5473510245,0.6755705243,0.3336003574
SRP14,0.0356250869,0.5824492264,0.0,0.0,0.5749561354,0.4915093188,0.4510965282,0.5305825281,0.333277353
FBXO6,0.0750740552,0.2451734644,0.0,0.13344059884548187,0.472374695,0.5282884413,0.5311981504,0.6674254954,0.3316218626
RAB3IL1,0.0930982424,0.1668273822,0.5,0.05959434062242508,0.191335962,0.5977260467,0.3937243982,0.6057970461,0.3260129273
RAB6B,0.1473314787,0.2228579798,0.0,0.1904573291540146,0.345221869,0.5891112064,0.4064159668,0.7023422693,0.3254672624
STX1A,0.2612328965,0.3810179797,0.0,0.10955853015184402,0.268229638,0.4939119968,0.5410093774,0.5390594486,0.3242524834
SRP9,0.0820318142,0.0413607336,0.0,0.011460942216217518,0.7661632922,0.6306226218,0.4430460063,0.5779240409,0.3190761814
ARHGEF2,0.2173544306,0.0,0.0,0.0,0.4141437754,0.6695228674,0.4953635466,0.6796713319,0.309506994
ERO1A,0.0900087064,0.1022294069,0.0,0.0063406359404325485,0.4438208855,0.5030442346,0.5474973537,0.7442407301,0.3046477441
B4GALT1,0.3217094976,0.0,0.5,0.0,0.4375074547,0.5251764194,0.1621399363,0.4836151495,0.3037685572
SEC61A2,0.085839495,0.0397914412,0.0,0.0041999914683401585,0.5430481975,0.6109258815,0.4445672404,0.6855775841,0.3017437289
SEC16A,0.0910003676,0.0,0.0,0.5356720685958862,0.5615537326,0.3883454146,0.3073853921,0.4639386697,0.2934869556
GALNT18,0.1207171405,0.0797834723,0.0,0.036512523889541626,0.3651002464,0.5386961039,0.5173305282,0.6620748556,0.2900268588
INPP5B,0.1975585319,0.1337957066,0.0,0.05091705918312073,0.6330567906,0.522477641,0.2776175999,0.5041573975,0.2899475908
ERO1B,0.1307182535,0.3626408978,0.0,0.06829848885536194,0.350138609,0.4949283119,0.3279253241,0.5526757126,0.2859156997
ARAP3,0.3216960856,0.0,0.0,0.010245494544506073,0.3621062682,0.5849690283,0.3650181304,0.5846072772,0.2785802855
GXYLT2,0.1341220198,0.4268060966,0.5,0.6097486019134521,0.0982827781,0.0931541134,0.0994558579,0.2666126341,0.2785227627
SEC31B,0.2121319015,0.0391979609,0.0,0.0,0.4288061905,0.5258101419,0.4215872487,0.5518569153,0.2724237948
ARHGEF1,0.0434286773,0.0,0.0,0.10998392105102539,0.5616642473,0.4485346973,0.4521815675,0.5286619279,0.2680568798
DPM1,0.2011878467,0.0,0.0,0.5045402646064758,0.4264356391,0.3085899526,0.2859915659,0.4157208066,0.2678082594
TUSC3,0.0316667439,0.0382958108,0.0,0.09685619920492172,0.2534433814,0.4872726619,0.4686804666,0.7429215516,0.2648921019
NET1,0.1971744437,0.2074103621,0.0,0.03639540076255798,0.2412592394,0.3363166991,0.4724857536,0.5998390932,0.261360124
VTI1A,0.2116107387,0.1308836063,0.0,0.047484200447797775,0.6696982213,0.3773440351,0.2124984516,0.4230154467,0.2590668375
SIL1,0.1528147262,0.437297987,0.0,0.33252209424972534,0.2216131637,0.2609858587,0.3058038189,0.3512957342,0.2577916729
ACAP3,0.3126202538,0.1215522676,0.0,0.24088476598262787,0.2935836905,0.3085621444,0.3197417951,0.4304007182,0.2534182044
SRPRA,0.1295619431,0.2010874185,0.0,0.15859687328338623,0.4814227376,0.3550831651,0.248065637,0.4526414172,0.253307399
AP3D1,0.1374110493,0.0,0.0,0.0,0.7167394152,0.4066031547,0.306575661,0.4086390521,0.2469960415
MGAT1,0.0643021754,0.0,0.0,0.0,0.235273982,0.3908138557,0.666106991,0.6086029765,0.2456374976
UBE2J2,0.0251471201,0.1952499726,0.0,0.6501537561416626,0.5431955701,0.2767053736,0.0,0.26468394,0.2443919666
TMED10,0.164532316,0.4934603755,0.0,0.0,0.3354657954,0.2568968193,0.3116004811,0.3862496434,0.2435256788
COPZ1,0.0870835456,0.0374749425,0.0,0.01919979229569435,0.7447584619,0.6014506193,0.0273235641,0.4199560699,0.2421558744
RAB11B,0.1074604069,0.2119082924,0.0,0.0,0.4434086875,0.4114837941,0.2894903984,0.4393197182,0.2378839122
ATF4,0.187133202,0.2842194538,0.0,0.02097514644265175,0.4288668239,0.2549516204,0.328248047,0.3851932355,0.2361984411
SEC13,0.1074340855,0.0903992085,0.0,0.018076861277222633,0.4759375906,0.4050519912,0.3427616266,0.449685708,0.236168384
GALNT16,0.1306253185,0.1966814029,0.0,0.0,0.3638562028,0.2883389937,0.3406552598,0.5624416934,0.2353248589
JUN,0.3749088174,0.0,0.0,0.44512808322906494,0.1179861615,0.2214303813,0.284853856,0.4354264689,0.234966721
WDR38,0.1119685049,0.0,0.0,0.0,0.6964925541,0.4459617104,0.1925619473,0.4060895132,0.2316342787
BAG2,0.638036776,0.3289122462,0.0,0.0,0.1953426243,0.1135892743,0.2946544698,0.2757764614,0.2307889815
STX2,0.1917517301,0.1004894204,0.0,0.0,0.1958410821,0.5941339392,0.2549567234,0.4996159978,0.2295986116
MAN2A2,0.3318750155,0.2434852778,0.0,0.0,0.226957848,0.5400545264,0.0654065842,0.4177522836,0.2281914419
SPCS3,0.0583681979,0.1065186384,0.0,0.022474277764558792,0.391345502,0.4833524652,0.2789342367,0.440418242,0.222676445
ARHGAP24,0.0773446056,0.2973092834,0.0,0.058759089559316635,0.2131790044,0.353442548,0.3258812051,0.4543353454,0.2225313852
RAB11FIP1,0.1011540345,0.1230222084,0.0,0.18275541067123413,0.2183639384,0.4015004661,0.2388280626,0.5134631296,0.2223859063
RAB14,0.0712501737,0.1367480349,0.0,0.0,0.4683947511,0.3971109614,0.2394230455,0.4278469128,0.2175967349
CRYAB,0.0772545174,0.4466245038,0.0,0.18000826239585876,0.1086658707,0.3471689281,0.135472384,0.4455472032,0.2175927087
B4GALNT1,0.1007543107,0.836008164,0.0,0.0,0.0691814906,0.1235370442,0.2113646828,0.3925199215,0.2166707017
EDEM3,0.2006790607,0.2718607258,0.0,0.0,0.2241807201,0.4868396843,0.1296338165,0.4190172072,0.2165264018
KIF20A,0.0390404557,0.2017718919,0.0,0.0,0.2723923008,0.5275806341,0.1849875334,0.5008567363,0.215828694
EXOC7,0.2098484734,0.4419080854,0.0,0.0,0.3923938372,0.4010195659,0.0,0.2574188075,0.2128235962
DNAJA1,0.1871905514,0.4082071969,0.0,0.0,0.17374655,0.3639485686,0.151506076,0.4136992452,0.2122872735
GBF1,0.1615209566,0.0495182379,0.0,0.005537808407098055,0.5249650099,0.3890491855,0.180764751,0.3788336216,0.2112736964
CANX,0.1169963818,0.0,0.0,0.027576114982366562,0.2289308949,0.3464131383,0.5108016216,0.455553641,0.2107839741
EIF2AK1,0.1116646842,0.0095139005,0.0,0.21173423528671265,0.4056238405,0.2630281788,0.2844980707,0.398214528,0.2105346797
COPA,0.2120813353,0.0603177366,0.0,0.0,0.4196595122,0.4245810351,0.1620079868,0.405233433,0.2104851299
ARHGEF6,0.0183200233,0.1460812652,0.0,0.0,0.2071973004,0.3827138221,0.4019414557,0.5248531177,0.210138373
GALNT14,0.2111379962,0.1931296543,0.0,0.0,0.1401053378,0.3453928154,0.3240341644,0.4586493911,0.2090561699
VAMP7,0.2721248917,0.0,0.0,0.05081125721335411,0.3203804128,0.4942181583,0.1016333672,0.4306468428,0.2087268663
KDELR2,0.2552854417,0.0376300425,0.0,0.0,0.3519902072,0.3406614611,0.3022358748,0.3663343664,0.2067671742
PIGC,0.1979210583,0.0,0.0,0.0,0.3818126724,0.3895464346,0.2883286618,0.3923299062,0.2062423417
SEC16B,0.0414546465,0.2002742942,0.0,0.04113539308309555,0.9661303252,0.2029754954,0.0,0.1908454305,0.2053519481
AP3S1,0.1927409681,0.3390744336,0.0,0.5210503935813904,0.1732524379,0.2928881636,0.0,0.1154983173,0.2043130893
GALNT2,0.1932002564,0.0208886241,0.0,0.0,0.2320544566,0.5610671272,0.1476145711,0.4695552916,0.2030475409
STX16,0.2136454294,0.0665082231,0.0,0.0,0.3152344275,0.4515627221,0.1267921454,0.4490314887,0.2028468045
MAN1A1,0.0804810921,0.1815584685,0.0,0.05005960538983345,0.1665126879,0.3811668456,0.3322998056,0.4237935449,0.2019840062
POMT2,0.032571508,0.2299990175,0.5,0.08534721285104752,0.1077104252,0.2708638504,0.1279889906,0.2555664047,0.2012559262
USO1,0.09025022,0.0349049622,0.0,0.0,0.2836722371,0.4047825984,0.3728715644,0.4146144187,0.2001370001
PIGX,0.296488746,0.167343896,0.0,0.0,0.2130639171,0.3326832987,0.2489301257,0.3227919891,0.1976627466
STT3B,0.0237500579,0.1017412807,0.0,0.0,0.4429891469,0.3007628216,0.2422132605,0.4568122606,0.1960336035
ARFGAP2,0.1286116343,0.084152151,0.5,0.36657410860061646,0.1492942172,0.1530629999,0.0,0.178294546,0.1949987071
SEC61B,0.0841294454,0.0131513856,0.0,0.2092965990304947,0.4301247751,0.4277738364,0.0,0.3914861202,0.1944952702
BCAP31,0.2278207571,0.4187128923,0.0,0.013256656005978584,0.1755953718,0.1869323196,0.204439691,0.321754789,0.1935640596
ALG5,0.1094329761,0.1018111412,0.0,0.5422263145446777,0.4312706849,0.1042459099,0.0274972404,0.2315156868,0.1934999942
RALBP1,0.1865171214,0.1044374737,0.0,0.0,0.1604847309,0.3979999519,0.2133826382,0.4845862219,0.1934260173
RAB42,0.0519622479,0.0182699384,0.0,0.03580675274133682,0.164678684,0.4897507322,0.2235469316,0.5573136776,0.1926661206
TBC1D10A,0.1110535115,0.214533321,0.0,0.0,0.3784329442,0.2831804858,0.2583540493,0.2916583902,0.1921515878
STX18,0.0649574233,0.6290203512,0.0,0.006230680271983147,0.4635164615,0.1064206805,0.0,0.2586067887,0.1910940482
MYO5B,0.1020978642,0.239904951,0.0,0.6321298480033875,0.0652640666,0.2826650883,0.0198037692,0.1830921695,0.1906197196
YOD1,0.1915185888,0.5365016388,0.0,0.0,0.2163324858,0.3308924353,0.0,0.2444847903,0.1899662424
CALR,0.0248687201,0.0,0.0,0.135171577334404,0.3682627536,0.3145023142,0.317699095,0.3503523166,0.1888570971
GALNT12,0.037713004,0.0361429636,0.0,0.009754151105880737,0.1864076066,0.4063004994,0.304429525,0.5295708297,0.1887898224
SEC31A,0.2750951255,0.3360895293,0.0,0.0,0.2471366153,0.3235821363,0.0062012149,0.3118509359,0.1874944446
RASEF,0.0092331243,0.4249772357,0.0,0.40321633219718933,0.0945953165,0.1479543528,0.0644768542,0.3545121746,0.1873706738
SEC11A,0.2301554233,0.0724463603,0.0,0.0,0.5891331969,0.2827629723,0.0,0.3165828138,0.1863850958
CUL1,0.1184478412,0.0,0.0,0.006869776174426079,0.4890818921,0.3831936578,0.1280324537,0.3651634084,0.1863486287
CLTC,0.0851043742,0.1777750076,0.0,0.0,0.2859257027,0.2520815276,0.3127950268,0.3769369601,0.1863273249
AP3S2,0.060285352,0.1933476181,0.0,0.0,0.4796873244,0.456078512,0.0,0.2831700188,0.1840711032
AGAP3,0.0,0.0979739728,0.0,0.07671787589788437,0.3578272428,0.4648004352,0.0649291382,0.4078825598,0.1837664031
GALNT6,0.2407992492,0.1858200567,0.0,0.05492672696709633,0.1717121453,0.2701418283,0.1668339684,0.3665042296,0.1820922756
KDELR3,0.2239607399,0.1596591052,0.0,0.15737780928611755,0.0684307187,0.3479564508,0.1375436212,0.3604280136,0.1819195573
STX3,0.1433097691,0.0,0.0,0.0,0.2485657967,0.3714325365,0.2239400858,0.4668364371,0.1817605782
IQSEC1,0.1153060171,0.0,0.0,0.16776946187019348,0.3045921839,0.3233206926,0.1936074881,0.348707894,0.1816629672
PDIA2,0.0905194368,0.1392837225,0.5,0.0,0.073752643,0.2102317074,0.1015079555,0.336904472,0.1815249922
RAB10,0.0615239595,0.1644808177,0.5,0.0,0.2485809415,0.2853400667,0.0,0.1914552524,0.1814226297
MCF2L,0.1025197186,0.2881397312,0.0,0.24647803604602814,0.0218850787,0.3154629314,0.1759037133,0.291507858,0.1802371334
USE1,0.1184204276,0.2025762309,0.0,0.2544531226158142,0.2789200828,0.3428447543,0.0,0.2285080606,0.1782153349
IQSEC3,0.0556325198,0.4968561492,0.0,0.3518049120903015,0.0193706364,0.3728637241,0.0,0.1214068015,0.1772418429
RAB30,0.3123084677,0.0359782551,0.0,0.24360570311546326,0.1131883374,0.2990153383,0.0383044004,0.3535864731,0.1744983719
RAB34,0.1096101157,0.0798524659,0.0,0.14352726936340332,0.1275332627,0.2630044258,0.2826162541,0.3861104366,0.1740317788
RAB36,0.145500266,0.3817065979,0.0,0.0,0.0801917317,0.1389538107,0.3467928775,0.2959945111,0.1736424744
KIF23,0.079622565,0.1218142675,0.0,0.007864473387598991,0.2245450751,0.3042369862,0.2740708007,0.3745203617,0.1733343162
TRAPPC3,0.2562020822,0.1615431116,0.0,0.02829018607735634,0.3523586676,0.2845178788,0.0,0.2959659206,0.1723597309
TBC1D22A,0.0,0.1042554178,0.0,0.36896780133247375,0.4205015604,0.2963236789,0.0,0.1863081759,0.1720445793
RAB2A,0.1756839257,0.0358090699,0.5,0.08623626828193665,0.2389463577,0.111482356,0.0,0.2277489362,0.1719883642
CTSA,0.2340462064,0.2027245718,0.0,0.26982778310775757,0.1672824092,0.1797253515,0.0311957737,0.289039138,0.1717301542
DPM3,0.2600723067,0.0,0.0,0.1164979487657547,0.1230110556,0.4010237633,0.1300620608,0.3377652087,0.171054043
RAB1B,0.1981657863,0.0746423909,0.0,0.0,0.4885190064,0.3223328833,0.0162992826,0.2670744459,0.1708792244
VAMP8,0.0970614773,0.1217454255,0.0,0.05533245950937271,0.2706837481,0.4301271542,0.0149526089,0.3705003883,0.1700504077
RAB3IP,0.098897677,0.0,0.0,0.0,0.1842122313,0.407924113,0.2544427587,0.4108645518,0.1695426665
TRAPPC6B,0.0860375362,0.0892148452,0.0,0.10733887553215027,0.4013004131,0.2486822868,0.1284191771,0.2885061448,0.1686874098
RAB35,0.2070349066,0.0,0.0,0.007380324881523848,0.6229317026,0.2642404307,0.0,0.2442184474,0.1682257265
GBGT1,0.3152327442,0.2660356528,0.5,0.0,0.0809029683,0.0954726623,0.0089931482,0.0713161721,0.1672441685
UFD1L,0.1450021513,0.1626392149,0.0,0.6676308512687683,0.1530283643,0.1340552572,0.0,0.0747317843,0.1671359529
OSGIN2,0.1377182412,0.0,0.5,0.05053403973579407,0.0970465719,0.2833050452,0.0,0.2671092613,0.1669641449
TBC1D19,0.1706164036,0.0,0.0,0.0,0.4795428022,0.326206779,0.0,0.3570927938,0.1666823473
TRAPPC4,0.0989585746,0.0,0.0,0.0233438890427351,0.4047232616,0.2466538265,0.1762181657,0.3816340903,0.166441476
MGAT5,0.1968067569,0.0,0.0,0.008283378556370735,0.2106867088,0.2198402339,0.2565636049,0.425050223,0.1646538633
SAR1A,0.0750377646,0.0,0.0,0.0,0.6035178979,0.2555107075,0.0,0.3769031256,0.163871187
STX4,0.0375816699,0.0382958108,0.0,0.02612384222447872,0.6216478062,0.2417967495,0.0257857306,0.3101628741,0.1626743104
WFS1,0.0648037294,0.03720574,0.0,0.0,0.260424238,0.3247278905,0.237624505,0.3748868124,0.1624591144
RBX1,0.2552303406,0.0,0.0,0.01915695331990719,0.4012879686,0.3207760479,0.0,0.3027896126,0.1624051154
STT3A,0.0672918307,0.0,0.0,0.0,0.4141347646,0.3448884586,0.0906700976,0.3787895715,0.1619718404
PIGG,0.2107232697,0.3688399055,0.0,0.0,0.2523331366,0.2807692071,0.0,0.1767490567,0.161176822
TBC1D20,0.1272568059,0.0417772482,0.0,0.03134327754378319,0.4005122786,0.2477624034,0.1073170234,0.333365879,0.1611668645
GALNT1,0.1252539521,0.1888207015,0.0,0.21159504354000092,0.1186095542,0.1641121918,0.1718813754,0.3013679656,0.160205098
UBE2D3,0.2701135394,0.0502689129,0.0,0.0,0.467802617,0.2324852363,0.0,0.2605620466,0.160154044
GGA2,0.1401447627,0.3805787479,0.0,0.0,0.155920129,0.3539412012,0.0,0.2414621266,0.1590058709
PIGV,0.1656545555,0.1887109835,0.0,0.0,0.361671094,0.2509415025,0.0,0.2993871463,0.1582956602
CYTH2,0.1513417759,0.1292946834,0.0,0.006709846667945385,0.2597197693,0.2556027146,0.1654347361,0.2919027442,0.1575007838
SPCS1,0.0645402006,0.0,0.0,0.0,0.3077153228,0.411825923,0.1220399316,0.3495534782,0.156959357
TBC1D23,0.1345836615,0.1837535511,0.0,0.00958554819226265,0.4020848448,0.2544819645,0.0,0.2699409525,0.1568038153
UGCG,0.3339332769,0.2600655557,0.0,0.0,0.1307503434,0.2959908604,0.0044503179,0.218566492,0.1554696058
EXOC1,0.5169259931,0.2104737631,0.0,0.0,0.0963855755,0.1982868316,0.0,0.2176595228,0.1549664608
DNAJB11,0.0982887012,0.0,0.0,0.09426860511302948,0.3905328198,0.371988883,0.0,0.2841087423,0.1548984689
AP3M2,0.1567236643,0.0,0.0,0.03805878385901451,0.1713874194,0.264888108,0.2405564335,0.3589872405,0.1538252062
TRAPPC9,0.0091868356,0.0,0.0,0.017069155350327492,0.3069108063,0.4395531706,0.1029161427,0.3537969068,0.1536791272
UBQLNL,0.1582794378,0.0401124384,0.0,0.2640577554702759,0.404411209,0.0860447982,0.0,0.2741506384,0.1533820347
MGAT3,0.1831943536,0.0279466943,0.0,0.0,0.0838548915,0.2166304715,0.3151902258,0.3856958234,0.1515640575
GPLD1,0.191844257,0.0,0.0,0.004052582662552595,0.1753066405,0.3105487157,0.1377381304,0.3919985211,0.1514361059
ARAP2,0.1588205837,0.0401112948,0.0,0.49921536445617676,0.1511383434,0.1269023203,0.0,0.2333916332,0.1511974425
TMED5,0.1670325708,0.0632486346,0.0,0.0,0.3653658696,0.3637089024,0.0,0.2489956472,0.1510439531
ALG10B,0.0431819235,0.0,0.0,0.0,0.2358216376,0.2651190301,0.2189630034,0.4357720933,0.149857211
PIGS,0.1692754017,0.2387187014,0.0,0.0,0.1979704873,0.2885472143,0.0,0.2989916256,0.1491879288
VAMP5,0.3724547434,0.0,0.0,0.0,0.1309629544,0.3918718539,0.0,0.2961708866,0.1489325548
RABGEF1,0.0931159887,0.1436564771,0.0,0.03951052203774452,0.3231334302,0.4087049669,0.0,0.1824156901,0.1488171344
ARHGEF11,0.1887482075,0.127852452,0.0,0.1878022402524948,0.1548459966,0.2653326536,0.000113597,0.2647699976,0.1486831431
SRP19,0.1085905425,0.0760942735,0.0,0.010087111033499241,0.5071168986,0.219383808,0.0,0.2615628386,0.147854434
GGA1,0.0758936145,0.2796160148,0.0,0.0,0.306125344,0.2707984751,0.0,0.243053983,0.1469359289
SRP54,0.200429847,0.1202393195,0.0,0.0,0.3677025578,0.2034632183,0.0,0.2817930264,0.1467034961
BET1,0.1885565799,0.0,0.0,0.0,0.36234757,0.2378503875,0.0478854209,0.3273936378,0.1455041995
ABO,0.0627016753,0.0781547036,0.0,0.06158360466361046,0.1263205987,0.2008903199,0.2539634374,0.37733545,0.1451187237
VTI1B,0.0721349798,0.0765015175,0.0,0.0,0.5580927988,0.2258746263,0.0,0.2197498726,0.1440442244
RAB9B,0.0762801329,0.1033108482,0.0,0.07026979327201843,0.1047342795,0.4157829072,0.0287991144,0.3443090893,0.1429357706
TBC1D13,0.1840853208,0.0409749351,0.0,0.0,0.3070407156,0.1654177851,0.109570872,0.3307401697,0.1422287248
PIGK,0.1668499598,0.3977039308,0.0,0.0,0.2248675438,0.1731006909,0.0,0.1729410595,0.1419328981
PLIN3,0.0578882669,0.3536528644,0.0,0.0,0.2531777785,0.2995838683,0.0,0.1695500978,0.1417316095
CYTH4,0.1785240348,0.0,0.0,0.0,0.1000002967,0.3399560366,0.1068526072,0.406855607,0.1415235728
SAR1B,0.0724825248,0.2544287221,0.0,0.0,0.4008642613,0.1868564218,0.0,0.2086670087,0.1404123673
UGGT1,0.1185312508,0.3332752207,0.0,0.0,0.0651002219,0.3733010335,0.0,0.2278759657,0.1397604616
UBE2E3,0.3030284837,0.0842374985,0.0,0.0,0.1922410471,0.2418556487,0.0,0.2946826857,0.1395056705
EXOC3,0.1109692875,0.4737395433,0.0,0.04725329950451851,0.1837686291,0.1006554754,0.0,0.1949611539,0.1389184236
OPTN,0.240350282,0.0,0.0,0.0,0.0596558058,0.4762767251,0.0,0.3297426608,0.1382531842
OS9,0.2986691943,0.3506587708,0.0,0.18810926377773285,0.1028701912,0.1030339643,0.0,0.0553350301,0.1373345518
PIGN,0.0857263995,0.2264104482,0.0,0.04912467673420906,0.14438812,0.2934953286,0.0,0.2990302632,0.1372719045
ASAP2,0.0145100549,0.0685814116,0.0,0.0,0.1259189703,0.1997121644,0.3420631621,0.3458853781,0.1370838927
RAB40C,0.1213326822,0.0413230982,0.0,0.0,0.1871431147,0.1564991919,0.1870889525,0.4027675321,0.1370193214
VPS45,0.1672246824,0.0,0.0,0.0,0.4730069076,0.2877909864,0.0,0.1667081475,0.1368413405
ARHGDIA,0.0992415636,0.0,0.0,0.04221821203827858,0.3160009895,0.2515815963,0.1430402143,0.2424977542,0.1368225412
ALG8,0.2166855859,0.0,0.0,0.11494113504886627,0.1242421429,0.2198877232,0.219075425,0.1987538891,0.1366982376
FBXO2,0.1696605961,0.0892286016,0.0,0.0,0.1360339289,0.2342708117,0.1212279773,0.334134133,0.1355695061
PIGM,0.1514451744,0.0,0.0,0.0,0.2652696249,0.334662415,0.031736654,0.2969512149,0.1350081354
HAS1,0.1987332776,0.1764250907,0.0,0.0,0.1843112248,0.1169927191,0.1124863393,0.2897760745,0.1348405908
YWHAQ,0.2191530999,0.1000723616,0.0,0.0,0.2461627236,0.2198967705,0.0,0.2929127751,0.1347747163
RAB40A,0.0605990856,0.3111017465,0.0,0.007199517451226711,0.2726069141,0.1939019728,0.0014031919,0.2270073908,0.1342274774
EXOC2,0.2360155693,0.3166975599,0.0,0.14068074524402618,0.0383365918,0.1751926522,0.0,0.1641111134,0.133879279
RAB7A,0.238473038,0.1258762213,0.0,0.07702117413282394,0.2747902147,0.1398678991,0.0,0.2128480406,0.1336095735
DNAJB9,0.17268815,0.1361359696,0.0,0.7139049172401428,0.004236914,0.032732772,0.0,0.0010920565,0.1325988474
RAB24,0.1038216817,0.2653923302,0.0,0.006857790984213352,0.175109424,0.2147871514,0.0,0.2910607425,0.1321286401
DERL3,0.0364216345,0.1388614798,0.0,0.015617354772984982,0.1482398866,0.2315314246,0.1387236378,0.3420464301,0.131430231
