GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GALNT15,0.9027559221,0.2508746775,1.0,0.4112110137939453,0.2806577913,0.4526845496,1.0,0.8217684418,0.6399940495
JUN,0.285564297,0.0303498468,1.0,0.04145285114645958,0.2855677816,0.7690227011,0.8933490315,0.8551421872,0.520056087
SNAP25,0.3605312281,0.1446851989,1.0,1.0,0.1276024989,0.4162095297,0.2620011087,0.4432143513,0.4692804894
EIF2AK1,0.4410548935,0.1476919882,1.0,0.03183397650718689,0.5262771177,0.4139204246,0.3994038463,0.4327314424,0.4241142112
PDIA5,0.2548988309,1.0,1.0,0.825315535068512,0.0070901224,0.2255028669,0.0,0.0462038703,0.4198764032
DNAJC1,0.0,0.0718033777,0.0,0.472195029258728,0.585679104,0.8070919831,0.6988127792,0.7177885687,0.4191713552
ARAP3,0.4050495351,0.0448126491,0.0,0.0,0.3252792569,1.0,0.8578049147,0.7095057051,0.4178065076
TBC1D16,0.5629582525,0.2028332163,1.0,0.4633983075618744,0.2510511276,0.1804265489,0.2765094254,0.3944050121,0.4164477363
SRP14,0.257448325,0.3229246578,0.0,0.20705358684062958,0.7241913301,0.5484103144,0.6506293748,0.6134634634,0.4155151315
RAB32,0.0383013479,0.1249614276,0.0,0.024172086268663406,0.3032813636,0.8579272992,0.9236679775,1.0,0.4090389378
GALNT18,0.2193653747,0.0142216541,0.0,0.30406999588012695,0.2992660609,0.6291494647,0.8696212064,0.8663123601,0.4002507646
TXNDC12,0.1526100507,0.1468062005,0.0,0.6323639750480652,0.6247175128,0.6243731479,0.383881658,0.5421796407,0.3883665232
RAB30,0.1946237971,0.0261230278,1.0,0.20603695511817932,0.150178085,0.3743417211,0.6506963657,0.4878127649,0.3862265896
PIGV,0.1899964612,0.0,0.0,0.18114449083805084,0.5464894708,0.6001630294,0.8631594507,0.6922722968,0.38415315
RAB9A,0.3113861098,0.0,1.0,0.07681775838136673,0.3547732109,0.5732341582,0.1918539377,0.5179159231,0.3782476373
B4GALT1,0.0612821566,0.1755211533,0.0,0.0,0.4096026864,0.6104353988,0.9604955453,0.7194636904,0.3671000788
FBXO6,0.2536707805,0.1054397649,0.0,0.19872429966926575,0.3284278391,0.5039130265,0.8660351018,0.6739227202,0.3662666916
RAB11B,0.2171248807,0.0275919438,0.0,0.5422989726066589,0.5087758925,0.5078786144,0.5220226087,0.5966607532,0.3652942082
UBE2D1,0.1709632892,0.1314824536,0.0,0.12000788748264313,0.4225975978,0.7135389093,0.7240801002,0.6114657314,0.3617669961
