GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
RAB11A,0.0,0.1863389975,1.0,0.19751718640327454,0.5540694872,1.0,1.0,1.0,0.6172407089
RAB39A,0.7582921853,0.6965368547,1.0,0.04613664001226425,0.368422129,0.5441255614,0.5682987858,0.6611693829,0.5803726924
TBC1D14,0.4348439219,0.366794949,1.0,0.021120944991707802,0.2489193314,0.8321413182,0.8646262049,0.8505868533,0.5773791905
HSPA6,0.3668701227,1.0,1.0,0.1865089237689972,0.1153307293,0.6879090877,0.4118582117,0.6887440052,0.557152635
TMX2,0.8153243987,0.437391782,1.0,0.015581277199089527,0.4526841737,0.6312372888,0.4364090599,0.6182508194,0.55085985
AMFR,0.8085928821,0.2075075045,1.0,0.05957669019699097,0.5006262745,0.6878580924,0.3878260276,0.6394459149,0.5364291733
GLT1D1,0.2339061946,0.281904896,1.0,0.3053542375564575,0.6484918065,0.7352034573,0.3982228315,0.6847609313,0.5359805443
GOSR2,0.3037699578,0.1038518375,0.0,0.060956984758377075,1.0,0.9267954244,0.9249657725,0.8318413641,0.5190226676
ALG14,0.8246780739,0.4779976031,0.0,0.0942937433719635,0.8443819068,0.5749481388,0.6558168913,0.6171180052,0.5111542953
SELENOS,0.7335793126,0.5212034491,0.0,0.17442010343074799,0.7103495217,0.5772850154,0.5513679544,0.7288440457,0.4996311753
GXYLT1,0.4088564256,0.0,1.0,0.030382610857486725,0.4111257784,0.7490418269,0.535091916,0.7849398432,0.4899298001
PIGZ,0.4360220421,0.0513477933,1.0,0.1323803812265396,0.247677344,0.7316853984,0.4452318411,0.7609632548,0.4756635069
ALG1L2,0.4723925594,0.5704687365,0.0,0.18261252343654633,0.5415405585,0.8690284202,0.3552148304,0.8125506209,0.4754760312
GALNT16,0.6268070294,0.0,0.0,0.046194009482860565,0.2984291594,0.8772666652,0.844626621,0.9702406919,0.457945522
TUSC3,0.5818374353,0.2759830418,1.0,0.2496383786201477,0.160536456,0.3790277771,0.3347864329,0.5551653368,0.4421218573
NDE1,0.314210382,0.2374865434,0.0,0.0711938664317131,0.3390159073,0.9770978985,0.6363563519,0.9239984214,0.4374199214
DNAJB2,0.0747119398,0.3588899841,0.0,0.0,0.5422830851,0.8715008472,0.6739015019,0.8154495794,0.4170921172
RAB42,0.2714183294,0.6471748105,0.0,0.030961837619543076,0.2299539741,0.7215465166,0.5922347623,0.7810668467,0.4092946347
ACAP3,0.5874764652,0.5979594954,0.0,0.0,0.2219204902,0.6087938085,0.5679364117,0.6721541698,0.4070301051
HAS2,0.5486324297,0.7041956416,0.0,0.03874938189983368,0.1489689283,0.5574812025,0.4727269314,0.7606914824,0.4039307497
COPA,0.7822579209,0.3905154004,0.0,0.003613328095525503,0.2706544239,0.6448226041,0.4817295948,0.5994352387,0.3966285639
MON1A,0.2851365268,0.3353767081,1.0,0.0,0.3227791581,0.4829854272,0.2104941786,0.4556374058,0.3865511756
DOCK5,0.5306675495,0.6971839611,0.0,0.0,0.2308978717,0.6064573055,0.345503964,0.6524561239,0.382895847
RAB11FIP1,0.5759871247,0.3098254488,0.0,0.3155078887939453,0.1352485574,0.4916398787,0.5201255759,0.7124483711,0.3825978557
KDELR1,0.6829385043,0.3094363102,1.0,0.10112349689006805,0.278982596,0.1129983047,0.1620780227,0.3292145657,0.3720964751
RAB17,0.0762684386,0.2766282088,0.0,0.707939088344574,0.206773886,0.4156444874,0.5370218595,0.7266567681,0.3683665921
BCAP31,0.1801538133,0.6915714319,0.0,0.19562886655330658,0.2862367728,0.4721750933,0.5260174741,0.5860948961,0.3672347935
ALG10B,0.2249140689,0.0,0.0,0.017811244353652,0.3578193761,0.8579467189,0.6230175001,0.8369069087,0.3648019771
IQSEC3,0.0400242535,0.0,0.0,0.044560279697179794,0.3347605341,0.8220164932,0.6839606745,0.966761482,0.3615104646
RNF5,0.0,0.1631341387,0.0,0.33474960923194885,0.5163529639,0.633252125,0.5207820639,0.7231402015,0.3614263878
AP3S2,0.3969916056,0.0653231498,1.0,0.06994067132472992,0.4247068896,0.4982588613,0.0,0.3957999829,0.3563776451
COPZ2,0.5212348582,0.2113783748,0.0,0.011511248536407948,0.1676808107,0.8250814801,0.2960066657,0.7642461133,0.3496424439
RAB3A,0.4649744867,0.0,0.0,0.0,0.2509186337,0.8045703663,0.5152252868,0.7232817558,0.3448713162
