pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.582127967701608	4.73358962557906	8.15490384762548	0.00451150652874475	0.0178351296318314
ACAP1	-0.256487357173104	3.81838501900397	3.5420509311404	0.0605354923727774	0.134270848020591
ACAP2	0.160827713336679	5.87486479109397	7.14558919286459	0.00781316651333539	0.0274575459834403
ACAP3	0.0129277440433121	6.28916269081967	0.0248562232069565	0.87480302885813	0.921752729909532
AGAP1	0.0876664250229326	4.67077799273494	1.80763978835581	0.179530784729275	0.302836929673687
AGAP2	-0.597955635215958	3.63030546703109	20.6733436595576	7.16964103517893e-06	0.000102798373495981
AGAP3	-0.297944411628896	7.2358622289618	19.5961433666502	1.22647690901299e-05	0.000159609775111586
AGR2	-0.519499087293523	7.72499341562273	5.22558405767353	0.0227635144966215	0.0629460126315828
AGR3	-0.36912559905899	1.54366995541458	1.16786917966156	0.280471172745054	0.419846196200713
AKAP10	-0.0463022224547432	4.69359341825171	0.65981311712532	0.417094639523639	0.55650724351999
ALG1	-0.0203942576921625	4.28755405879817	0.160562671342182	0.688846551461936	0.789057721541395
ALG10B	-0.161745882246979	3.33864069799888	4.18368408896624	0.0414490405794673	0.100066959934796
ALG11	-0.0276691464506344	2.56596158205926	0.170567300010038	0.679822801627961	0.781845933293131
ALG12	-0.0786688373747296	3.93109750554055	2.29215722684883	0.130795217462407	0.239027441565639
ALG13	-0.28773680320788	4.72534257751013	29.9298201466516	7.78591982933374e-08	2.58007968931212e-06
ALG14	-0.0309972628498366	3.37986771545836	0.370403655723993	0.543119450721646	0.670216528149379
ALG1L	-0.285512758092203	3.92576912121913	4.13228507217197	0.0427126945432064	0.102428307838423
ALG1L2	-0.348132124203583	-0.63999136097905	8.53362237465677	0.00367804533814499	0.0152198573130363
ALG2	0.182197253960882	5.09143941903648	12.2893084209489	0.000505548132065279	0.00315905779590669
ALG3	0.229795987445021	6.39555587921472	18.171255128239	2.50495689890752e-05	0.000279565222462135
ALG5	-0.0687258397713789	5.23782072544254	1.60858128784153	0.205406966054855	0.334082477762913
ALG6	0.024546518144279	4.31275842113472	0.2512441846362	0.61646785789108	0.7311928194942
ALG8	0.0148221553163473	5.46337326018218	0.0649778367519006	0.798921628840602	0.868500192645414
ALG9	0.026697760601746	2.9883012428382	0.300021161577578	0.584165531491814	0.704485576081256
AMFR	-0.137644251838929	6.69635648678946	8.79176169623348	0.00320168035187051	0.013661322569399
ANKFY1	0.0239446121769692	5.83251011445081	0.156325753758248	0.692766558497649	0.791810838317808
AP1B1	-0.10997619160685	8.01710595118359	3.0333497027398	0.0823152039868737	0.169710261239853
AP1G1	0.000140461673395605	6.69771938013604	6.9549206885961e-06	0.997897082043838	0.998580840811879
AP1M1	-0.0859366637635973	6.05698444724709	3.02026073180095	0.0829768285284773	0.170644159735792
AP1S1	-0.102154168517121	6.30746005671272	2.99522207837421	0.084258606238374	0.17235413726393
AP1S2	0.256419909436721	3.92250691962089	8.31545240799535	0.0041368391166125	0.0166729376263078
AP3B1	0.00916358914190256	5.90959608998904	0.0359697863260685	0.84967122723448	0.904952748452163
AP3B2	0.481431507785995	2.2110430547032	5.48761117549438	0.0196264841665769	0.0563599852907067
AP3D1	-0.0345952177989882	7.5728592411531	0.747054091730373	0.387913059620276	0.528328698174538
AP3M1	0.0697433256412183	5.72687761850054	1.61861116175811	0.204002555587596	0.332379970638615
AP3M2	-0.0999884468148658	4.91483835988079	2.19448278824053	0.13926945550549	0.250373981118899
AP3S1	0.139586182984823	5.86536017506481	4.02031738395846	0.0456083928948021	0.107655183690501
AP3S2	-0.0799579627457326	4.3186093981103	3.1974393407363	0.0744878128213928	0.15729991953586
APPL1	0.131177112870299	5.74228501950261	5.0665697283389	0.0249176872147646	0.0673630877684882
APPL2	-0.016120568244819	5.25762710902571	0.0681375710889499	0.794198351505158	0.864883062310224
ARAP1	-0.0806869055956414	7.16871308996537	1.20656896801442	0.272653683539951	0.411476026989802
ARAP2	-0.20562921416424	5.03906181563821	5.42474278557597	0.0203357072495545	0.0578967950843313
ARAP3	-0.567609893550857	5.41219421906344	38.2281549102308	1.51535209584397e-09	1.04661009527348e-07
ARF1	0.0240389862833635	9.19946487045922	0.403154758831425	0.525816655823539	0.654741007610723
ARF3	0.00744005632627135	7.71656187296526	0.0274931072466682	0.868387386252615	0.918000542853057
ARF4	0.180603565985991	7.82156204003758	9.30261115883683	0.0024359407917537	0.0110394087407971
ARF5	-0.00629684226730738	7.60493042680821	0.0150321779060234	0.902479010443938	0.938273459144552
ARF6	0.0729025337181963	7.72722127767672	2.07194717037385	0.150788589657035	0.265457508535194
ARFGAP1	0.0932323069394254	6.99535008590048	2.74409901157312	0.0983748011591679	0.19381106036812
ARFGAP2	0.0534448438021401	6.71919773212822	1.42683602072809	0.232968166033239	0.366348801931672
ARFGAP3	0.0288389525600365	5.65804131812873	0.20341142001166	0.652218312759456	0.760667139506008
ARFGEF1	-0.0323671595053315	6.58709473666978	0.261555964144006	0.609326953169156	0.725036308240503
ARFGEF2	-0.0286104784770456	6.19284611615091	0.187680490589688	0.665080713755013	0.770946023311911
ARFIP1	-0.162988848138193	5.50320376078097	9.51459733503683	0.00217565751949579	0.0100755364991191
ARFIP2	0.126727957099503	5.77349663084681	5.9798198277116	0.0148878866348774	0.0455140146735501
ARHGAP1	-0.123787569831267	7.43317475629046	4.03882475554205	0.0451157972424501	0.106818016675537
ARHGAP24	-0.0783977047573745	2.74321451289928	0.37064213547483	0.542989710749657	0.670216528149379
ARHGAP5	-0.0734548494383209	6.15796383957615	1.02231215703537	0.312564138402119	0.452989121853189
ARHGDIA	-0.0235020610381581	8.35061995072528	0.219121620014002	0.639957351980459	0.750395339785291
ARHGEF1	-0.0322792439991266	7.0405580110044	0.308211173054531	0.579081012112261	0.700170926886297
ARHGEF11	0.0154545215743414	6.22302240805314	0.0792613463156787	0.778442153027426	0.85418495469322
ARHGEF2	-0.0507564998324324	6.13367096631579	0.543396384875659	0.46144779834394	0.598387669193285
ARHGEF6	-0.288367347133705	4.37700796579749	5.90269517093361	0.0155438969157123	0.0471668917095063
ARHGEF7	0.0978904272789119	6.10182270552844	3.02502590640745	0.0827352926143198	0.170421699858189
ASAP1	0.301995624173331	5.73730001229568	12.5887621239414	0.000432698728151322	0.00279967031512086
ASAP2	0.350450049842021	4.4063638947768	9.91221515338038	0.0017612304568533	0.00849295233981664
ASAP3	0.40463465594501	4.84497519308648	15.1151680679903	0.000117850397797796	0.000983096382445424
ATF4	-0.0369227189639013	8.35217432041181	0.435643038051672	0.509601425053514	0.64139587447527
ATF6	0.402697773569642	6.37975376711795	38.6288551318268	1.25589652913596e-09	8.88514201893211e-08
ATF6B	0.0674294171299489	7.28905041181229	1.87704061487773	0.171416409597045	0.292454932461713
ATXN3	-0.00729630476970138	4.76168497855972	0.034461987526652	0.852818838229261	0.907058295705112
ATXN3L	0	NA	NA	1	1
B3GNTL1	-0.232656708358551	3.1252182667814	12.312928452219	0.000499375222076451	0.00313197110140341
B4GALNT1	0.569992277979598	2.78880410796376	7.1795357173118	0.00766922079870392	0.0270586520190337
B4GALNT2	0	NA	NA	1	1
B4GALT1	0.111761859465064	8.11210306910739	2.10563969273801	0.14751730667845	0.261228031556175
B4GALT3	0.481044964531842	6.6134874704928	37.1055628557945	2.56745677667265e-09	1.5716832711332e-07
BAG1	-0.288842543583341	6.9140338163612	10.5631366206547	0.00124827726216126	0.00642393075815483
BAG2	0.213936144887508	4.00044560716451	2.67010967325912	0.103012221867777	0.200360339450967
BAK1	-0.0729240014632876	5.65132545811117	0.730191153723236	0.393317435226626	0.533875607823382
BAX	-0.203383765598402	6.64515632463037	12.4167582208694	0.000473133450260426	0.00300145408750378
BCAP31	-0.136450208889845	8.968069465251	4.93139945029949	0.0269157367672874	0.0716654712780256
