GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
RAB6C,0.5256994272,0.6240892976,1.0,0.20288529992103577,0.3831756135,0.7847243501,0.6579738221,0.919602159,0.6372687462
UBQLN1,0.5290324264,0.4216298671,1.0,0.020674370229244232,0.6539073011,0.3943821591,0.7445340165,0.6126547499,0.5471018613
VAMP2,0.720725406,0.0,0.0,0.05342976003885269,0.7493835444,0.8089942686,1.0,0.9567668923,0.5361624839
ALG8,0.4666792877,0.1545855002,0.0,0.04168345406651497,0.6841845618,1.0,0.8136279073,1.0,0.5200950889
GALNT10,0.2534461468,0.2148559515,1.0,0.28222596645355225,0.4574573961,0.5757458128,0.587818787,0.7550836518,0.5158292141
PAK1,0.4328812884,0.3079538882,0.0,0.689110279083252,0.4050845451,0.8530292115,0.5847653996,0.7909311862,0.5079694748
TBC1D1,0.4516389292,0.4494226176,1.0,0.024968497455120087,0.4767741304,0.5024644644,0.4511509206,0.5905905709,0.4933762663
COG4,0.6810222707,0.7158464335,0.0,0.22016896307468414,0.6133185288,0.4803792318,0.4440354647,0.6157889072,0.471319975
TMX3,0.4367256822,0.2695941519,0.0,0.033041227608919144,0.8216584485,0.9827918631,0.5721543892,0.6310738085,0.4683799464
ARAP3,0.2887753456,0.3061243372,1.0,0.05539378523826599,0.4441471009,0.3853940241,0.5839195056,0.6271209995,0.4613593873
FBXO6,0.4551513499,0.2045698961,1.0,0.12949712574481964,0.3056010324,0.5420558131,0.4734074962,0.5606590669,0.4588677225
BCL2,0.7317716744,0.4582958254,0.0,0.2205582857131958,0.2677608095,0.5239846274,0.6530340373,0.7974713123,0.4566095715
SEC11A,0.5820494836,0.3171624111,1.0,0.10470948368310928,0.5158962425,0.5463234198,0.2034458846,0.3089116,0.4473123157
BET1L,0.6389107941,0.1108164307,0.0,0.13803362846374512,0.837450931,0.4307497359,0.6720011325,0.6824545729,0.4388021532
SKP1,0.459316036,0.1770070871,0.0,0.0,0.8516827571,0.847815612,0.5342784676,0.6177132905,0.4359766563
MGAT4B,0.273602158,0.1149133488,0.0,0.0,0.7605324699,0.842466923,0.7289256403,0.7057058869,0.4282683034
TRAPPC2,0.3019358639,0.308978325,0.0,0.40033215284347534,0.6817448117,0.6628849143,0.4512698016,0.5461657745,0.4191639555
EDEM2,0.1576178958,0.4201928316,1.0,0.0,0.5604530783,0.3014900484,0.3963516469,0.4802264251,0.4145414908
RAB37,0.4316762781,0.1598013975,0.0,0.05155277997255325,0.558825353,0.7515968988,0.5845909061,0.7619637873,0.4125009251
MCF2L,0.3887673555,0.5250433496,0.0,0.09629902243614197,0.5383184839,0.6518295107,0.4334537995,0.6306428123,0.4080442917
ALG1L2,0.2361392232,0.1379006789,0.0,0.0,0.7615809646,0.7060954588,0.5783961486,0.8430971325,0.4079012008
SPCS3,0.7293313969,0.5078254629,1.0,0.07589816302061081,0.1506946679,0.4644916717,0.0,0.2160209584,0.3930327901
CTSA,0.240544565,0.4182184402,0.0,0.45353057980537415,0.4605702787,0.5959818383,0.4866280958,0.4861055131,0.3926974139
HAS1,0.6366266996,0.4446599838,0.0,0.10514424741268158,0.3625300088,0.4687316803,0.4725415135,0.6108153479,0.3876311852
SRP68,0.5914388492,0.4319145117,0.0,0.02898823283612728,0.4871128245,0.5542527113,0.4037508338,0.4728040294,0.3712827491
SGSM1,0.3485629013,0.4507490183,0.0,0.2127489447593689,0.3657314988,0.6365758248,0.3816357726,0.5542571921,0.3687826441
RAB40B,0.5657365783,0.5975185697,1.0,0.031018201261758804,0.088093653,0.2565983882,0.072982197,0.3185068272,0.3663068018
GALNT8,0.4812817506,0.2113293635,0.0,0.039203669875860214,0.7622075164,0.4570631203,0.3782691255,0.524225086,0.356697454
UBE2D2,0.1750059829,0.4194525269,0.0,0.053494036197662354,1.0,0.3802048671,0.3404707616,0.4758269101,0.3555568856
RAB3C,0.1497821264,0.2329533533,0.0,0.0782632976770401,0.4943672373,0.6109842076,0.5942514139,0.6796730303,0.3550343333
RAB1B,0.3936189731,0.8655069106,1.0,0.07662246376276016,0.1516763851,0.0543445435,0.0365222986,0.2275492573,0.350730104
MAN1A2,0.421538628,0.2930508514,0.0,0.06762472540140152,0.4353841954,0.5516080259,0.4466939668,0.5354347997,0.3439168991
STX4,0.2411694641,0.2584304345,0.0,0.2151947319507599,0.463242931,0.8292834298,0.3263488646,0.400889651,0.3418199384
