GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
ALG12,0.0857723167,0.6669734723,0.3333333333,0.27583232522010803,0.9163234835,0.7118806586,0.7033143933,0.6043528682,0.5372228564
WDR38,0.151488638,1.0,0.0,0.4478399455547333,0.3246075315,0.7737102388,0.6552227028,0.7034546367,0.5070404617
JUN,0.2444965738,0.2267222445,0.0,0.1131681501865387,0.2129174575,0.9097393646,1.0,0.850771458,0.4447269061
CLTC,0.2309515896,0.0,0.3333333333,0.5154048204421997,0.5435458546,0.9107098031,0.4209464637,0.5703237163,0.4406519476
ERP27,0.1965432317,0.0,0.0,0.0849962905049324,0.2962164717,0.8925101276,0.9286728274,1.0,0.4248673686
LARGE2,0.013025432,0.157936223,0.3333333333,0.023274865001440048,0.2781689908,0.860645255,0.8052461676,0.7767265029,0.4060445962
STX8,0.3119070919,0.0,0.3333333333,0.09345821291208267,0.9122942808,0.6804834905,0.2845096735,0.5174088397,0.3916743653
ARAP2,0.4021051949,0.0,0.0,0.34598949551582336,0.3033899728,0.7482364541,0.6676266411,0.6290554518,0.3870504013
AP3M2,0.106738883,0.1422020527,0.0,0.0,0.6117520808,0.8806335854,0.6904503476,0.6234384095,0.3819019199
DERL3,0.0,0.0,0.0,0.0,0.329123438,1.0,0.7924002866,0.8315859274,0.3691387065
COPZ2,0.1167798119,0.2057315333,0.0,0.05797424539923668,0.2943520564,0.7575178851,0.8041718977,0.6914431633,0.3659963241
RAB3IL1,0.2001354057,0.0,0.0,0.09351477026939392,0.4574940688,0.876632447,0.5890208457,0.6864499029,0.36290593
NSFL1C,0.1000677028,0.4131185643,0.3333333333,0.0982983335852623,0.855614532,0.501136648,0.1451729709,0.3903211289,0.3546329017
RAB6C,0.3342012205,0.0,0.0,0.0,0.1959111581,0.7739107894,0.7604862368,0.7408231429,0.3506665685
DERL1,0.0939341269,0.1677288872,0.3333333333,0.07984578609466553,0.6992987103,0.6601335913,0.268024464,0.4908771155,0.3491470018
ATXN3,0.3219765999,0.1509788625,1.0,0.6505718231201172,0.2512284075,0.152751519,0.0007682957,0.2579862921,0.348282725
MYO5B,0.1948595269,0.0,0.3333333333,0.14539745450019836,0.2583968498,0.6668679472,0.5480555227,0.5934985627,0.3425511496
SRPRB,0.4471701735,0.0,0.0,1.0,0.5652294221,0.4500963315,0.0,0.200551986,0.3328809891
TRAPPC2,0.195756943,0.1620286991,0.0,0.2583775818347931,1.0,0.3834468167,0.2355542985,0.414310626,0.3311843706
SPCS3,0.5850104356,0.2355313503,0.0,0.5495903491973877,0.3128905942,0.34075485,0.224154835,0.350625748,0.3248197703
UBQLNL,0.0667118019,0.0,0.0,0.014026590622961521,0.6160217288,0.5790137879,0.7485307865,0.5410067262,0.3206639277
PSD2,0.2585396644,0.2051969481,0.0,0.0,0.882446372,0.656917048,0.041535165,0.4695587461,0.314274243
VAMP2,0.093230779,0.0707014319,0.0,0.022548165172338486,0.458938971,0.8999012484,0.3492021394,0.6038613722,0.3122980134
TMED8,0.1388058272,0.2506849442,0.0,0.22028082609176636,0.2757147309,0.5262624777,0.5707425849,0.5030498846,0.3106926594
MAN1C1,0.0667118019,0.0,0.0,0.0,0.2642441426,0.91124058,0.6010784255,0.6120013164,0.3069095333
TBC1D8,0.0542862411,0.0630759532,0.3333333333,0.22998960316181183,0.3922652564,0.254064371,0.5871952775,0.5324496865,0.3058324653
GALNT15,0.0500338514,0.0,0.0,0.02817324548959732,0.3768151626,0.9859712975,0.3451087239,0.6594604511,0.3056953415
ARF1,0.5199010131,0.0362822937,0.0,0.18176454305648804,0.7198343743,0.5542953317,0.0,0.3613449555,0.2966778139
HSPA4L,0.0995309989,0.0891216725,0.0,0.0,0.4775887237,0.8179412674,0.2337313696,0.6469699511,0.2956104979
RAB5A,0.1423185107,0.2495344655,0.0,0.2478618621826172,0.7267072777,0.347738374,0.198693505,0.3503256188,0.2828974517
B4GALT1,0.1238933464,0.0311265536,0.0,0.05253572762012482,0.3492266481,0.5156501069,0.5749967675,0.5822142602,0.2787054263
GALNT18,0.0,0.0,0.0,0.34177806973457336,0.3987088499,0.4553781367,0.4438219705,0.5438474724,0.2729418124
RAB41,0.2340471636,0.0952468911,0.0,0.0,0.4092723559,0.6211615818,0.3389994319,0.4748490022,0.2716970533
