pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	0.271473967886027	2.31918958347954	0.405015681706838	0.525047356321451	0.844001237480919
ACAP1	0.211627596670484	3.49026507900854	0.60167158057363	0.438617263611149	0.803272216152368
ACAP2	-0.222436216708295	6.03376067840125	2.20796437618627	0.138462028582443	0.593651448647401
ACAP3	0.162401111719624	5.37915392312787	0.743128561859165	0.389422621930186	0.780924585528195
AGAP1	0.148662813164728	5.83706189917975	1.0523177152567	0.305888595577253	0.733829905629101
AGAP2	0.58039867352015	2.70765312076752	6.57426189323249	0.0108859383739569	0.254625918194351
AGAP3	0.178044414955568	6.27180785870329	1.5715491672409	0.211062485434863	0.661429770235832
AGR2	-0.580805511959886	9.32761483448077	1.41317485077201	0.235570613408347	0.685901988046906
AGR3	-0.190001386213585	7.01431950740833	0.13111931500067	0.7175564824601	0.915409623281193
AKAP10	-0.139542727858157	5.07840353894032	0.778130501050452	0.378495191163426	0.775639042913281
ALG1	0.0864365297368244	4.92472343537529	0.375667086047677	0.540445278223271	0.849907522314453
ALG10B	-0.269910983530542	4.10121461547333	1.8376393908785	0.17635641951915	0.630479942692486
ALG11	-0.158185945838285	3.26400734059349	0.728658317587663	0.394072238609897	0.783940334417555
ALG12	0.450851313714411	4.12135555017806	11.0320266241433	0.00101854652512231	0.0696893744043516
ALG13	-0.135821351317584	4.87022870137295	1.64804513577493	0.200321663380412	0.650739836755067
ALG14	-0.0814575122039213	3.72194118396456	0.373862238585556	0.541419029624974	0.850675523741937
ALG1L	-0.124674254010832	1.59512989099167	0.0521485555495758	0.819538133173981	0.950753912798945
ALG1L2	0.404009695100701	-0.77367309652238	2.38986905861787	0.123290704640729	0.570574080782179
ALG2	-0.0857344948420744	5.43179951114862	0.524733859627605	0.469454165703448	0.817671277760413
ALG3	0.357535419502227	5.91863516428828	4.78602185002298	0.0295458680447901	0.381697510750159
ALG5	0.0185790629458828	5.19805589014203	0.0165150267852315	0.897840058537713	0.974582046185112
ALG6	-0.135486745455273	4.4618258381734	0.884331347743835	0.34785548098914	0.76109962431852
ALG8	-0.519178907450188	6.23579725892996	3.76635128838035	0.0533304188248438	0.457194922000061
ALG9	-0.143011095553284	3.04455412926	1.2571027403816	0.26319266564537	0.70442728157206
AMFR	-0.116092913735105	7.76534662068492	0.277409968221469	0.598834658321116	0.873949218112449
ANKFY1	-0.07761314051041	6.24581220386623	0.333311378677005	0.56419497919045	0.85912832920832
AP1B1	0.146504700455727	7.33180688907085	1.31457758185702	0.25257876681792	0.698877549994995
AP1G1	0.0823125121507295	7.13517900871951	0.263411510307881	0.608204134672625	0.878250428568756
AP1M1	0.0506514524262923	5.77857715490898	0.220239485874207	0.639234814635322	0.888745527266164
AP1S1	0.38255907375192	5.96608223302185	6.17357286316097	0.0135712361206873	0.280524814851262
AP1S2	-0.135584525757751	4.91685263145095	0.632267016731122	0.427220775071233	0.798835772974811
AP3B1	-0.0415229331121672	6.34960990840683	0.120473038227667	0.728791370363625	0.91907711120269
AP3B2	0.11234508172503	2.67976791217389	0.0591542834908409	0.808021637637885	0.946763447404548
AP3D1	0.294239856771954	7.4859565298099	7.93553014960862	0.0052038714337492	0.185758007738852
AP3M1	-0.0361058454884038	6.35106272425691	0.0494259612262636	0.824232612323748	0.952546906165979
AP3M2	-0.410746408967641	5.2644690222436	4.1744341447696	0.0420054068878524	0.423437236241221
AP3S1	-0.0963682189723049	5.86127617065612	0.455163839039935	0.500467966068295	0.832634943177124
AP3S2	-0.0871376465614625	4.99890012048273	0.486323912241794	0.486169504146111	0.825567358358675
APPL1	-0.186900085439063	6.43273415944998	1.68717075412281	0.195078330633924	0.646663809840076
APPL2	-0.0815238683372806	5.79852517337028	0.321780003246926	0.571009428525527	0.860993826041533
ARAP1	0.107270142834628	6.78047647318395	0.59673616293448	0.44049916152079	0.804597752410005
ARAP2	-0.331518554125113	4.09461358502869	2.19889568705416	0.139271520948342	0.59394675374381
ARAP3	-0.138763327047765	4.05988552200801	0.577572786428327	0.447925865571762	0.808169917143991
ARF1	0.343263579121155	9.61208839135552	7.12256679904635	0.00807099654878639	0.222166930853188
ARF3	0.0929875810525989	8.24108004661169	0.572211462202806	0.45003850785914	0.809616383446665
ARF4	0.12662076752073	8.13623105988582	0.982262728081601	0.322524818549622	0.743839369763623
ARF5	0.115272562218739	7.28361396446739	0.579879906101349	0.447021497456692	0.807850100283477
ARF6	-0.240213675361192	7.80200768265562	3.04751146292324	0.0819941377865185	0.511168184755374
ARFGAP1	0.365799364811086	6.79532073343762	5.11981637540975	0.0244457806390144	0.362717587046952
ARFGAP2	0.230210499957346	6.92971282700087	4.60531027873513	0.0327611960707156	0.39592132445208
ARFGAP3	0.0672318387017815	5.83707467914055	0.19330215079629	0.660532733889581	0.895258584106201
ARFGEF1	0.119405895086741	7.42497874312537	0.318433228651143	0.573017433927141	0.862274823683252
ARFGEF2	-0.0524413411005851	7.18866643580119	0.0632071521260624	0.801687404272281	0.94480409148646
ARFIP1	-0.118818841692103	5.93637895572734	0.78152812235183	0.377457742639394	0.775639042913281
