GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
UBQLNL,0.4822198156,0.0,1.0,0.2800094187259674,0.5392578814,0.6501904277,0.7838402965,0.7951726595,0.5663363124
RAB41,0.2428867228,0.3150701909,0.5,0.07905027270317078,0.9007256045,0.5634285137,0.7030377523,0.6371291154,0.4926660215
AP3M2,0.1403631869,0.2033484418,0.5,0.1666019856929779,0.3536629445,0.72190458,0.9485319536,0.8916434566,0.4907570686
MICALCL,0.3809993297,0.1811796779,0.0,0.019082697108387947,0.3907108632,1.0,1.0,0.925094352,0.487133365
WDR38,0.3120661951,0.701620688,0.0,0.4838882386684418,0.263770136,0.4744115001,0.5944725384,0.7531209941,0.4479187863
HAS3,0.1507250096,0.2826516995,0.0,0.6356944441795349,0.2065402201,0.6562422204,0.6861745202,0.9143260176,0.4415442664
MYO5B,0.2454217823,0.157913372,0.0,0.10365864634513855,0.3996602707,0.8134203822,0.9525689505,0.8397891495,0.4390540692
TBC1D10C,0.2222813272,0.4373676854,0.5,0.07254122197628021,0.2617364833,0.5765741718,0.7970871371,0.6065440721,0.4342665124
GALNT18,0.0,0.0,0.0,0.20358745753765106,0.5134634427,0.8174420465,0.8743864846,0.9818035069,0.4238353673
HSPA2,0.4141737426,0.2399406545,0.0,0.6208605170249939,0.252818777,0.5740468746,0.4984404238,0.7457119512,0.4182491176
STX8,0.0803900179,0.3842550622,0.5,0.08883440494537354,0.955999876,0.5374065747,0.1121490166,0.5317878274,0.3988528475
ALG12,0.1329082414,0.0,0.5,0.01934835873544216,0.7275338547,0.4965485485,0.6253642999,0.6685093247,0.3962765785
TBC1D20,1.0,0.7688217408,0.0,0.0,0.5703705638,0.4537566853,0.0,0.3544677234,0.3934270892
RAB3B,0.1786370484,0.3252758738,0.0,0.01461898535490036,0.353753627,0.7944040537,0.5346117287,0.9094105925,0.3888389887
JUN,0.0219158462,0.0,0.5,0.05246718227863312,0.2807530051,0.5245502839,0.7434801143,0.8479705904,0.3713921278
LARGE2,0.05586529,0.0,0.0,0.0,0.3265811351,0.7194090093,0.8298460971,1.0,0.3664626914
ERP27,0.2064735513,0.0,0.0,0.05534407123923302,0.3188235696,0.6642047758,0.6823098287,0.9976518748,0.3656009589
TMX2,0.6707239056,0.5520299173,0.0,0.1345779299736023,0.5904402435,0.4243266767,0.0,0.4098202009,0.3477398592
RAB22A,0.2710120879,0.1844325454,0.0,0.0,0.5805799672,0.5063791476,0.6134641935,0.6038052641,0.3449591507
TMED8,0.5251569244,0.528259469,0.0,0.23967954516410828,0.1854484398,0.3522142321,0.3576922034,0.4779306696,0.3332976854
NSFL1C,0.3634147453,0.1718141547,0.5,0.17636752128601074,0.5136873537,0.5243996908,0.0,0.4158236408,0.3331883883
GPAA1,0.0117230563,0.0853574672,0.0,0.0,0.4699805472,0.7126248721,0.568243561,0.8141235511,0.3327566319
VPS45,0.0,0.0,0.5,0.5023934841156006,0.9465429652,0.2644054892,0.0211374729,0.3914578004,0.3282421515
OSGIN2,0.1020550022,0.3307329486,0.5,0.0,0.3276710785,0.5641779812,0.2331928233,0.5676381249,0.3281834948
SRP72,0.0258820723,0.6180534892,0.0,0.0,0.7079212536,0.3801932813,0.3561685613,0.5254538958,0.3267090692
GPLD1,0.0,0.1394351192,0.0,0.018855806440114975,0.6442130739,0.5307075447,0.630663655,0.6447166446,0.3260739805
MGAT3,0.0988171119,0.2849965941,0.0,0.0,0.2571339366,0.8459410098,0.3685039773,0.683172055,0.3173205856
SRP54,0.1522474844,0.2045638622,0.0,0.8510482907295227,0.457966883,0.4282600829,0.0,0.3475693554,0.3052069948
RAB42,0.6154604557,0.0,0.0,0.0,0.3444866315,0.5185471858,0.3368610503,0.5461843256,0.2951924561
TUSC3,0.0,0.1259795461,0.0,0.0,0.2908077368,0.6377873764,0.4389181979,0.8668551448,0.2950435003
RAB9B,0.2537163875,0.6021827487,0.0,0.42911267280578613,0.3132860099,0.3436756168,0.0386067701,0.3783436201,0.2948654782
RBSN,0.569168739,0.228379919,0.0,0.0,0.5629985743,0.4835673638,0.0456868071,0.4601492261,0.2937438287
SVIP,0.024827024,0.0326961097,0.0,0.0,0.6320487246,0.6980833178,0.3178016142,0.63980093,0.293157215
RAB19,0.0,0.0,0.0,0.0,0.2742832195,0.5373744687,0.7525454388,0.7616223374,0.290728183
RAB20,0.2731373788,0.0607706836,0.0,0.04855435714125633,0.5897898195,0.5156083264,0.3108053639,0.524854402,0.2904400414
AP3D1,0.1563074173,0.4513397843,0.0,0.3667393922805786,0.8032167841,0.2406072254,0.0,0.2694574041,0.2859585009
EXOC7,0.5748188355,0.0951193309,0.0,0.0,0.4025290542,0.4975179211,0.2246388776,0.4846894975,0.2849141896
SNAP29,0.1598598586,0.0,0.0,0.0,0.6651708318,0.492327886,0.4180131426,0.5394878549,0.2843574467
GGA3,0.719783908,0.2950630773,0.0,0.3422962725162506,0.5844100398,0.1487722077,0.0,0.1583826108,0.2810885145
MAN1C1,0.068206873,0.0,0.0,0.2001989632844925,0.3047739593,0.703180396,0.3353700742,0.5943466353,0.2757596126
RAB34,0.1302003896,1.0,0.0,0.0,0.178589183,0.343629667,0.1010352046,0.4177313596,0.2713982255
AP1S1,0.1734792181,0.0,0.5,0.14867113530635834,0.3629052562,0.5151694698,0.0682085996,0.3965457123,0.2706224239
GOSR2,0.6008274061,0.3589143815,0.0,0.10135931521654129,0.4974051136,0.2250676923,0.0217588409,0.3567747575,0.2702634384
STX19,0.2930764075,0.6640709064,0.0,0.0,0.1178477465,0.5280459825,0.0420661061,0.5042262901,0.2686666799
RABEP1,0.004095684,0.2029565321,0.0,0.0,0.3995976003,0.6977347766,0.2105627207,0.6333244273,0.2685339676
PDIA2,0.5772090215,0.1634049979,0.0,0.0,0.4139266916,0.4399893443,0.0483884281,0.4588175346,0.2627170022
RRBP1,0.0,0.0,0.0,0.1900286227464676,0.3499891886,0.6533796262,0.3443872849,0.5588621348,0.2620808572
GALNT1,0.5437011414,0.061818759,0.5,0.26764705777168274,0.3544845869,0.0813309308,0.0,0.1948286527,0.2504763911
GALNT16,0.1953842716,0.0,0.0,0.1589759886264801,0.1663348481,0.4717309516,0.4204477669,0.5620587795,0.2468665758
PIGH,0.4493838248,0.0,0.0,0.03691520169377327,0.3245308545,0.2876867472,0.4409029069,0.4319762805,0.2464244769
RAB3IL1,0.196042453,0.0571917493,0.0,0.37488922476768494,0.2968299144,0.3680949037,0.1840571057,0.4743476522,0.2439316254
GALNT10,0.2300310227,0.0,0.0,0.0,0.3886319032,0.4823596331,0.3371209368,0.5096203523,0.243470481
ATXN3,0.1673961778,0.3245608602,0.0,0.01921463944017887,0.4195764009,0.3766434749,0.1928808604,0.4278016988,0.2410092641
PAK1,0.0,0.1870298169,0.0,0.027406631037592888,0.3546215104,0.6034549243,0.1903265865,0.5564600633,0.2399124416
HSPA5,0.234461126,0.0,0.0,0.0,0.5835649908,0.4454530747,0.1810011414,0.4590883507,0.2379460854
TBC1D22B,0.0288828923,0.0,0.0,0.028497090563178062,0.6429692597,0.4332977872,0.2570333025,0.5083322526,0.2373765731
SNAP47,0.1182743692,0.8725045807,0.0,0.04047873243689537,0.3435848503,0.2376083869,0.0,0.2670617146,0.2349390793
STX10,0.0664033259,0.2365563895,0.0,0.0,0.5826454417,0.5415178157,0.0,0.4229969143,0.2312649859
HSPA4L,0.1563074173,0.0,0.0,0.09401621669530869,0.2835835833,0.4861873169,0.260545701,0.5502833877,0.2288654529
ATF4,0.3579500999,0.1177667906,0.0,0.0,0.4951942164,0.2270855781,0.1709438477,0.4421938815,0.2263918018
ERO1B,0.4545703891,0.0,0.0,0.0,0.2939236583,0.3742765846,0.2030053594,0.4719813554,0.2247196684
RAB27B,0.1973568078,0.3376726941,0.0,0.28777891397476196,0.0763208344,0.3681388339,0.1673545532,0.3619873022,0.2245762424
PSD2,0.5100149757,0.0,0.0,0.0,0.5140222522,0.4083923566,0.0,0.3516315841,0.2230076461
TBC1D14,0.6120345867,0.2407486787,0.0,0.21052825450897217,0.1539664117,0.1405498547,0.1066400753,0.3059642738,0.2213040169
CLTC,0.1025767426,0.1048515403,0.0,0.0,0.3023977392,0.4159309863,0.3293059153,0.5080224006,0.2203856655
GALNT8,0.0341034365,0.0358259266,0.0,0.0,1.0,0.374206629,0.0,0.2928651778,0.2171251462
COPZ1,0.0703383378,0.0,0.0,0.5037970542907715,0.7068472524,0.2774927847,0.0,0.177791718,0.2170333934
