GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
AP3M2,0.4716171339,0.9421280151,0.0,0.2412477731704712,0.5043409145,0.6305641025,0.7240624729,0.6440061223,0.5197458168
MAN1A1,1.0,0.0171117072,0.0,0.0,0.3598237477,0.9380028402,0.6336451281,0.6993481777,0.4559914501
JUN,0.1189638923,0.0,0.0,0.0,0.206927773,1.0,1.0,1.0,0.4157364582
HSPA2,0.7135875435,0.0,0.0,0.09075959026813507,0.0495296756,0.8903880173,0.4764824249,0.6905067042,0.3639067445
BAK1,0.3941319777,0.0288385885,0.5,0.03484495356678963,0.7597718069,0.4905896102,0.2671010907,0.4153372271,0.3613269068
HSP90AA1,0.0,0.0,0.0,0.6291238069534302,0.4037545074,0.5881686145,0.6269993197,0.6326086619,0.3600818638
AGAP1,0.0306111362,0.1319278804,0.0,0.30768072605133057,0.5293779714,0.8127141582,0.4481120259,0.5889701095,0.356174251
RAB27B,0.5282539683,0.3392182837,0.0,0.0,0.2217532707,0.6808282074,0.4644338954,0.590573588,0.3531326517
TBC1D16,0.0,0.2931936166,0.0,0.3772154152393341,0.2833347822,0.735329651,0.4821280779,0.6499706201,0.3526465204
AP3S1,0.0,0.0,0.5,0.0,0.4913756285,0.5522283468,0.6476073112,0.6145607577,0.3507215055
RABGEF1,0.0,0.1945490926,0.5,0.0,0.982918919,0.6027440864,0.1023217729,0.4105385864,0.3491340572
COG4,0.0,0.0,0.0,0.02886350452899933,0.9386074056,0.779263979,0.4410844533,0.5789409116,0.3458450318
UBE2D4,0.2376417234,0.0,1.0,0.1491834968328476,0.5975477298,0.4373236588,0.0,0.3308351831,0.344066474
NET1,0.0,0.3005898348,0.0,0.18662603199481964,0.3308808012,0.8009291084,0.4388460356,0.6072442095,0.3331395027
KDELR1,0.5031348708,1.0,0.0,0.2180764377117157,0.3416531996,0.3575220677,0.0,0.1768117437,0.3246497899
CYTH2,0.3833533413,0.4570895036,0.0,0.25261807441711426,0.4975325462,0.5615342874,0.054061217,0.3413939701,0.3184478675
PSD3,0.3905699112,0.0,0.0,0.03844677284359932,0.1388615028,0.6952205915,0.4886601918,0.7433331908,0.3118865201
DPM1,0.10940388,0.0,0.0,0.507156252861023,0.352434942,0.5878051251,0.4257995106,0.4978484947,0.3100560257
MGAT3,0.7510204082,0.0,0.0,0.026116017252206802,0.1802761291,0.78735198,0.2360637155,0.4872864536,0.308514338
TBC1D1,0.6035112284,0.0,0.0,0.0,0.4948443454,0.5951071464,0.269427117,0.4984611914,0.3076688786
TMX3,0.6618164574,0.0983286679,0.0,0.19290710985660553,0.6877735569,0.4675873544,0.0,0.3194185009,0.3034789559
IQSEC2,0.0541748626,0.2258689877,0.0,0.0,0.4895593268,0.6869749637,0.3945442731,0.4903016254,0.2926780049
ASAP2,0.0,0.0,0.5,0.08383791893720627,0.1440690681,0.6724420969,0.3742909455,0.4884385252,0.2828848193
OPTN,0.2941920235,0.0787759794,0.0,0.24120238423347473,0.2697535795,0.7439677208,0.171169132,0.4624650157,0.2826907294
TMX2,0.1471972029,0.0,0.5,0.20129206776618958,0.698488567,0.4615789521,0.0,0.2458270971,0.2817979859
RALBP1,0.8373676157,0.1698915413,0.0,0.26860910654067993,0.3522493238,0.3698252323,0.0,0.2425086151,0.2800564293
RAB12,0.25,0.0237289834,0.0,0.0,0.6113128726,0.8385980261,0.0,0.4450062919,0.2710807718
STX11,0.2434274586,0.0,0.0,0.0,0.5081061862,0.5433894387,0.3394031984,0.5338428249,0.2710211383
DNAJB2,0.0,0.6377986652,0.0,0.0,0.3842894581,0.4922316322,0.2437966824,0.3869521289,0.2681335708
EXOC2,0.5139573071,0.1162041106,0.5,0.0,0.0759231427,0.4329986319,0.1414853113,0.3143196737,0.2618610222
ALG8,0.0,0.0,0.0,0.0,0.1580194569,0.7921032152,0.5291037921,0.6125780898,0.2614755692
RAB25,0.9523809524,0.3593421806,0.0,0.0,0.1853423029,0.3976283105,0.0,0.1619968762,0.2570863278
AGR2,0.0,0.0,0.0,0.0,0.0684914701,0.8652983373,0.4256217157,0.6915921478,0.2563754589
VCP,0.6948953764,0.0,0.0,0.0,0.475445643,0.6066039911,0.0,0.2505533493,0.253437295
RAB43,0.2989333766,0.0,0.0,0.0,0.8879932604,0.5353111878,0.0,0.3009362233,0.252896756
AP3D1,0.0,0.3842692261,0.0,0.09947848320007324,0.8113976685,0.4348630988,0.0,0.2814384359,0.2514308641
SEC13,0.0644612929,0.0,0.0,0.0,1.0,0.5769001809,0.0,0.326435717,0.2459746488
DNAJB9,0.0,0.0,0.5,0.2252296656370163,0.4812506499,0.3719184234,0.0277669657,0.3571301023,0.2454119759
ARFGAP3,0.0,0.0,0.0,0.0,0.5744184367,0.6066855582,0.2655839262,0.479720047,0.240800996
CTBP1,0.6427237825,0.0,0.0,0.0,0.523651008,0.5026561227,0.0,0.2192158742,0.2360308484
SVIP,0.0908997548,0.0,0.0,0.0,0.2969076788,0.7655961618,0.2590173807,0.4632673275,0.234461038
RAB38,0.0884728114,0.09340008,0.0,0.3401665985584259,0.1337586285,0.3518648655,0.4067359638,0.4555400837,0.2337423789
FUT8,0.4426361539,0.3885419304,0.0,0.18971189856529236,0.1424632764,0.3465722157,0.0681507774,0.2864317909,0.2330635054
TRAPPC9,0.4081632653,0.1162041106,0.0,0.0,0.2653078131,0.6123868231,0.0741525057,0.3831669107,0.2324226786
USP6NL,0.119047619,0.0535646464,0.0,0.17892053723335266,0.2639761225,0.4727617767,0.2904834869,0.4739166084,0.2315838496
PIGA,0.2857142857,0.0,0.0,0.2563379108905792,0.2771917296,0.4091075207,0.2390221703,0.3797919009,0.2308956898
DOCK5,0.0,0.0,1.0,0.0,0.1382569823,0.4075776964,0.0,0.2942930572,0.230015967
RAB29,0.0,0.1479994999,0.0,0.0,0.3139942866,0.6249350043,0.2919169852,0.4291671764,0.226001619
GANAB,0.2216117216,0.0,0.5,0.09180619567632675,0.2696186821,0.4264855876,0.0,0.2854309615,0.2243691436
EIF2AK1,0.2892236759,0.0986847882,0.5,0.0,0.176153728,0.47184367,0.0,0.2430971076,0.2223753712
ARF5,0.2854526426,0.1445782491,0.0,0.10526315122842789,0.5380999622,0.3399525103,0.0,0.3412840235,0.2193288174
PIGL,0.1583178726,0.053974923,0.0,0.0,0.3786068936,0.5063338766,0.2761429923,0.3804519403,0.2192285623
P4HB,0.3414965986,0.1150228077,0.0,0.17718742787837982,0.3634732142,0.4286783171,0.0533432643,0.269011495,0.2185266406
RAB3A,0.0,0.0,0.0,0.1437840759754181,0.1002192707,0.5330179068,0.443764993,0.4797988923,0.2125731423
AP3B1,0.0,0.3760660257,0.5,0.32256609201431274,0.1674880525,0.2251174415,0.0,0.1072362491,0.2123092326
SEC61A2,0.0799457174,0.0,0.0,0.0,0.4160332083,0.5139083669,0.1648442978,0.4861864653,0.207614757
CYTH4,0.3142857143,0.0,0.0,0.0,0.1428574707,0.4800122081,0.2901133485,0.421859331,0.2061410091
TMED8,0.0479283708,0.0,0.0,0.0,0.3039531108,0.5324511185,0.328296803,0.4154205138,0.2035062396
