pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.201816804206573	6.28719803552643	1.58861318983708	0.20888728822663	0.530988098606283
ACAP1	-0.0132434532058798	3.27316263353035	0.00822424095407752	0.927825050892755	0.97215261439388
ACAP2	-0.187805023763643	5.76847367729365	3.41060867636802	0.0661495115447209	0.304985324329519
ACAP3	0.092090617567241	5.53299379403301	0.683273522674759	0.409375961197952	0.716456390384702
AGAP1	-0.010627460724245	6.1075842578651	0.027731158803387	0.86789855855899	0.952737925288599
AGAP2	0.141250837102047	2.70411653599973	0.535396387645289	0.465141765060622	0.754762529575112
AGAP3	0.105507890304594	6.65249672890062	1.5381801217267	0.216237436137622	0.538837978790962
AGR2	-0.108285711860891	10.1058889878448	0.272815847856629	0.601985553867302	0.834053472439244
AGR3	-0.120834507769746	5.50306558005334	0.22033966938637	0.639255763140023	0.855504264202235
AKAP10	0.0450696988776273	4.48356667086827	0.40701327608088	0.524166610680849	0.790947306029597
ALG1	0.0243811153848549	5.20793543556966	0.0940204666148669	0.759422898480806	0.913531447933397
ALG10B	-0.0976629740900346	2.98473080001183	0.359373993847402	0.54948379142905	0.806231078602272
ALG11	0.0395392681136678	3.35356206895841	0.17493992283204	0.67617480468412	0.875104219400244
ALG12	-0.184664395725774	4.26993686032209	3.76378870779628	0.0536785470265823	0.276671983911591
ALG13	-0.404212410529351	5.08155144580741	16.7629285510474	5.99002721206985e-05	0.00663265295753864
ALG14	-0.086426222713645	4.10353354809161	1.35207457412168	0.246201649243961	0.575283515803042
ALG1L	0.00330021455722418	1.4833160305156	0.0003809856030205	0.984445255991222	0.994944068549874
ALG1L2	-0.135912616561701	-0.571851812614336	0.901128870146565	0.343542441891867	0.668293727113506
ALG2	-0.0953616119864189	5.49821529686703	3.0039423889538	0.084492459089852	0.346507520430081
ALG3	0.0604917714963682	6.50849697391142	0.328294759716914	0.567262226281324	0.816270867057368
ALG5	0.102223349309605	5.96282798306712	1.14479808741834	0.285837561023277	0.615523138582577
ALG6	-0.231204024500107	4.09933563321088	8.00851597813076	0.0050957443714616	0.0829238784538009
ALG8	-0.0342260887625515	5.38388596625012	0.217271944031266	0.641597225225539	0.856612179996404
ALG9	-0.162595104866208	3.17786474732152	5.21252518729512	0.0233998095064262	0.181738653154
AMFR	-0.0248533795072243	6.93412352014567	0.154920407450361	0.694266007150603	0.884724520245583
ANKFY1	-0.13927169985872	5.85757990374213	3.42184041856971	0.0657082862068267	0.303982884463644
AP1B1	0.0625526012826948	7.27190144947264	0.543717329667373	0.461698225533488	0.752231811200651
AP1G1	-0.0187257755234691	6.7686017233971	0.0759211754932264	0.783166951702202	0.92183059749225
AP1M1	0.0705682710165599	5.4444985691267	0.852669873265408	0.356830777869403	0.679839163763395
AP1S1	0.0198249847291918	7.05084690203639	0.0324432138237971	0.857227607586248	0.949090059611033
AP1S2	-0.0995989097022382	4.03916838120315	0.657696919463107	0.4182688658279	0.722559979097177
AP3B1	-0.0641843950651508	6.15905984599887	0.875094028016596	0.350595890592684	0.674635500088341
AP3B2	2.46660026827591	0.29796101481936	40.1331608748949	1.36383415478588e-09	1.38933785348038e-06
AP3D1	-0.00647134954573252	7.79178456941376	0.00755274833225023	0.930826482963399	0.973453053526077
AP3M1	-0.0529577912910373	5.93828195232254	0.720994582183907	0.396760030891346	0.707546566824376
AP3M2	-0.0483077045920162	4.48301837509047	0.328599708985808	0.567082420642877	0.816258565006505
AP3S1	-1.85801493321292e-05	5.80866880394444	4.66890234187508e-08	0.999827795823066	0.99996368358465
AP3S2	0.0936676832353232	4.67912852971469	2.30316821043977	0.130575872079857	0.423953586296811
APPL1	-0.196295221465455	5.74040205171947	4.12959198323398	0.0433663728247465	0.248466389182054
APPL2	-0.0191546033190067	5.94609557272883	0.0733070844954579	0.786840276809328	0.923393641913488
ARAP1	0.104107382547768	6.68999507288757	1.84910736494735	0.175308085755518	0.489814445856134
ARAP2	-0.216120264377678	4.43503179189428	3.10630671882817	0.0794070825589345	0.334748582672405
ARAP3	-0.0381141532691099	4.5652983236374	0.0951762965348357	0.757994899255451	0.912968503391993
ARF1	0.0613865239950857	9.47193277354234	0.538298276850936	0.463936195969429	0.753721002815055
ARF3	0.0995580734741441	7.86929033909144	2.86185924697659	0.0921479378634264	0.360778698453443
ARF4	-0.0317051976361319	7.8869875527558	0.175143124965193	0.67599755176886	0.875017415485309
ARF5	0.0482166404016686	7.50232441653115	0.209771203214085	0.647408230628598	0.860367574902294
