GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
COG4,0.2918039368,0.5514675721,0.5,0.07575809955596924,1.0,0.8212513976,1.0,0.9044957646,0.6430970963
DDIT3,0.6395233025,0.6436407633,0.5,0.25996509194374084,0.4483917464,0.6153659682,0.6706537613,0.9779794304,0.594440008
REPIN1,0.1338060916,0.3324948173,0.5,0.09156385809183121,0.5756359065,1.0,0.831771643,0.9614851154,0.553344679
RAB3B,0.3929859311,0.1498312559,1.0,0.1599958837032318,0.3258028114,0.7043019114,0.5904643576,0.9070944712,0.5288095778
GALNT9,0.3624627901,0.1051595691,0.5,0.22791606187820435,0.4249215872,0.5948186018,0.8167957588,1.0,0.5040092961
UBA7,0.2953286135,0.6651898879,1.0,0.07867280393838882,0.1477163273,0.4083514536,0.3928653572,0.5647487391,0.4441091478
EXOC2,0.7181861912,0.0,0.0,0.2703123390674591,0.8581142717,0.5510172318,0.2427742784,0.566843509,0.4009059776
DOCK5,0.1612841283,0.4285441957,0.0,0.0,0.3402257891,0.725795902,0.6736484966,0.7671439562,0.3870803085
RAB33B,0.2904654636,0.3757834074,0.0,0.11885207146406174,0.3494811076,0.6036949025,0.5989909334,0.6946904605,0.3789947933
RAB3D,0.3021481237,0.2547424724,0.0,0.003857457311823964,0.4238307143,0.6323171104,0.6509772467,0.7503255347,0.3772748324
PIGO,0.2380399126,0.1861483092,0.0,0.006236745975911617,0.5956129493,0.6648824383,0.5937475773,0.7322688507,0.3771170979
RAB3IL1,0.3254506524,0.5335971832,0.5,0.07642216235399246,0.2035975037,0.5056730431,0.3148347813,0.4905944697,0.3687712245
PIGN,0.5105901286,0.4054989724,0.0,0.0,0.321912527,0.5820797676,0.4954709364,0.6028224825,0.3647968518
MON1A,0.714857041,0.3148419436,0.0,0.2992579936981201,0.3791025492,0.2908086612,0.3411111965,0.5231490596,0.3578910556
GALNT16,0.6673903341,0.4222535492,0.0,0.011365771293640137,0.439737994,0.3336975818,0.3062177831,0.5305747623,0.338904722
GALNT12,0.3905957234,0.3576732757,0.0,0.0,0.4040246316,0.5304469047,0.3397158417,0.640048794,0.3328131464
STX19,0.1546518007,0.3849093827,0.0,0.0,0.2778863565,0.6490299873,0.4055079905,0.7899046341,0.332736269
GALNT14,0.4822047351,0.05221155,0.0,0.09796718508005142,0.3184122614,0.3774055682,0.6007069659,0.6970689262,0.328247149
RAB9A,0.0,0.0581548045,0.0,0.0,0.6221802642,0.6614509515,0.5650249697,0.6477030864,0.3193142595
ALG6,0.9591881466,0.2020838864,0.5,0.2511187493801117,0.1453087035,0.2271756841,0.0,0.266476006,0.318918897
FBXO6,0.2448500568,0.0267701371,0.0,0.008045763708651066,0.2056688961,0.5067672924,0.6887251116,0.768992623,0.3062274851
BAX,0.0881318969,0.3867728924,0.0,0.0,0.2694088656,0.7298991367,0.2698437412,0.6876323891,0.3039611152
RAB1B,0.1823107999,0.3576343172,0.5,0.04439789801836014,0.1371313453,0.2738616595,0.4547783636,0.4126380745,0.2953440573
OPTN,0.3146036083,0.0959593763,0.0,0.0,0.510084772,0.6468922262,0.1584845552,0.6263294757,0.2940442517
PIGZ,0.4997631459,0.7083366173,0.5,0.06937791407108307,0.0557357432,0.0817869808,0.1467408002,0.2730749688,0.2918520213
RAB39A,0.2305765686,0.0,0.0,0.006474934983998537,0.3649415778,0.4824460559,0.578406676,0.6670596304,0.2912381805
SEC31A,0.3760256306,0.0,0.0,0.05250880867242813,0.3946927771,0.3349411156,0.5437701968,0.6217485414,0.2904608838
MGAT3,0.5650549728,0.0505069305,0.0,0.0,0.1748734619,0.5593327957,0.3330128632,0.5954935662,0.2847843238
RAB26,0.1993949705,0.0,0.0,0.009651432745158672,0.1456295302,0.4799536451,0.4995403347,0.9024059673,0.2795719851
