pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.191456173675704	6.32047375061747	1.06954496677367	0.302718508909619	0.598330648185582
ACAP1	-0.216049990990156	3.18836631023085	1.51352735599914	0.220534224391224	0.512307766487177
ACAP2	-0.094723517743217	5.83310068466675	0.535470053029711	0.465461849647997	0.724152290474892
ACAP3	0.171788468381704	5.56030256060418	1.72914456512243	0.190533934475517	0.476421162243248
AGAP1	-0.0826920670368594	6.06870405151148	1.17995161945106	0.279114460456587	0.575602842945722
AGAP2	-0.116428284218519	2.5463900900185	0.265602241274414	0.607058545162392	0.81690456907216
AGAP3	0.123471736052535	6.64455764826212	1.52706218032692	0.218492402938004	0.509732508799525
AGR2	-0.856196558661821	9.81899216183338	15.3944973234964	0.000132647785697439	0.00682350754895209
AGR3	-0.269429088605497	5.43813231598913	0.791006671101031	0.375224983390876	0.657938070005279
AKAP10	-0.0452875494410093	4.42586123861828	0.434499529128919	0.510803500684521	0.75572000759974
ALG1	0.0599374880365681	5.21460814705822	0.413648648159293	0.521108787436695	0.762416199142295
ALG10B	0.061256638494144	3.07113630657733	0.0804275998992659	0.77711119037853	0.906769962024106
ALG11	0.228047971936916	3.42225327538678	3.77283230061139	0.0539712250182157	0.253898729286862
ALG12	-0.120305562871208	4.35139070718584	0.671653162629348	0.41378064285832	0.688244803018282
ALG13	-0.367912394463135	5.17075392841374	7.47280558631883	0.00702031898055022	0.0805730727440927
ALG14	-0.0229401063938666	4.14369776911784	0.0715534538151246	0.789456966366617	0.913325585369366
ALG1L	0.145688343967824	1.53911206305242	0.533402537860414	0.466322972986155	0.724718993159275
ALG1L2	-0.0824437487874139	-0.541189996773726	0.212026501986957	0.645852829668906	0.839901898413976
ALG2	-0.0120496533378577	5.5429289926634	0.0345853036670093	0.852719443884454	0.942151710224655
ALG3	0.1325406324485	6.5412458682159	1.12932491412516	0.289633214332773	0.586101739768879
ALG5	0.369467693808411	6.0709202216014	10.9387274958346	0.0011796485527918	0.0266816059083448
ALG6	-0.166474850212862	4.15069224362274	2.96089460941547	0.0873699458549646	0.327427971827553
ALG8	-0.0391956821878206	5.3744022730719	0.269985445741202	0.604110105862999	0.815272186463334
ALG9	-0.13392744907432	3.20790566589773	2.31888334527807	0.129924501787809	0.397280619998943
AMFR	0.00912100837641889	6.95442743351388	0.0112028749974104	0.915848322436436	0.968653901121514
ANKFY1	-0.236014917060133	5.82835484606832	8.48971188432103	0.00412050673982327	0.0584803146116284
AP1B1	-0.0605916902419751	7.20724425312479	0.347112882691035	0.556641376887339	0.784251264475262
AP1G1	-0.11563700109347	6.71485527416609	2.33891932430439	0.128290507212367	0.394676988077779
AP1M1	0.13354813682446	5.46799990418058	1.48221282369117	0.225347095587348	0.518252708461152
AP1S1	0.0815436331115298	7.07885655486887	0.376625353762524	0.540347636362115	0.774633837863273
AP1S2	-0.111619763609377	4.04907793795879	0.618493430856962	0.432852692730884	0.701895786835943
AP3B1	-0.0734304827803411	6.14904872918001	0.868642895200661	0.352834196858306	0.640133802075155
AP3B2	1.50369737008801	-0.672784754464467	22.6167567991459	4.61360377528984e-06	0.000781722548451742
AP3D1	-0.00315039530767273	7.79047828873583	0.00117382821772578	0.97271459127232	0.990522877309782
AP3M1	0.0211041001602523	5.96609229439676	0.0726927966956698	0.787827512219708	0.912448734204925
AP3M2	0.0263719789834167	4.51667425519952	0.0737809491333787	0.786284014266309	0.911745829005164
AP3S1	0.0952152480305583	5.83570151005789	0.869213963401009	0.352676442283437	0.640073114643134
AP3S2	0.0256483338992257	4.62799646621784	0.136750203971591	0.712056757379304	0.874912552369098
APPL1	-0.289971734974749	5.72131251262926	6.73493328032996	0.0103962878290588	0.102352036547452
APPL2	-0.0759770818698783	5.91247330748568	1.22830686806872	0.269516634378592	0.565241768231815
ARAP1	0.0210381916585233	6.63248324545325	0.0517651663790544	0.820330631874874	0.927940178337729
ARAP2	-0.383568661709706	4.39404871207755	6.98908690583776	0.00907558207659076	0.0937838986781419
ARAP3	0.233457310569043	4.70188183289554	2.27440556890785	0.133636203408288	0.401186452549223
ARF1	0.215909965185927	9.53907795296005	3.45000378113667	0.0652191775375874	0.281598243157502
ARF3	0.0849441902907052	7.83230284433779	1.49016934555842	0.224112303388302	0.516547522338728
ARF4	-0.0744388147501499	7.85753212450875	0.849836116460246	0.358084216813169	0.645159475045535
ARF5	0.0658704360773866	7.50894094373749	0.260319155834758	0.610653552784451	0.818839571369973
ARF6	-0.0277148940105557	7.48350642347416	0.117579784084611	0.73215611847028	0.885605764951922
ARFGAP1	0.0818808581951459	7.19368120180706	0.393999531159615	0.531162266146475	0.768303972293339
ARFGAP2	0.0912537274537183	6.67663040326443	1.39821656360788	0.238899887034263	0.534096090040952
ARFGAP3	-0.102005745079191	5.69414713859624	1.00556487145805	0.317588243824261	0.61076608101448
ARFGEF1	-0.0617980742224473	6.8499306161258	0.289084649231301	0.591607270724638	0.807403020461278
ARFGEF2	-0.13736812109982	7.17362277094443	1.321150575743	0.25222143259251	0.547221070645504
ARFIP1	-0.188903239870116	5.9603468562807	3.56159662348551	0.0610695579078138	0.271705672644751
ARFIP2	-0.0435125651704135	6.1649250226375	0.205891601004039	0.650664852270082	0.842731711774754
ARHGAP1	0.174535588858427	7.15960295246144	3.94088772986033	0.0489556713106449	0.241848528653815
ARHGAP24	-0.160290692327207	2.41004595435572	0.915800270962817	0.340125299098887	0.62977955113057
ARHGAP5	-0.131868732134007	6.59459092892671	0.636381077497782	0.426289755961417	0.698184057755051
ARHGDIA	0.127600281951981	8.17959807326574	0.957759176303617	0.329333335550475	0.620745775711649
ARHGEF1	0.230247974283098	6.97899913702089	5.42075223094258	0.0212393276014458	0.152625006857782
ARHGEF11	0.070411956030991	6.15650625028665	1.01041427258235	0.316428031165162	0.609748987428797
ARHGEF2	0.216526814916468	6.34071922099979	7.40961826343358	0.00725885754888502	0.082004654436958
ARHGEF6	-0.217940271092112	3.39006205476977	1.95653629160749	0.163955666659047	0.442078824343564
ARHGEF7	0.235924328153993	6.33917093093812	10.2416478095542	0.0016770917636523	0.0332253379555977
ASAP1	0.168064432165139	5.40846151734945	1.49371510874207	0.223564662312515	0.515994866625553
ASAP2	0.013040110617247	4.98394450905454	0.0167275726548728	0.897266352961472	0.96169109276461
ASAP3	-0.0668286108859366	3.6333435527012	0.263957614282045	0.608172787257073	0.817214995384878
ATF4	0.106045699681669	8.30474372848436	1.24992386127128	0.265360603160131	0.561352032706286
ATF6	0.0456813671399036	6.20071075987625	0.435095548339732	0.510514171844246	0.755505747375419
ATF6B	0.242194578026632	7.13540452453457	7.71587960496574	0.00617566287037432	0.0748278614838632
ATXN3	-0.15298459984958	4.56781671506241	1.76901453429842	0.185529923214693	0.469076527256002
ATXN3L	0	NA	NA	1	1
B3GNTL1	-0.0618882808471601	3.14640642284474	0.376813554514422	0.540246583457069	0.774633837863273
B4GALNT1	0.623314650747517	0.708214619235817	12.1090750496449	0.000657764645117964	0.0180730894524873
