GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
STX18,0.7898074243,1.0,1.0,0.015635203570127487,0.6706522378,0.3922064188,0.6720801989,0.5033987817,0.6304725331
ATF6B,0.2726290203,0.369567594,1.0,0.3933241665363312,0.4546593268,0.7717790394,0.9813709048,0.7711765667,0.6268133273
TBC1D2,0.2081611619,0.0882014391,1.0,0.03253304585814476,0.4970371729,0.9419155827,1.0,1.0,0.5959810503
DOCK5,0.2020780606,0.5177204606,1.0,0.4434751868247986,0.4181337768,0.6554013414,0.5147572815,0.6668223949,0.5522985628
DERL1,0.3146766281,0.1575077474,1.0,0.07819235324859619,0.6617394183,0.6569614648,0.8159838291,0.6611491415,0.5432763228
RAB10,0.3415797466,0.1310413125,1.0,0.31648004055023193,0.6773879981,0.7199621291,0.2650349472,0.5221956955,0.4967102337
B4GALT3,0.2534623199,0.0428536003,1.0,0.26478704810142517,0.7353851949,0.4332965706,0.5896851951,0.5409875904,0.4825571899
MOGS,0.3814346186,0.203699363,1.0,0.08406821638345718,0.6954089774,0.4427741568,0.4791209112,0.5024718328,0.4736222595
CLTB,0.2160069309,0.0,1.0,0.028982434421777725,0.3454020949,0.7711014891,0.6805048929,0.6980487301,0.4675058215
TUSC3,0.3860007283,0.0345579968,0.0,0.2682185471057892,0.3030948518,1.0,0.784356451,0.9282710227,0.4630624497
MGAT3,0.3568875986,0.0,1.0,0.12587839365005493,0.2042992012,0.4767149095,0.5982118331,0.6955699738,0.4321952387
GALNT15,0.2923201033,0.2277549697,0.0,0.013190734200179577,0.3521828715,0.9255768261,0.7275865135,0.8620497451,0.4250827204
SEC13,0.1806668471,0.2182713067,0.0,0.30595308542251587,0.4414785262,0.6456780738,0.7873654293,0.5995791522,0.3973740526
UBE2D4,0.2387899279,0.1648365306,1.0,0.0,0.5219999168,0.4126286667,0.2905534698,0.4239743241,0.3815978545
TMX4,0.1153422744,0.0,1.0,0.4052782952785492,0.3199409837,0.3858330748,0.2853588334,0.4800665307,0.373977499
PIGC,0.592765337,0.2186613176,0.0,0.00927240401506424,0.5930933057,0.556609766,0.3528252202,0.5084902399,0.3539646988
RAB29,0.0893821783,0.0,0.0,0.11330962181091309,0.417923771,0.7958550595,0.6429895202,0.768243153,0.353462913
DDIT3,0.2672790202,0.2109198652,1.0,0.027935558930039406,0.126810402,0.255653675,0.4137297936,0.4902731308,0.3490751807
RALBP1,0.8284780896,0.5274450698,1.0,0.15956281125545502,0.0360140143,0.1182716025,0.0,0.1107023628,0.3475592438
MAP3K5,0.0,0.0431101651,0.0,0.0,0.3389001273,0.8401476264,0.7962733034,0.7422362798,0.3450834377
ABO,0.2359205672,0.0669910601,0.0,0.24528071284294128,0.359942054,0.7040541309,0.3318799741,0.8012092419,0.3431597176
GIT1,0.6616526375,0.1886090993,0.0,0.07704168558120728,0.4141821884,0.6440482034,0.2193088365,0.5378389269,0.3428351972
NGLY1,0.4462328095,0.2148702888,0.0,0.6479411125183105,0.2981804934,0.5166324855,0.1460006154,0.4679538354,0.3422264551
HSPA1L,0.2630899441,0.6179194305,0.0,0.20129190385341644,0.4384800138,0.5007407253,0.2516664779,0.4081091272,0.3351622028
EXOC2,0.34127131,0.0933123071,0.0,0.0,0.5899657497,0.5070118592,0.4338671238,0.5880835291,0.3191889849
NCKIPSD,0.0775886964,0.2918827148,1.0,0.009281844832003117,0.3887860633,0.21759896,0.1784476558,0.3706661625,0.3167815122
RAB11FIP1,0.0768878953,0.0,0.0,0.10811959952116013,0.3000174649,0.5344220817,0.7393276609,0.7401607092,0.3123669264
DOLPP1,0.1406285368,0.3298429122,0.0,0.25298434495925903,0.3382414949,0.5626628325,0.2997159227,0.5245548748,0.3060788649
SEC11C,0.2877786243,0.5620651402,0.0,0.0,0.274011394,0.3957846706,0.4434651821,0.4744119101,0.3046896152
UBXN6,0.0670366337,0.0,0.0,0.05405651777982712,0.6849607391,0.6099997023,0.4505622172,0.5523821997,0.3023747512
AP3S1,0.1638673269,0.4680976591,1.0,0.01477273553609848,0.1162354205,0.2960133917,0.0,0.3211444198,0.2975163692
MICALL2,0.0573535644,0.1877846376,0.0,0.019494425505399704,0.1861605342,0.8078089068,0.4478524805,0.6706051128,0.2971324577
ARFGEF1,0.1570572562,0.0,0.0,0.7167394757270813,0.0859681281,0.3927207193,0.5216233143,0.4977940281,0.2964878652
SEC24D,0.0651704124,0.209698309,0.0,0.0,0.3142794135,0.7631410827,0.3544021708,0.6606065154,0.295912238
ALG5,0.2392666114,0.2014724817,0.0,1.0,0.1440318341,0.3041605505,0.0989777681,0.3313180922,0.2899034172
GGA1,0.3053342425,0.0,0.0,0.6826026439666748,0.5449583141,0.3658687519,0.0700604746,0.3115784461,0.2850503591
BET1L,0.5106633928,0.4459287877,0.0,0.01230142917484045,0.4053700889,0.4017312068,0.1362996453,0.3626239166,0.2843648084
P4HB,0.2234081536,0.0,1.0,0.0316477008163929,0.3290705766,0.1727456317,0.1551304178,0.3540852071,0.283260961
RAB40A,0.0595881189,0.0,0.0,0.0,0.9909980501,0.3555327925,0.3548237982,0.484991082,0.2807417302
TBC1D8,0.1100845606,0.1729039083,0.0,0.0,0.4106393342,0.5332537088,0.4877955653,0.5285334202,0.2804013122
RAB18,0.3292915614,0.0,0.0,0.0490260049700737,0.3611662018,0.4878394301,0.4929241075,0.5027990525,0.2778807948
IQSEC2,0.1691876946,0.1807714684,0.0,0.7137092351913452,0.3349260955,0.3977702933,0.0834596683,0.3415518177,0.2776720341
CALR,0.1035720494,0.3032998933,0.0,0.009290274232625961,0.5073938817,0.4240146898,0.4018905543,0.4671243274,0.2770732088
VTI1A,0.2718951339,0.0854075769,0.0,0.7564653754234314,0.2215837707,0.4121327523,0.0606822152,0.3858584842,0.2742531636
DNAJC5B,0.107258614,0.0,0.0,0.0,0.3662463774,0.5492566138,0.5365419184,0.618081258,0.2721730977
STX11,0.0765350059,0.0,0.0,0.0,0.2175760131,0.5251873387,0.6485198995,0.6898432631,0.26970769
RAB4B,0.0595881189,0.0397332084,0.0,0.0,0.7212399197,0.48675472,0.3096293701,0.5020255545,0.2648713614
LMAN1,0.4158313477,0.0479799429,1.0,0.4361726939678192,0.0291428368,0.0337663048,0.0,0.1551991232,0.2647615312
RAB9B,0.2286565214,0.0,0.0,0.006375498604029417,0.548398822,0.5889404053,0.2484605172,0.4637251975,0.2605696203
CRYAB,0.3403352759,0.4069219724,0.0,0.0,0.0606151655,0.4328583091,0.2393546817,0.5514708049,0.2539445262
SIL1,0.0277313938,0.1140430999,0.0,0.011086990125477314,0.4503931972,0.5603917176,0.3267431038,0.5092443406,0.2499542304
UBE2D1,0.1669413172,0.0,1.0,0.0,0.2132410404,0.209561387,0.123671703,0.2832992647,0.249589339
