GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GALNT2,0.4131473202,0.5294423557,0.0,0.09491467475891113,0.6238109681,0.7789844673,1.0,0.6958222251,0.5170152514
RAB40A,0.3555673406,0.1112514365,1.0,0.07516825199127197,1.0,0.5915957363,0.4768705781,0.5209768908,0.5164287793
LARGE2,0.632088872,0.4767228395,1.0,0.24183665215969086,0.1324133486,0.6382163713,0.3954858769,0.5840838861,0.5126059808
MOGS,0.3690475192,0.7447285999,0.0,0.020410588011145592,0.9025240537,0.6072689047,0.8888336985,0.5538155115,0.5108286094
DNAJC5B,0.081654827,0.4079869409,1.0,0.0,0.4397736725,0.6022164676,0.7735982125,0.6871678676,0.4990497485
TBC1D2,0.446728619,0.0,0.0,0.01945706270635128,0.4881367628,1.0,0.909388214,1.0,0.4829638323
UBA7,0.4872663111,0.5487983323,1.0,0.1230320930480957,0.2460198362,0.5052169661,0.3548719968,0.5138562414,0.4723827221
IQSEC2,0.559404161,0.0666755733,1.0,0.6152282357215881,0.2857693472,0.3589866228,0.3543304043,0.4076175477,0.4560014865
TBC1D10C,0.5126865482,0.1154079083,0.0,0.1579582393169403,0.2911943961,0.78206328,0.998430166,0.7326818378,0.448802797
TBC1D24,0.2203350265,0.3879609663,1.0,0.010248714126646519,0.5463016302,0.4699407182,0.4313343646,0.4989440696,0.4456331862
UBE2D3,0.0667488097,0.4583297143,1.0,0.02253788895905018,0.5034373046,0.508185833,0.3319183454,0.5405401831,0.4289622599
NAPB,0.6358308018,0.8241743657,0.0,0.18529683351516724,0.2550440257,0.4375267479,0.4090937675,0.4966784801,0.4054556278
GXYLT2,0.1508266374,0.233348667,0.0,0.33084890246391296,0.301424024,0.768083094,0.6465636936,0.8097549,0.4051062398
TUSC3,0.1678833699,0.0,0.0,0.0,0.3657824602,0.965333508,0.8072798167,0.8243761898,0.3913319181
RAB17,0.1176447772,0.1220558847,0.0,0.041017044335603714,0.4759870635,0.9659380139,0.4715589934,0.7986309741,0.3741040939
SEC23A,0.0750149162,0.0,1.0,0.07828427106142044,0.2184156787,0.5579265656,0.5410197119,0.465983754,0.3670806122
MARCH6,0.2641608595,0.1329261257,0.0,0.1419542133808136,0.5913913799,0.6650028057,0.54806353,0.581998423,0.3656871671
ATF4,0.2774856023,0.0,0.0,0.05845847725868225,0.6966246102,0.6078788733,0.5639654906,0.6074366369,0.3514812113
VAMP2,0.2196899845,0.4724573124,0.0,0.03338387608528137,0.2842985466,0.5435052704,0.6337470431,0.6024193875,0.3486876776
CRYAB,0.1698532277,0.2398717846,0.0,0.12418943643569946,0.1638749386,0.9058657661,0.3538995651,0.7901797545,0.3434668091
UBE2D4,0.2663847315,0.5787661461,0.0,0.6310034394264221,0.4384984579,0.4661538547,0.0,0.3029040542,0.3354638355
GALNT15,0.235899796,0.1028746264,1.0,0.17211857438087463,0.180855248,0.350686968,0.1721551767,0.4668886971,0.3351848858
GALNT6,0.1328212611,0.447388355,1.0,0.5129794478416443,0.0711301868,0.1490935777,0.1599640289,0.1895835391,0.3328700496
PARK2,0.0758509202,1.0,0.0,0.0,0.3667265175,0.4880992299,0.2166389793,0.4197434396,0.3208823858
MAP3K5,0.190710885,0.4013410408,0.0,0.0,0.2566614076,0.5128924183,0.5966776496,0.5702040884,0.3160609362
MICAL1,0.2141524312,0.6014556234,0.0,0.0,0.3010463306,0.5540725283,0.3871999312,0.4450894382,0.3128770354
ALG5,0.2139140426,0.2512106534,1.0,0.007576609030365944,0.1383357687,0.374130105,0.1496555227,0.3610950902,0.311989724
PGAP1,0.2991280455,0.0633074624,0.0,0.0,0.2137903052,0.5507393363,0.7069176256,0.637067988,0.3088688454
HSPA1B,0.5144016226,0.4243526853,1.0,0.06474251300096512,0.100298866,0.1128699393,0.0,0.1877775285,0.3005553943
HSP90AB1,0.0500616073,0.1571127543,0.0,0.022143084555864334,0.4737824642,0.5803911956,0.5620932739,0.5081456331,0.2942162516
TMX4,0.1604606255,0.1185624147,1.0,0.06820441037416458,0.1455237681,0.2839053754,0.2550833632,0.3082589067,0.292499858
SRP54,0.606387762,0.2892642309,0.0,0.6268641352653503,0.2210699612,0.3188219882,0.0065447049,0.253351083,0.2902879832
SEC24B,0.1872752845,0.5389524597,0.0,0.0,0.3964554955,0.405803917,0.3272120724,0.4604563481,0.2895194472
RAB33A,0.2145428293,0.1792532117,0.0,0.0,0.2768142565,0.666781645,0.4484905119,0.4800564903,0.2832423681
ACAP3,0.3027535299,0.2512668275,0.0,0.0,0.2496589538,0.6078719338,0.3244593735,0.5278783491,0.2829861209
DOLPP1,0.394095371,0.0,0.0,0.06706090271472931,0.335666062,0.6266053697,0.3809925482,0.4593341411,0.2829692993
RAB11FIP1,0.3097944963,0.0,0.0,0.08200620859861374,0.2517326795,0.6673107965,0.3546509214,0.5685092031,0.2792505382
PIGN,0.311111301,0.3175733515,1.0,0.08715800195932388,0.1550651099,0.1909783167,0.0,0.1339109017,0.2744746228
HSPH1,0.1799091253,0.0619899547,0.0,0.08829686045646667,0.1822318589,0.4803060168,0.6262851707,0.5687926166,0.2734764504
RALBP1,0.2646891694,0.0,1.0,0.12993104755878448,0.2102451288,0.3020947534,0.0308633382,0.2310598327,0.2711104088
COG4,0.1704117339,0.274684062,0.0,0.0,0.4493477563,0.3659909805,0.4284780924,0.4483111315,0.2671529696
HSPA1L,0.2539691583,0.1819009031,0.0,0.0,0.4281120436,0.4894309937,0.3432038821,0.4371293163,0.2667182871
PIGO,0.4917698021,0.2181935787,1.0,0.0,0.1059283582,0.2257229111,0.0,0.091927797,0.2666928059
UBQLN4,0.4347543676,0.6273443349,0.0,0.0,0.2911209562,0.4491696576,0.0,0.3104907483,0.2641100081
ERLEC1,0.0500616073,0.3710237678,1.0,0.0,0.1967888024,0.247343027,0.0,0.221348311,0.2608206894
GPAA1,0.4639836905,0.0,0.0,1.0,0.064871296,0.3059790959,0.0,0.2510948815,0.2607411205
SEC61A2,0.2121293051,0.0522797109,0.0,0.12870025634765625,0.3689507211,0.4625921412,0.3598782194,0.4922502084,0.2595975703
EXOC3,0.6172618008,0.0,0.0,0.07293569296598434,0.4148675784,0.4508835673,0.0753317232,0.3647986337,0.2495098745
SEC13,0.1164101111,0.0,0.0,0.04622790217399597,0.4716169479,0.4923286825,0.436703195,0.4309757169,0.2492828194
RER1,0.1658026975,0.3659050549,0.0,0.0,0.6684971859,0.4486506725,0.0,0.3403790717,0.2486543353
RAB13,0.2342168056,0.1164446875,0.0,0.0,0.3752504247,0.4972646163,0.2750840274,0.4616879332,0.2449935618
RAB10,0.1764279437,0.655601502,0.0,0.04125275835394859,0.2938015046,0.4463203528,0.0,0.3455629875,0.2448708811
STX10,0.2958158988,0.0,0.0,0.0,0.5419106708,0.5499251831,0.1529420967,0.3934612012,0.2417568813
PSD3,0.0,0.0,0.0,0.018808169290423393,0.2701715,0.5803259542,0.5244743835,0.5183147724,0.2390118474
ERO1A,0.2978740724,0.2426166697,0.0,0.3059288561344147,0.2008089728,0.4118773788,0.1038836343,0.3461219171,0.2386389377
NPLOC4,0.4928146063,0.2389490684,0.0,0.5091049075126648,0.231976245,0.2157174829,0.0,0.2202436687,0.2386007474
NSFL1C,0.0764391724,0.0921754852,0.0,0.0,0.3195914903,0.7017149525,0.1646095108,0.4834451258,0.2297469671
RAB8A,0.0711987304,0.2252983826,0.0,0.04814209043979645,0.5386581911,0.4256057977,0.1853951437,0.3418623923,0.229520091
COPZ1,0.0876428699,0.0,0.0,0.3605438768863678,0.6789793185,0.4066131151,0.0,0.2932078455,0.2283733782
AGAP1,0.3693761339,0.1221312135,0.0,0.0,0.2403039416,0.4276223617,0.2808167794,0.3659316487,0.2257727598
PIGH,0.3337440487,0.4287943962,0.0,0.01913559064269066,0.2344716775,0.2977745481,0.1355192573,0.3474636696,0.2246128985
WFS1,0.367151377,0.0645850518,0.0,0.8266777992248535,0.0748571435,0.2769059207,0.0,0.1823967955,0.224071761
GALNT18,0.191902828,0.1211665191,0.0,0.221021369099617,0.1998247358,0.4450251777,0.1590640907,0.4472084018,0.2231516403
VTI1A,0.249286317,0.0,0.0,0.0,0.311081375,0.4370558644,0.3723193855,0.4097672673,0.2224387762
ARF4,0.0876078128,0.4892146129,1.0,0.012439396232366562,0.0082684265,0.0205182399,0.0,0.1431608175,0.2201511632
FBXO6,0.1765135191,0.2975061367,1.0,0.0506276898086071,0.0369125973,0.1003760667,0.0,0.0945212331,0.2195571553
HSPA2,0.0,0.1694405611,0.0,0.0,0.1241010413,0.5391366694,0.3411799169,0.5671563801,0.2176268211
SGSM1,0.2088505947,0.2141705485,0.0,0.4157468378543854,0.2176991189,0.395754642,0.0,0.276931763,0.2161441881
TBC1D2B,0.2614847946,0.3417653422,0.0,0.0,0.2678225511,0.3543114684,0.082533065,0.3688414309,0.2095948315
MGAT5,0.0998053631,0.0638446166,0.0,0.0,0.2307733527,0.6467087739,0.191811495,0.4426937293,0.2094546663
SEC63,0.2238010573,0.0100352343,1.0,0.05375570058822632,0.0834453913,0.1458324365,0.0,0.1572083455,0.2092597707
STX2,0.1710652188,0.0,0.0,0.31691062450408936,0.2315536762,0.2520231574,0.3022607606,0.3977402048,0.2089442053
RAB41,1.0,0.0557650249,0.0,0.2957514226436615,0.0566176831,0.1230230306,0.0,0.1380681971,0.2086531698
STX4,0.5466472967,0.1432778977,0.0,0.19972388446331024,0.1588058327,0.4301399036,0.0,0.1890368443,0.2084539574
CLTB,0.0,0.0,0.0,0.018186679109930992,0.3304695652,0.5270843475,0.3571447144,0.4315418014,0.2080533885
ALG2,0.4910805288,0.0619667128,0.0,0.0,0.4524686888,0.3690925515,0.0,0.2778269327,0.2065544268
RABGAP1L,0.1376480262,0.0,0.0,0.0921119824051857,0.3133387549,0.5074790615,0.2122409539,0.3820630131,0.205610224
ARHGEF6,0.0108507917,0.5148614732,0.0,0.050066445022821426,0.1552048251,0.4029930477,0.1357317796,0.371643424,0.2051689733
GALNT7,0.1967897944,0.0,0.0,0.0,0.1114876168,0.544091523,0.2405217198,0.5420326252,0.2043654099
SEC61G,0.0574119227,0.1931212563,0.0,0.0,0.1811391395,0.3215255516,0.4727035807,0.4045958765,0.2038121659
DNMBP,0.1390313615,0.0,0.0,0.5418899655342102,0.1573956696,0.2369910959,0.2067672763,0.345448963,0.2034405415
B3GNTL1,0.2466912175,0.0,1.0,0.0,0.1202951639,0.1204222444,0.0,0.1359676365,0.2029220328
RAB44,0.294921763,0.1339397552,0.0,0.0,0.6553289318,0.2363572932,0.0,0.2999873809,0.2025668905
PDIA4,0.2467322074,0.2409873467,1.0,0.01469385251402855,0.0262126293,0.0645997882,0.0,0.0191892754,0.2015518874
QSOX2,0.2514999795,0.0,0.0,0.6824378371238708,0.1677811735,0.2168095719,0.0336722884,0.2498285107,0.2002536701
UGCG,0.2936295625,0.0,0.0,0.011306267231702805,0.2738474502,0.4046383274,0.2020404128,0.4164961712,0.2002447739
UBQLN2,0.1486829737,0.0,0.0,0.012004734016954899,0.3757988698,0.4478215183,0.2034889416,0.3949073311,0.1978380461
EVI5L,0.4215783645,0.5105300938,0.0,0.25338247418403625,0.0995506543,0.246387255,0.0,0.0413085632,0.1965921756
RAB20,0.1423974608,0.8312029005,0.0,0.06347096711397171,0.1535759187,0.18313226,0.0,0.1749142226,0.1935867162
GBF1,0.6788579283,0.0,0.0,0.009135535918176174,0.2351488966,0.1408678243,0.1970789836,0.2852629995,0.193294021
STX3,0.1578999441,0.0,0.0,0.0,0.2928975187,0.4956822076,0.2341368491,0.3635981035,0.1930268279
RAB35,0.3267495102,0.2547503655,0.0,0.3651818633079529,0.3380644285,0.1691385044,0.0,0.0887377537,0.1928278032
ATF6B,0.145094226,0.1551542109,0.0,0.0,0.3109032231,0.4433655878,0.0514358914,0.4336336197,0.1924483449
AKAP10,0.0834360122,0.1448575335,0.0,0.0,0.2758601086,0.4939452628,0.1243120799,0.4124460239,0.1918571276
EXOC6B,0.2270155349,0.0701153581,0.0,0.06059320271015167,0.3226956508,0.5567000452,0.0,0.2911025997,0.1910277989
AP1G1,0.1401725004,0.2043625707,0.0,0.0,0.2087236738,0.3862168731,0.232385658,0.3558498954,0.1909638964
