GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GALNT7,0.3987380205,0.1408906493,0.0,0.08986201882362366,0.4242878959,1.0,1.0,1.0,0.5067223231
ALG1L,0.680607574,0.0,0.5,0.1368129849433899,0.3550727236,0.6205658324,0.7336993939,0.7499107428,0.4720836565
RAB34,0.2971259238,0.0648329224,0.5,0.8178483843803406,0.3179766767,0.4360646462,0.6759884376,0.5510326685,0.4576087074
AP3M1,0.3560920132,0.5279142337,1.0,0.32013100385665894,0.3306463186,0.3402467789,0.2397791369,0.4353497183,0.4437699004
DNMBP,0.5162177526,0.0934170621,0.5,0.2737562954425812,0.3798310507,0.4163022308,0.69091538,0.5763460454,0.4308482271
RAB3IP,0.359687151,0.0,0.0,0.0,0.5043975165,0.7293551919,0.8996387914,0.7859931139,0.4098839706
AMFR,0.3934377667,0.6159400034,0.0,0.0,0.5341285664,0.5559452497,0.6085807783,0.5513328477,0.4074206515
EXOC1,0.5103165775,0.0,0.0,0.3185108006000519,0.6329601957,0.3775932452,0.75009284,0.5047137243,0.3867734229
CRYAB,0.3210956215,0.0,0.0,0.8474447131156921,0.1753336917,0.5061809258,0.5173491024,0.715123982,0.3853160046
DNAJC1,0.0,0.6575571597,0.0,0.0074372910894453526,0.5000251226,0.5526692409,0.7462794111,0.5642761501,0.3785305469
DNAJA2,0.1142827692,0.2663996284,0.0,0.0,0.8135212278,0.5470514421,0.6756691886,0.5487995172,0.3707154717
COG6,0.0,0.0724531187,0.5,0.03812255710363388,0.5451769038,0.4562930662,0.6699860027,0.5814438406,0.3579344361
NET1,0.2526934198,0.6154017997,0.5,0.047173548489809036,0.2365715305,0.1851309302,0.3679704284,0.4581577294,0.3328874233
JUN,0.291001492,0.2356571961,0.0,0.9742393493652344,0.150602167,0.3456755727,0.1781256357,0.4224069263,0.3247135424
SEC31A,0.1279558863,0.6370711131,0.5,0.5887609124183655,0.0789567878,0.2696420417,0.070795405,0.3141984716,0.3234225772
PICK1,0.5894597811,0.349335235,0.0,0.0,0.4397075595,0.3038798581,0.4603255649,0.4324664741,0.3218968091
BET1,0.2851899989,0.4953237277,0.0,0.0,0.4815484496,0.4721275035,0.3221157824,0.5030660179,0.319921435
RAB17,0.2091888241,0.6819640146,0.0,0.547703742980957,0.1071730852,0.2441938763,0.3425704098,0.3661439458,0.3123672373
VAMP7,0.1513466401,0.5475192098,0.0,0.05043996497988701,0.4914594454,0.4600311998,0.2821930182,0.4870761164,0.3087581993
B4GALNT2,0.2686920555,0.6507190254,0.0,0.0690283477306366,0.1679295258,0.3185385145,0.4262180198,0.5163492797,0.3021843461
STX2,0.7387548332,0.0676311721,0.0,0.0,0.251261201,0.3697766255,0.4404832108,0.4881671459,0.2945092736
