GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
TRAPPC9,0.8959938115,0.4222019442,0.5,0.0,0.3468317555,0.623728417,0.6911365574,0.6923548455,0.5215309164
GALNT16,0.4035282196,0.3234380419,0.0,0.2899303436279297,0.5986296895,0.9436529567,0.7928392433,0.8149376238,0.5208695148
GALNT15,0.0422772037,0.5054982306,0.0,0.7564217448234558,0.3598794307,0.8358136301,0.6494893377,1.0,0.5186724472
TBC1D22A,0.6342333992,0.6453604128,0.0,0.7823116183280945,0.5949982624,0.5328206028,0.3284164036,0.5399855076,0.5072657758
ALG1,0.2168078968,0.3860767557,0.0,0.0,1.0,1.0,0.5656128366,0.7354545713,0.4879940076
ALG8,0.6473992536,0.2702602908,0.0,0.08442357927560806,0.3745348012,0.6740554932,0.9389264052,0.8652257963,0.4818532024
HAS3,0.6424762567,0.2437802576,0.5,0.16455888748168945,0.1384633107,0.5704834329,0.5683651305,0.7436460303,0.4464716633
RAB28,0.6737017972,0.2035010688,0.0,0.09098219126462936,0.536080609,0.5802646766,0.6599599769,0.8153267721,0.4449771365
TBC1D14,0.2887403781,0.2185644667,0.0,0.0,0.3443507287,0.7749487171,1.0,0.8618943303,0.4360623276
SEC31A,0.771908532,0.2878168839,0.0,0.20517362654209137,0.338019879,0.5355378328,0.6991978013,0.6109493439,0.4310754874
ALG10B,0.2927915824,0.1239948341,0.0,0.011453729122877121,0.5953928481,0.7858176443,0.7909252454,0.8192824981,0.4274572977
PSD4,0.1725494005,0.2557212853,0.5,0.052626851946115494,0.4326776164,0.7159176307,0.6418774895,0.5867507958,0.4197651338
WDR38,0.360185411,0.1410392604,0.0,0.03271668404340744,0.5157368255,0.7534989618,0.7149491338,0.778172388,0.4120373331
USP6,0.5358011205,0.2297005107,1.0,0.020325830206274986,0.6909124412,0.4952398696,0.0,0.3186888188,0.4113335739
USE1,0.1816611579,0.0781757799,0.0,0.1377333700656891,0.5711401198,0.8498404862,0.6808809285,0.7879533666,0.4109231511
CLTB,0.5589655894,0.1920705526,0.5,0.038017988204956055,0.2360317848,0.5252848842,0.5890067022,0.5861286552,0.4031882696
RAB44,0.0696070554,0.2394628013,0.0,0.0,0.4799682864,0.8357717543,0.7127237148,0.8167375353,0.3942838934
MGAT3,0.1491643648,0.9212715652,0.0,0.0,0.1415796333,0.5554882945,0.6998112851,0.6812948583,0.3935762502
HSPA8,0.4179904059,0.170393754,0.0,0.06267758458852768,0.4436606987,0.7436898249,0.555533127,0.7279015015,0.3902308621
EXOC2,0.4510782236,0.4113358917,0.0,0.15727004408836365,0.4408470516,0.6954851173,0.4080024028,0.553578442,0.3896996466
RAB11FIP4,0.4387134349,0.0916591937,0.0,0.09027771651744843,0.5449106304,0.7168285969,0.5976922415,0.623452528,0.3879417927
BET1,0.3935754239,0.2741656421,0.0,0.0,0.5832663038,0.6656052398,0.5104094287,0.6764754974,0.387937192
VPS45,0.5091011195,0.6646096524,0.0,0.0,0.5519607076,0.6119202806,0.1964765889,0.4584344255,0.3740628468
TBC1D23,0.1260570974,0.4692602277,0.0,0.006668799556791782,0.4136385728,0.9241026777,0.3763026281,0.6503344641,0.3707955584
ACAP3,0.4418264998,0.16719789,0.0,0.025450551882386208,0.3498695557,0.5619566692,0.7833257881,0.6185637411,0.368523837
AP3M2,0.2859098159,0.5877863869,0.0,0.0,0.2994662511,0.6455994283,0.4896886628,0.6328300801,0.3676600781
HSPA5,0.531669742,0.2107322426,0.0,0.04828782007098198,0.3987979908,0.6989845819,0.4899375135,0.541228762,0.3649548316
ALG14,0.5345614545,0.8507870963,0.0,0.22778093814849854,0.3017289621,0.3493806787,0.2472799412,0.4065470549,0.3647582657
NAPG,0.6031845429,0.0882734502,0.0,0.07985392957925797,0.6050872391,0.6926152861,0.2926899783,0.5475791534,0.3636604474
CAPN1,0.3808021035,0.8160097162,0.0,0.17160040140151978,0.2056896507,0.3316853967,0.4429880313,0.4504792527,0.3499068191
ATF6,0.3683528755,0.1573680638,0.0,0.044927455484867096,0.5326697924,0.51458165,0.5652001247,0.5781945982,0.34516182
RAD23A,0.2085990965,0.0,0.0,0.08687081933021545,0.4214902531,0.6913508161,0.6920711618,0.6591233866,0.3449381917
RAB6A,0.3192340924,0.0,0.0,0.09200074523687363,0.3790606122,0.7626446118,0.5001866111,0.6766823156,0.3412261235
SGSM1,0.2540661733,0.2467161462,0.0,0.0,0.977239648,0.705673337,0.0197185281,0.4918093374,0.3369028962
CYTH1,0.1679408322,0.3500773532,0.0,0.0,0.4160167135,0.7889790133,0.3367747697,0.6329214694,0.3365887689
RAB5B,0.4281173945,0.1270509099,0.0,0.027081653475761414,0.7281100936,0.3601409509,0.5205723022,0.4789562376,0.3337536928
ERP27,0.5889105243,0.2652868495,0.5,0.1421673595905304,0.2425644531,0.3109421727,0.1987583836,0.4066083192,0.3319047577
SELENOS,0.2104362858,1.0,0.0,0.010827695950865746,0.2978534568,0.6258571525,0.0945456254,0.4147255976,0.3317807268
SEC24B,0.6686032185,0.6837712521,0.0,0.028737779706716537,0.2320945447,0.2186522669,0.4086581474,0.4025896048,0.3303883518
MGAT5,0.3538697342,0.2411984054,0.0,0.0,0.477446815,0.6631289889,0.2923014362,0.5312288096,0.3198967737
RAB11FIP5,0.6740050322,0.2084891939,0.0,0.3156554698944092,0.1638417917,0.3908881825,0.3380705413,0.4530251704,0.3179969227
POMT2,0.354632259,0.0333724157,0.0,0.0,0.6381022265,0.5130299067,0.393561357,0.5705764688,0.3129093292
SAR1A,1.0,0.2955012121,0.0,0.15276803076267242,0.2824393991,0.3875607499,0.0123358915,0.3725149833,0.3128900333
ARHGEF7,0.2707066242,0.2982332722,0.5,0.023299487307667732,0.4120786471,0.5524971665,0.0274595378,0.4011578744,0.3106790762
VAMP8,0.2594458406,0.0,0.0,0.15310633182525635,0.4773207667,0.9323902505,0.1466900495,0.5032008435,0.3090192603
DNAJC5B,0.2835115937,0.1445940446,0.0,0.11247675865888596,0.5267193611,0.4792529257,0.3975693504,0.5273891157,0.3089391437
RAB29,0.125397607,0.0,0.0,0.0,0.4765393796,0.7985383157,0.4264232562,0.6306292639,0.3071909778
UBQLNL,0.4904003248,0.1952905711,0.0,0.09960351139307022,0.824573098,0.3945893727,0.0506865866,0.3837121827,0.3048569559
