GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GALNT6,0.9286644795,1.0,1.0,0.22329650819301605,0.3330150216,0.6060473887,0.729651913,0.8918542115,0.7140661903
GALNT18,0.408962372,0.3024502306,1.0,0.07774627953767776,0.5194384704,0.5620691104,1.0,1.0,0.6088333079
UBA7,0.565654801,0.7317064495,1.0,0.43555113673210144,0.3366345984,0.4459380745,0.5408407057,0.5332054363,0.5736914003
ALG3,0.643792179,0.3593142042,1.0,0.1696302592754364,0.3398186637,0.3431364609,0.5048369778,0.50382801,0.4830445944
APPL1,1.0,0.6899949099,1.0,0.1273580640554428,0.3018029137,0.1226097038,0.2167650532,0.3279668992,0.473312193
EXOC6,0.1626474323,0.0,0.0,0.10267353057861328,0.5841515217,1.0,0.9604595845,0.974755786,0.4730859819
ARAP3,0.2305233346,0.2207312602,1.0,0.14644576609134674,0.2750123595,0.4299013366,0.7076019872,0.7650405546,0.4719070748
RAB42,0.2462230796,0.6187729587,0.0,0.0,0.3720477958,0.7677067505,0.5674300348,0.8982335169,0.433801767
CKAP4,0.1593288175,0.0961692048,0.0,0.050979528576135635,0.6098360453,0.7623228615,0.9084987212,0.8723295694,0.4324330935
SNAP29,0.2039104038,0.0,1.0,0.032811664044857025,0.3592607409,0.6180100337,0.4893771775,0.6319084266,0.4169098058
GALNT11,0.3091582061,0.1887983098,1.0,0.021167559549212456,0.3057673069,0.475878801,0.3503974414,0.6074851227,0.4073315934
TBC1D10A,0.2908444104,0.2218392267,0.0,0.04727010428905487,0.6375568872,0.750692612,0.4665315435,0.6790219746,0.3867195948
HSPA2,0.1998012742,0.084794884,1.0,0.01987030729651451,0.2607368218,0.2951501122,0.4621229854,0.6696308098,0.3740133993
SEC63,0.0491939649,0.0181463844,0.0,0.0,0.8620527118,0.8488368752,0.5457115863,0.6459469898,0.371236064
CYTH3,0.2248240709,0.2466643114,1.0,0.056995633989572525,0.2039478967,0.4146017711,0.2944839638,0.4815366854,0.3653817917
RAB17,0.1807306884,0.0991478059,1.0,0.03675704076886177,0.2436732371,0.3405145101,0.3907004652,0.5522053662,0.3554661392
TBC1D17,0.1141812872,0.2044954046,1.0,0.03868415579199791,0.5653108176,0.3984947359,0.1273295138,0.3706896619,0.3523981971
PSD,0.0665208378,0.0636199845,1.0,0.0053091333247721195,0.2002139907,0.281609648,0.572540283,0.5713689375,0.3451478519
EIF2AK2,0.046178708,0.0495276378,0.0,0.036399029195308685,0.4532676064,0.6937066808,0.7073980457,0.7654909333,0.3439960801
BAX,0.1774201408,0.1748819078,0.0,0.16039294004440308,0.6822230353,0.4048050495,0.5083930181,0.6198923068,0.3410010498
DERL1,0.1175453177,0.3830010048,0.0,0.019874207675457,0.7758485487,0.4659039706,0.4226435582,0.5266894239,0.3389382539
CALR,0.0889390132,0.0524075265,0.0,0.020285699516534805,0.8172196387,0.5332478274,0.5064628395,0.5417945068,0.3200446315
DNAJB11,0.2877976772,0.2976470438,0.0,0.473417729139328,0.4634358165,0.4880295182,0.1310522122,0.4157838887,0.3196454857
AKAP10,0.1271367766,0.0301824834,0.0,0.0,0.4395692014,0.7945806354,0.4597560086,0.6805315149,0.3164695775
RASEF,0.7586813854,0.1072853345,1.0,0.02569650113582611,0.0474625256,0.2039644177,0.1151482158,0.2655487997,0.3154733975
RAB44,0.1375362212,0.0423910291,0.0,0.16706261038780212,0.3321643216,0.7262212762,0.4427061593,0.6457120613,0.3117242099
RAB9B,0.0344134467,0.2763641889,0.0,0.7710804343223572,0.3977026032,0.2377379575,0.2841471534,0.4901050302,0.3114438518
RAB11FIP5,0.1368499475,0.929045195,0.0,0.9999998807907104,0.2268787718,0.0079479009,0.0,0.1679320319,0.308581716
RAB19,0.262298756,0.8036741707,0.0,0.1777120679616928,0.1817574169,0.3367448974,0.1769270728,0.4233439673,0.2953072936
GALNT10,0.2149189782,0.0575928832,0.0,0.10879834741353989,0.3840803657,0.6374070722,0.3528711035,0.6016532882,0.2946652548
HYOU1,0.2053344752,0.041504718,0.0,0.1455029994249344,0.4419425915,0.8513582957,0.124724739,0.5399650418,0.2937916076
ALG1L2,0.1165745987,0.2323233181,0.0,0.059468116611242294,0.5396366247,0.3603578934,0.3899528851,0.6279366828,0.2907812649
EDEM2,0.0798361165,0.0,0.0,0.0,0.4799005305,0.5700566436,0.5197136265,0.6463998269,0.286988343
HSPA4L,0.1626770886,0.089423587,1.0,0.11762791872024536,0.1188304227,0.3738317845,0.0975771452,0.3193663373,0.2849167855
TBC1D5,0.1469164627,0.0825054351,0.0,0.047260891646146774,0.4516912778,0.5379126274,0.378367536,0.5898266624,0.2793101116
SNAP23,0.0962655279,0.0620406012,0.0,0.0049362704157829285,0.4023689001,0.5911598499,0.436629261,0.6181547491,0.276444395
DNAJA1,0.1965274533,0.1879619532,0.0,0.0,0.4401277659,0.6186836785,0.2545761857,0.4986321044,0.2745636426
PIGB,0.0745033383,0.0645092586,0.0,0.02340988628566265,0.557363831,0.4320256078,0.4090972474,0.6168294892,0.2722173323
RAB31,0.3995448015,0.1289424397,0.0,0.00613607419654727,0.3165192884,0.5150030071,0.2903955445,0.5173764777,0.2717397041
OCRL,0.1010582208,0.0,0.0,0.0,0.4140271848,0.7559416117,0.3580937736,0.5429987283,0.2715149399
RAB23,0.0767328533,0.0,0.0,0.0523049533367157,0.3196931278,0.718154876,0.4551448062,0.5457571486,0.2709734707
TRAPPC6A,0.0,0.0319938417,0.0,0.0,0.2869604625,0.6758891334,0.4987308193,0.6523697432,0.268243
GALNT13,0.3352056144,0.1648776309,1.0,0.15495704114437103,0.0343265357,0.0983950752,0.0995026188,0.2218599507,0.2636405584
RAB41,0.0530839811,0.0,0.0,0.0,0.8242831218,0.5888853802,0.1653297981,0.4636359992,0.261902285
RALBP1,0.1457665562,0.0920240934,0.0,0.0,0.3684460736,0.7033732969,0.2613420861,0.5112038011,0.2602694884
NSFL1C,0.0677812326,0.0128781998,0.0,0.0,0.9558640072,0.4731386709,0.1110999169,0.4605836908,0.2601682148
DOCK5,0.0,0.0510261474,0.0,0.019630340859293938,0.3322778529,0.5441197928,0.5115920184,0.6008558062,0.2574377448
GALNT15,0.3060712116,0.0770090229,0.0,0.17045989632606506,0.1673009162,0.356357543,0.4004116707,0.5475165707,0.2531408539
B3GNTL1,0.1733764969,0.147011903,0.0,0.0,0.6575790506,0.3345251365,0.235750814,0.4756779596,0.2529901701
TBC1D10B,0.0960033324,0.0725885827,0.0,0.02786271646618843,1.0,0.3562482468,0.0871897102,0.3717792943,0.2514589854
TBC1D9,0.0876036488,0.058868353,0.0,0.016556551679968834,0.4545442776,0.6282895628,0.1480724588,0.577056889,0.2463739677
VAMP1,0.1793121755,0.1838649029,0.0,0.0,0.3240524062,0.5855474761,0.2740644487,0.4095156949,0.244544638
RAB24,0.0440490926,0.1323872414,0.0,0.05231386795639992,0.5060822572,0.4643256365,0.2688918006,0.464340796,0.2415488365
RFWD2,0.0861633785,0.0252372938,0.0,0.18102996051311493,0.5034673438,0.7303089721,0.0,0.4004536994,0.240832581
ASAP1,0.1008130833,0.0,0.0,0.0,0.4135081527,0.384373079,0.4591779323,0.5488539348,0.2383407728
