pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-1.95764938262613	4.72310061006783	6.80133065561549	0.0122254709451658	0.126475182108697
ACAP1	0.259742513323187	2.79908057161818	2.15952653342798	0.148460007063761	0.425464913586595
ACAP2	-0.467257833660692	5.53922040003958	7.75370665403489	0.00774232796338902	0.1011402222337
ACAP3	-0.265992662267662	4.64624781088722	1.91375288994667	0.173190117734413	0.459053124496315
AGAP1	-0.893719567647424	5.11124710441946	9.64527433564814	0.00323900949510531	0.0689038172933242
AGAP2	-0.0595336410942264	1.70854105917038	0.0503283227733548	0.823481334080255	0.930363211603735
AGAP3	0.588108641494153	5.91763418156069	6.74688337322142	0.012554113958542	0.127762202959885
AGR2	0	NA	NA	1	1
AGR3	0	NA	NA	1	1
AKAP10	-0.0657731224427036	4.73442036583881	0.334464175053635	0.565848467159399	0.796152195190219
ALG1	0.092138718593176	4.99944708060276	0.721585205664444	0.400001277964216	0.684846526025289
ALG10B	0.10868964387354	4.13749329273267	0.663867148125324	0.419374866725964	0.699121092781508
ALG11	0.0281056922754327	3.18198284593045	0.0175636595618985	0.895141763461522	0.961015063302754
ALG12	0.140019793150527	5.18381983429606	1.62768807937287	0.208395121734285	0.503229886149594
ALG13	0.0122606095368531	5.31841292544657	0.0136257650374094	0.907579989358628	0.965327900440531
ALG14	-0.0661260826574954	3.32563619419692	0.430724967668422	0.514886363807378	0.763205530891673
ALG1L	0.402620271110131	-0.149269755561439	0.8004741224755	0.375585406249024	0.665501910254298
ALG1L2	0	NA	NA	1	1
ALG2	0.145639803303029	6.23257197339543	0.864970528424901	0.357181759252723	0.649316493803567
ALG3	0.210619701337421	5.24770117563533	1.43023010621577	0.237823850195901	0.535187920339238
ALG5	-0.118994063380693	4.97246302806067	0.828428237369171	0.367447813869541	0.659125608330562
ALG6	-0.187104879333006	3.10531154840292	1.11234418905784	0.297052880466078	0.595176114620153
ALG8	0.1043373352064	5.15071706636941	0.77516431361958	0.383177504635673	0.671903231236589
ALG9	-0.12497142326782	2.69018271332547	1.09859272329866	0.300023090994986	0.598003972823387
AMFR	0.163582376230972	8.94713859385844	0.923717280032458	0.34150003975441	0.63586157527707
ANKFY1	-0.383164071592882	6.06603686080768	4.43407801324085	0.0406877616796398	0.22363745560215
AP1B1	0.157018297080813	8.30559192258939	1.45320995524737	0.234146569204654	0.531390798229003
AP1G1	-0.265977344577623	7.3100731521593	5.63268922190525	0.0218393234481385	0.165035584582593
AP1M1	0.369275046037371	6.17569525505728	10.4071504320208	0.00230747630842687	0.0581080279733693
AP1S1	0.14410170603334	5.81357168883845	0.738038121659945	0.394722034768794	0.680639649582369
AP1S2	0.138627266524968	5.01873189601755	0.684653251779384	0.41223907488523	0.694395977873825
AP3B1	-0.268121718738041	6.52646458523887	2.55011941884141	0.117098482493681	0.379361939239117
AP3B2	0.775081746514656	1.95517260165938	2.80271136247534	0.10085729763535	0.351789604776276
AP3D1	0.303569402198536	8.1383255822901	9.14308140994206	0.00406478001002313	0.0765463464164093
AP3M1	-0.104224371016634	4.92158234114936	0.505533022051768	0.480650401930102	0.740937957510285
AP3M2	0.103460213434615	4.68579140367562	0.382946723527522	0.53906732229448	0.778868336222509
AP3S1	-0.375998675088595	4.56040991342179	5.99010431279279	0.0182425604047572	0.150864048575653
AP3S2	0.185499430783867	5.84283472246312	3.3265529432939	0.0746363607121843	0.304043685131564
APPL1	-0.0576050901171944	5.96624199852748	0.0998450197153147	0.753437655014567	0.899201989988768
APPL2	-0.336743103378768	5.41853070621917	4.98763897677259	0.0304086489640964	0.197489571871024
ARAP1	0.128391450454674	8.98269085651431	0.37338097765203	0.544159462451068	0.782148640722732
ARAP2	-0.50389868283844	4.24209580167223	4.0379206125088	0.0503457832996868	0.24915250682154
ARAP3	-0.225735044501847	4.01355364653613	1.05820909234671	0.308975269143214	0.606676501982232
ARF1	0.128550150890881	9.1146609898645	1.73331288165388	0.194477034713171	0.486326206232138
ARF3	0.0329296979196886	8.22160212850042	0.131219376160437	0.718821489016749	0.880837938732693
ARF4	-0.0303959671638298	7.32873704309337	0.0369608039660412	0.848386736932285	0.940782500548996
ARF5	0.105204264495414	7.46122590242225	0.514648423094621	0.476742175049717	0.738385020677247
ARF6	-0.0269680892688953	6.96345554614542	0.0852433412528766	0.771619650702684	0.90743051155953
ARFGAP1	0.251494155601557	6.86194963082023	2.24336505615295	0.140984780239331	0.41418880439607
ARFGAP2	0.117878269969304	7.17503469250422	1.11455628404006	0.296578697277309	0.594804864122535
ARFGAP3	-0.0990482796252629	6.49407104383477	0.424897874651397	0.517730304356681	0.765204166613411
ARFGEF1	-0.244968650529567	7.44463727767459	1.47624690431801	0.230530658728722	0.527160466807352
ARFGEF2	-0.0609559140569874	7.89715756874034	0.137048643001698	0.712923267365433	0.878828620365863
