GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
GALNT9,0.3412950286,0.2615877513,0.5,0.068691186606884,0.1994277572,0.8001616629,1.0,1.0,0.5213954233
CYTH3,1.0,0.0,0.5,0.8038878440856934,0.3539814516,0.2857210088,0.0991280771,0.4702740899,0.4391240589
OSGIN2,0.290047737,0.0717519737,0.5,0.05844433233141899,0.4134603509,0.6908713641,0.515186587,0.7761762994,0.4144923306
RAB31,0.0,0.0,0.0,0.0,0.1971921522,1.0,0.6555437515,0.9004228128,0.3441448396
RABGEF1,0.0,0.0,0.5,0.055315110832452774,0.5906439679,0.5954026281,0.3446401966,0.6372628198,0.3404080904
STX1A,0.223880597,0.1745619944,0.0,0.0,0.2717931582,0.7305158981,0.5447263483,0.7684467752,0.3392405964
HSPH1,0.0989145183,0.0,1.0,0.2653296887874603,0.1524612114,0.3725841385,0.1871098898,0.5481630749,0.3280703152
RAB3B,0.6855858969,0.4280540119,0.0,0.0,0.1046823355,0.5309645537,0.1199246245,0.6384324966,0.3134554899
DNAJC5B,0.5310866665,0.0,0.0,0.0,0.8309300315,0.4379185743,0.1423957547,0.5534069742,0.3119672502
RFWD2,0.1564383054,1.0,0.0,0.21261510252952576,0.4911867812,0.2944811081,0.0,0.3094642675,0.3080231956
RAD23A,0.6723169066,0.0,0.0,0.08988960087299347,1.0,0.3157890505,0.0,0.3444775424,0.3028091375
GALNT6,0.3292963753,0.0,0.0,0.0,0.6107619777,0.5588986514,0.2439907815,0.6312421275,0.2967737392
DOLPP1,0.1741471215,0.0,0.5,0.9999998807907104,0.0943674513,0.2030845228,0.0,0.2589385402,0.2788171896
GALNT16,0.1826114184,0.1248476944,0.0,0.0,0.128875283,0.8083254565,0.2286339262,0.7540561178,0.278418737
VAMP2,0.0,0.1281858681,0.0,0.06830496340990067,0.5364553243,0.6416049169,0.2118628111,0.6320738859,0.2773109712
RAB39A,0.0,0.0,0.0,0.0,0.2454773829,0.6066020653,0.5815895797,0.7523297873,0.2732498519
BAG2,0.0,0.0,0.0,0.0,0.4662138224,0.831442634,0.1475858287,0.7122844881,0.2696908466
B4GALNT2,0.0,0.0,0.0,0.0,0.1019998641,0.605079999,0.5246056111,0.878157684,0.2637303948
STX11,0.0,0.0,0.5,0.6300362944602966,0.1039467356,0.3654508006,0.0213003459,0.4759169536,0.2620813913
RAB6A,0.0,0.0,0.5,0.5618996024131775,0.2996074851,0.3648859498,0.0,0.3609991913,0.2609240286
WAS,0.0,0.0,0.0,0.0,0.1277870451,0.5008677621,0.7073350328,0.704151129,0.2550176211
TMX3,0.2590618337,0.0,0.5,0.0,0.367204021,0.4267314284,0.0,0.442201549,0.249399854
STX19,0.0,0.358458744,0.0,0.0,0.9167691939,0.3439201738,0.0,0.3334790495,0.2440783952
B4GALNT1,0.0286567164,0.1318009621,0.5,0.0,0.2254951302,0.3962750207,0.1249827805,0.5013565487,0.2385708948
TBC1D1,0.0,0.0,0.5,0.0,0.341094518,0.5488740446,0.0,0.4781601895,0.233516094
COPZ2,0.0,0.0,0.0,0.0,0.1640248579,0.5380287195,0.4610409207,0.6992623597,0.2327946072
EDEM2,0.3158208955,0.0,0.0,0.7219236493110657,0.1806319697,0.3000742637,0.0,0.3368964176,0.2319183995
KDELR3,0.2204362801,0.0,0.0,0.0,0.0672600594,0.6459560769,0.3017189516,0.6172055218,0.2315721112
RAB26,0.0,0.0,0.5,0.16984975337982178,0.0927495574,0.4196743996,0.1289228067,0.5170204639,0.2285271226
FBXO2,0.1289552239,0.0,0.0,0.0,0.1551234654,0.5067840505,0.4163676116,0.6092503872,0.2270600923
AGAP3,0.2385308481,0.0,0.0,0.0,0.2133735792,0.5012232186,0.2538541881,0.5763716827,0.2229191896
GALNT3,0.2555601439,0.3045834557,0.0,0.0,0.0929617941,0.2267012978,0.371765263,0.530944098,0.2228145066
STX6,0.1208955224,0.0,0.5,0.0,0.3550639039,0.4343499346,0.0,0.3711997484,0.2226886387
TRAPPC6A,0.2620042644,0.0,0.5,0.0,0.2875473683,0.3346307727,0.0,0.3930591132,0.2221551898
RAB25,0.2295793758,0.0,0.0,0.0,0.039917852,0.3832222606,0.5091167883,0.612352584,0.2217736076
VAMP8,0.1343283582,0.0,0.5,0.0,0.3751369097,0.3551551522,0.0,0.4037036287,0.2210405061
DNAJA1,0.0,0.1674461715,0.0,0.0,0.2629947867,0.486576695,0.2604093698,0.5855023185,0.2203661677
ASAP3,0.0,0.0,0.0,0.9320700168609619,0.3610492356,0.2375277766,0.0,0.2101468095,0.2175992298
TRAPPC2,0.0,0.0621054952,0.0,0.0744667574763298,0.7322679639,0.4236779557,0.0,0.4443847688,0.2171128676
TBC1D2,0.0,0.0,0.5,0.04732641205191612,0.0226710805,0.2843794137,0.3472338559,0.5187874242,0.2150497733
RASEF,0.1228144989,0.0,0.0,0.0,0.13645235,0.7199999889,0.0711423692,0.6611638334,0.21394663
SGSM1,0.1381663113,0.0,0.0,0.0,0.1420292663,0.753765919,0.0672254333,0.5931683532,0.2117944104
MGAT4B,0.1410447761,0.0,0.0,0.0,0.4682101357,0.5248384476,0.0255931422,0.5210670217,0.2100941904
RAB6B,0.0,0.0636663476,0.0,0.0,0.0846997339,0.6213492128,0.2233699085,0.6865070033,0.2099490258
PIGX,0.1074626866,0.0,0.0,0.0,0.5543645841,0.556605752,0.0,0.4509613596,0.2086742978
GGA2,0.3764021995,0.3945196898,0.0,0.10523027181625366,0.2361345311,0.2531692988,0.0,0.2796249513,0.2056351178
GALNT7,0.2302771855,0.0,0.0,0.0,0.0817238432,0.6720963696,0.0546822704,0.5511452194,0.198740611
MGAT5,0.0241791045,0.0,0.0,0.0,0.2765418784,0.6019836168,0.0558158196,0.6193613966,0.197235227
ARAP2,0.0763740634,0.0,0.0,0.0,0.1944453501,0.5341893354,0.2077520678,0.5623230009,0.1968854772
ALG1L2,0.0,0.0,0.5,0.0,0.4299730535,0.3356755954,0.0,0.3031574149,0.196100758
RAB35,0.0,0.3549694381,0.5,0.0,0.2995741955,0.1432833329,0.0,0.2328201041,0.1913308838
SSR2,0.1146268657,0.0,0.0,0.0,0.8240853464,0.3069025894,0.0,0.2532665002,0.1873601627
RABGAP1L,0.5265154994,0.0,0.0,0.0,0.2204430047,0.4040240685,0.0,0.3452941271,0.1870345875
USP6,0.1289552239,0.0,0.0,0.0,0.5786796471,0.4803834427,0.0,0.2962607611,0.1855348844
CAPN2,0.3102985075,0.2762758657,0.0,0.0,0.1894760162,0.3567278242,0.0,0.3363513105,0.1836411905
PSD3,0.0,0.0,0.0,0.0,0.1266618065,0.5856058587,0.1849324039,0.5404818363,0.1797102382
TBC1D20,0.0805970149,0.0629173317,0.0,0.0,0.6028130098,0.3610890722,0.0,0.3032203325,0.1763295951
ALG1L,0.1432835821,0.0,0.0,0.0,0.0996841733,0.7123428142,0.0,0.4498910414,0.1756502014
DNAJB1,0.4242576201,0.0,0.0,0.0,0.2877686037,0.2780159454,0.0,0.3952208,0.1731578711
RAB30,0.0,0.3555450955,0.0,0.0,0.1689042326,0.2619352651,0.1294338663,0.4543987695,0.1712771536
USO1,0.2772921109,0.0,0.0,0.0,0.225724328,0.4498486805,0.0,0.4052276451,0.1697615956
RAB42,0.0921108742,0.0569981354,0.0,0.0,0.1304773354,0.487652141,0.0,0.5898829926,0.1696401848
DOCK5,0.0,0.0,0.0,0.0,0.1852088489,0.6246629594,0.0,0.5318253657,0.1677121468
UBA7,0.0,0.0,0.0,0.0,0.1728074407,0.3996305405,0.2263418105,0.5356864919,0.1668082854
AP1G1,0.0,0.0,0.0,0.0,0.4410838259,0.4532562138,0.0,0.4350579984,0.1661747548
IQSEC3,0.0,0.0,0.0,0.0,0.2819321644,0.5571436057,0.0,0.4793088852,0.1647980819
ACAP2,0.1410447761,0.0,0.0,0.0,0.280337623,0.4319670088,0.0,0.4505478252,0.1629871541
SSR4,0.1813432836,0.0,0.0,0.0,0.4412514654,0.3674017885,0.0,0.2808120899,0.1588510784
RAB27B,0.1289552239,0.0849383978,0.0,0.0,0.0379494848,0.4412393798,0.0091473428,0.5598336494,0.1577579348
TBC1D22A,0.1820544337,0.1847161795,0.0,0.0,0.3645972515,0.3000046195,0.0,0.2250159952,0.1570485599
GGA3,0.0,0.0580900537,0.5,0.0,0.3256699371,0.2186059223,0.0,0.1463134036,0.1560849146
