GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
KIF20A,0.7931192507,1.0,1.0,1.0,0.3668963135,1.0,1.0,1.0,0.8950019455
RAB40B,0.1812478483,0.5671819378,0.3333333333,0.33346128463745117,0.6296408577,0.972186683,0.5294136782,0.7081228399,0.5318235579
RAB44,0.6105145006,0.3409005907,0.3333333333,0.27347418665885925,0.24347024,0.7795654602,0.1751817195,0.4593058999,0.4019682414
RAB3A,0.2894019174,0.0,0.3333333333,0.0,0.4390669393,0.8826897572,0.258374687,0.6283981905,0.3539081031
ARHGEF6,0.0481606822,0.0728075103,0.0,0.01171044260263443,0.3786990172,0.930714211,0.5877126084,0.7488398845,0.3473305445
HSP90AB1,0.793428073,0.4757091269,0.0,0.12218596786260605,0.2494544689,0.4688210642,0.2560505968,0.4089132505,0.3468203185
RAB42,0.3264606241,0.0,0.3333333333,0.020440930500626564,0.1893956474,0.8822570405,0.3710826587,0.5732769581,0.3370308991
TBC1D16,0.0770570915,0.5653644686,0.0,0.03413257747888565,0.3267289899,0.5774756927,0.4631706483,0.5904035426,0.3292916264
GALNT16,0.8410197615,0.661470981,0.3333333333,0.0,0.0856407565,0.2011517777,0.1097715383,0.3285254993,0.320114206
QSOX2,0.1491746258,0.0,0.3333333333,0.025096096098423004,0.5707181897,0.6306549283,0.3438406391,0.4653697327,0.3147734431
UBE2G2,0.2807844506,0.2312379714,0.0,0.24044938385486603,0.3432156331,0.5317539445,0.3606781806,0.4935042984,0.3102029828
SSR3,0.2467774996,0.1938558658,0.3333333333,0.0,0.5910831931,0.6059865445,0.1037734887,0.3564941967,0.3039130152
PRKCSH,0.4476914783,0.0908242002,0.0,0.11977802217006683,1.0,0.5217911568,0.0,0.239105529,0.3023987983
DOCK5,0.0967693707,0.0,0.0,0.16254353523254395,0.4111948426,0.6779495009,0.447587393,0.5128344539,0.288609887
NGLY1,0.1576720527,0.1344170991,0.3333333333,0.0,0.6796978943,0.47115339,0.1766456046,0.3403819503,0.2866626655
RAB32,0.3178871372,0.2091385203,0.0,0.27657508850097656,0.3126695966,0.7262779757,0.0700369065,0.3734189992,0.285750528
PIGZ,0.5869038299,0.0350000729,0.0,0.0,0.2492104543,0.6192427883,0.2069200101,0.5149125128,0.2765237085
ASAP3,0.0,0.0,0.0,0.0,0.3599371104,0.8757521685,0.40186697,0.562934858,0.2750613884
TRAPPC4,0.7035429195,0.6328936861,0.0,0.10523428022861481,0.129673063,0.1800246026,0.0968232389,0.274539413,0.2653414004
TOR1A,0.3166092689,0.3348459313,0.0,0.046955887228250504,0.7242796125,0.4201425114,0.0,0.2793664004,0.2652749515
VAMP8,0.4821285518,0.0,0.0,0.2606765627861023,0.4888066571,0.3398586836,0.1734526023,0.3750873281,0.2650012982
DNAJC6,0.0834134338,0.0417188369,0.0,0.13931091129779816,0.2597425438,0.8283551606,0.1480950017,0.557441219,0.2572596384
GLT1D1,0.4641093492,0.5673566583,0.3333333333,0.14389419555664062,0.0641165152,0.2997178903,0.0,0.1307289831,0.2504071156
TXNDC12,0.1972384539,0.1013199254,0.0,0.031609270721673965,0.7052949041,0.4330402242,0.1830404485,0.3410923511,0.2490794472
RAB20,0.3290917759,0.0,0.0,0.13098695874214172,0.1321594338,0.4422426675,0.3881289757,0.5600655446,0.2478344195
B4GALT3,0.4862947496,0.7377980298,0.0,0.2014225721359253,0.1975567992,0.2316944404,0.0,0.1226745771,0.247180146
DERL1,0.3414978793,0.0,0.3333333333,0.0,0.2341799373,0.5030496564,0.1343095021,0.377811817,0.2405227657
ALG1L2,0.0825611694,0.0,0.0,0.027476035058498383,0.6262547208,0.5006806466,0.2516882337,0.3981719634,0.2358540961
GALNT3,0.0963213643,0.1909359638,0.0,0.0,0.1540277175,0.6749642236,0.2178780354,0.5425928878,0.234590024
GALNT13,0.1884922959,0.0,0.0,0.04884704574942589,0.2447905538,0.5739279818,0.2430547244,0.5534566358,0.2315711547
STX6,0.2507499654,0.8252407175,0.0,0.04010321944952011,0.2738129384,0.2748688336,0.0,0.1867819287,0.2314447004
RAB23,0.3378036589,0.3264678585,0.0,0.5599901676177979,0.0083878867,0.2471503429,0.0152313618,0.3317747952,0.228350759
RAB33A,0.5525548513,0.6280547926,0.0,0.43523108959198,0.0072632888,0.0514404126,0.0,0.1307074473,0.2256564853
RAB41,0.1009582062,0.1623847473,0.0,0.0,0.3224396942,0.5474975613,0.2599604777,0.3823994005,0.2219550109
IQSEC1,0.174691929,0.3414529231,0.0,0.0,0.206626308,0.4010036994,0.2305251427,0.4179166616,0.221527083
SRPRB,0.1956137305,0.1801596956,0.0,0.053260687738657,0.6005160793,0.3824925442,0.032626928,0.3214458755,0.2207644426
MAN1A1,0.0976973838,0.0359546747,0.0,0.0,0.242094157,0.6403393632,0.2407813086,0.5033822991,0.2200311483
