pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.482343085316266	4.70150406174732	1.05427995836757	0.305838811369606	0.52905007286629
ACAP1	-0.299045892480542	3.73117369935309	1.53083329224305	0.217526031376833	0.434299381794036
ACAP2	0.037862723123295	5.22124767379549	0.0598771457229309	0.806956304371927	0.903311972053897
ACAP3	-0.473919505258275	5.92097276452182	5.8719012852797	0.0163293860738181	0.0852335754661164
AGAP1	0.0140278424000884	6.19459752942092	0.00721095981128025	0.93241717576988	0.968041406983608
AGAP2	0.0218816351750557	1.95151939777795	0.00571280692366658	0.939830903431843	0.971407749585122
AGAP3	0.360655328716734	6.27443699039096	6.04087422991431	0.0148816840993142	0.0801174657964786
AGR2	-1.63386694819647	4.13652481038078	2.04334616985148	0.15452773273657	0.354203611070424
AGR3	-3.02544537759715	2.02418956248958	8.52301840239731	0.00393403393217502	0.0322166172794177
AKAP10	-0.370319083759172	5.31236311398095	9.39016766723391	0.00250126504080747	0.0231557759566116
ALG1	0.18979698807662	4.93351599693841	1.56856153584546	0.211967172870565	0.427224602705195
ALG10B	0.205222586570271	3.99262427072711	2.0868077689393	0.150235913905833	0.34806876079629
ALG11	-0.161600177501132	2.72534975128768	0.630055631997235	0.428332675445	0.642052966049363
ALG12	-0.143644085058799	4.54581312853498	1.0784415478042	0.300376295636798	0.523958097575718
ALG13	-0.000881801493346425	4.81955931903855	6.03634494420211e-05	0.993809198394096	0.997264846981772
ALG14	0.0352230543017336	3.51882775809679	0.060039810700081	0.80669949176971	0.903193025088695
ALG1L	-0.63443963208426	-0.235935312379172	1.57250316385958	0.211396271344899	0.426620098956739
ALG1L2	0.408895512520197	-1.41825661400909	2.28018666477173	0.132710020193806	0.323491911039478
ALG2	-0.16731032492489	5.38965067970876	2.06649196570355	0.152224935169129	0.350827641071395
ALG3	0.41012599737436	5.81882916705003	7.26336123059229	0.0076734482652805	0.0512988752129553
ALG5	-0.0286562537409784	5.27484615283325	0.0521794116472219	0.819560959466789	0.910101418134739
ALG6	0.248936995389824	3.7258741544417	7.75565803230186	0.00590082757733504	0.0425907870123409
ALG8	0.320042329263869	5.17551635834595	11.12984325435	0.00102312228447903	0.0120657539073159
ALG9	0.129612063034158	3.16667996668921	1.91951555420911	0.167546733999697	0.371568612367799
AMFR	0.455713665119291	7.17190664251295	7.42963739102904	0.00702031287642333	0.0484365054388123
ANKFY1	-0.460904866478604	6.59298834232969	6.63456217157681	0.0107674999963727	0.0644106684655967
AP1B1	-0.389918784682964	7.51387781631718	5.66723792600858	0.0182812989517367	0.091297763797432
AP1G1	-0.205544140141757	7.31791840352427	2.39595834656015	0.123325917622424	0.308881980632052
AP1M1	0.214405613529642	6.54620574185143	3.81654764302842	0.052228102925558	0.181415597448264
AP1S1	0.221530132342945	6.46249384084567	1.50570015751655	0.221326249880907	0.438612873456064
AP1S2	-0.134223716524001	4.25958664865957	0.4051601031024	0.525208267447085	0.72011736648117
AP3B1	-0.0162397120102202	6.18379412203812	0.0127139064647355	0.910343986731098	0.957443223245031
AP3B2	0.538162745312686	2.40925602507712	3.54395430625882	0.0613029811563306	0.200288209510761
AP3D1	0.156685688692977	7.65658121666321	2.00814204162981	0.158106980067523	0.359256253644317
