GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
KIF20A,1.0,0.9506118214,1.0,1.0,0.1699058038,1.0,1.0,1.0,0.8900647032
TXNDC12,0.2027724324,0.9115683738,0.6666666667,0.0918881818652153,0.8322302514,0.5795700865,0.195257992,0.4103297541,0.4862854673
GIT1,0.9559221033,0.3898588709,0.3333333333,0.5771434903144836,0.1516166505,0.4835544237,0.1683796676,0.412817528,0.4340782585
PRKCSH,0.1760996901,0.1934728381,0.3333333333,0.20285913348197937,0.905094088,0.7231996145,0.1974644123,0.4284715976,0.3949993384
VAMP8,0.1422115345,0.0,0.3333333333,0.47638508677482605,0.6872410078,0.643592934,0.1505833449,0.4427187032,0.3595082431
QSOX2,0.4347227298,0.0,0.3333333333,0.0,0.8053714377,0.6442281456,0.2125207637,0.445870299,0.3595058386
TRAM1,0.7434595944,1.0,0.0,0.0,0.3189641964,0.4035375309,0.0,0.3296455269,0.3494508561
TRAPPC4,0.3803252107,0.0,0.0,0.1674954742193222,1.0,0.5952721082,0.1110967573,0.3999021164,0.3317614584
RAD23A,0.0,0.5102278837,0.3333333333,0.4417418837547302,0.3840680483,0.4460500387,0.0978004291,0.3614864031,0.3218385025
MICAL1,0.1289181946,0.141775846,0.0,0.7627600431442261,0.0856769707,0.5454359738,0.3317569629,0.4992164308,0.3119425527
PIGB,0.2641912827,0.0,0.0,0.15155014395713806,0.466895084,0.7755412285,0.2706553368,0.4362952282,0.295641038
RAB42,0.0,0.017070179,0.0,0.0,0.222321442,0.7996168168,0.4857962502,0.6981165276,0.277865152
AP3S2,0.0,0.3251713387,0.0,0.0,0.5418662958,0.7812020756,0.1446389733,0.4299186823,0.2778496707
RAB26,0.179887346,0.0229191743,0.0,0.0,0.3039539554,0.7357221328,0.352858029,0.5991059625,0.274305825
LARGE2,0.2981160055,0.4740267999,0.0,0.0,0.1927054614,0.2244547585,0.3515327342,0.4852079899,0.2532554687
ARFGAP2,0.5461188164,0.0,0.0,0.6954585313796997,0.2882591732,0.2790179177,0.0,0.2082365825,0.2521363776
BAG2,0.4506718608,0.0,0.0,0.30322158336639404,0.1989115153,0.6959183688,0.0,0.2882994965,0.2421278531
KDELR1,0.7684502803,0.0,0.3333333333,0.1020689606666565,0.35859387,0.188529898,0.0,0.1668589032,0.2397294057
MYO5B,0.7232770296,0.0,0.0,0.27881568670272827,0.1052705178,0.2165596607,0.2432201271,0.3359281297,0.237883894
ERO1A,0.3797403406,0.0,0.0,0.0,0.2832801128,0.6351697944,0.1673384321,0.4305036675,0.2370040434
UBA5,0.0215812127,0.0,0.3333333333,0.2607351541519165,0.433990345,0.2938439292,0.1240033768,0.2903795983,0.2197333687
TBC1D30,0.5015370105,0.0,0.0,0.07155587524175644,0.5366662485,0.3292142179,0.0,0.2568029316,0.2119720355
BAG1,0.0402301403,0.4901939303,0.0,0.0,0.2332531615,0.5657451613,0.0,0.34735532,0.2095972142
SAR1A,0.1027316863,0.0,0.0,0.0,0.9230127628,0.4219209313,0.0,0.225146002,0.2091014228
KDELR3,0.0,0.0,0.0,0.03465895727276802,0.1605484716,0.5762979574,0.3893023711,0.5090646036,0.2087340451
STX3,0.1880060873,0.0704541497,0.0,0.03362583369016647,0.2192856944,0.631286005,0.1310933801,0.3674765195,0.2051534587
CRYAB,0.0,0.0,0.0,0.0,0.136944027,0.8717690139,0.0989893548,0.518493708,0.203274513
NGLY1,0.1975609353,0.0,0.3333333333,0.0,0.4649715112,0.367704351,0.0,0.2598310437,0.2029251468
USE1,0.4917811306,0.1625430888,0.0,0.0,0.3484597093,0.3796253225,0.0,0.2374860715,0.2024869153
PSD4,0.0,0.0,0.0,0.0,0.3307285809,0.7129278078,0.1464341963,0.4119822153,0.2002591
RAB11FIP4,0.0,0.0,0.0,0.11039245873689651,0.274242349,0.522434547,0.2728341664,0.4185805059,0.1998105034
PDIA3,0.0555204334,0.3824837877,0.0,0.39265236258506775,0.256658006,0.3302261756,0.0,0.1677181157,0.1981573601
RAB27B,0.3451889407,0.0,0.0,0.0,0.1499351563,0.7719668361,0.0,0.3142995146,0.197673806
IQSEC3,0.1232780236,0.0,0.0,0.0,0.2422394858,0.8696450309,0.0,0.3428068256,0.1972461707
TBC1D10A,0.1692543446,0.0,0.3333333333,0.09338012337684631,0.3917997517,0.2811462423,0.0,0.2981271537,0.1958801186
GALNT15,0.0770487648,0.0,0.0,0.0,0.0213981545,0.8077699808,0.1612964377,0.4939499696,0.1951829134
RAB20,0.2759208869,0.2309658313,0.0,0.0,0.0133107388,0.4533832782,0.1687529085,0.4013290429,0.1929578358
SRP14,0.1502875424,0.0,0.0,0.0,0.6569107495,0.5025188821,0.0,0.2195392816,0.1911570569
VAMP3,0.1250558437,0.0,0.3333333333,0.0,0.6695695346,0.2165698021,0.0,0.1780591195,0.1903234541
PIGV,0.1540975295,0.0,0.0,0.0,0.6600891516,0.4534710799,0.0,0.2425712754,0.1887786296
CKAP4,0.0,0.0,0.0,0.0,0.2883708677,0.5825910523,0.196214451,0.4341245511,0.1876626153
ERO1B,0.0,0.0,0.0,0.0,0.7509034289,0.5305180861,0.0,0.2112944696,0.1865894981
GALNT11,0.1027316863,0.0,0.0,0.0,0.1001610001,0.6698461665,0.1721767513,0.4377216645,0.1853296586
LARGE1,0.1921280095,0.0,0.0,0.0,0.376280912,0.4626575417,0.1107659489,0.3332373596,0.1843837215
RAB3IL1,0.0821853491,0.0,0.0,0.0,0.0935944585,0.4955860604,0.3448170428,0.4229688222,0.1798939666
FBXO2,0.4454730284,0.3144994949,0.0,0.0,0.0160702825,0.3290820176,0.0395303669,0.2925522962,0.1796509358
UBE2J2,0.0301017456,0.028541213,0.0,0.0,0.4866946684,0.5684566628,0.0,0.3200190015,0.1792266614
SSR2,0.2723566362,0.069553609,0.0,0.0,0.4312929979,0.3369109619,0.0206131179,0.3024666925,0.1791492519
VAMP2,0.0,0.3742223247,0.0,0.0,0.0854230931,0.4890763035,0.1112467234,0.3699355393,0.178737998
RAB23,0.1483902136,0.4823457857,0.0,0.0,0.0695556574,0.4481188943,0.0,0.2802492113,0.1785824703
GALNT3,0.0,0.0,0.0,0.0,0.1748732445,0.5120946288,0.2590873873,0.4801090627,0.1782705404
HSPA2,0.0,0.0688662069,0.0,0.0,0.054178221,0.6648232166,0.1563750612,0.4750315305,0.1774092795
HSPA8,0.0,0.0535222702,0.0,0.0,0.2030044025,0.5681391531,0.1985629759,0.3940626804,0.1771614353
PIGZ,0.0,0.0,0.3333333333,0.5664896368980408,0.1653670685,0.1361540726,0.0,0.2104093796,0.1764691864
ABO,0.0,0.1002766725,0.0,0.0,0.1412908597,0.7025101102,0.0827768179,0.3844830814,0.1764171927
MGAT5,0.2521708982,0.0,0.0,0.8254316449165344,0.2002997096,0.1226982007,0.0,0.00780025,0.1760500879
GALNT2,0.343948897,0.1382566576,0.0,0.0,0.1823212992,0.4288402382,0.0,0.2981680492,0.1739418926
CAPN1,0.0,0.0,0.0,0.2719724476337433,0.3231945241,0.4585453845,0.0117238732,0.3211285875,0.1733206021
YKT6,0.0672425583,0.0,0.0,0.0,0.4855551478,0.4579118679,0.0337993849,0.3410492173,0.173194772
MAN1A1,0.0,0.0,0.0,0.0,0.203238986,0.6582494466,0.0690354756,0.4493566522,0.17248507
RAB13,0.0,0.100391815,0.0,0.0,0.6041150382,0.4549460245,0.0,0.2094040487,0.1711071158
STX2,0.1232780236,0.0,0.0,0.0,0.2723056556,0.4891422126,0.100680711,0.3779101702,0.1704145966
BNIP1,0.016618361,0.1635501886,0.0,0.0,0.4998856155,0.4120925379,0.0,0.2624681132,0.169326852
PDIA4,0.0128597954,0.0,0.0,0.04744384437799454,0.2121253507,0.5741813253,0.1121521853,0.3759454776,0.1668384973
DNAJC10,0.3837594443,0.0,0.0,0.0,0.2039355867,0.4382959866,0.0,0.2980246232,0.1655019551
GALNT12,0.0,0.0567486576,0.0,0.0,0.1219342973,0.468795285,0.2302303667,0.44331469,0.1651279121
SNAP29,0.4165207747,0.0,0.0,0.0,0.5608166995,0.1884808992,0.0,0.152604922,0.1648029119
GMCL1,0.311015045,0.0,0.0,0.0,0.4042432587,0.3140667051,0.0,0.2838783878,0.1641504246
RAB11FIP3,0.0606589,0.0,0.0,0.25861188769340515,0.4516530918,0.3655424794,0.0,0.1618426501,0.1622886261
BAX,0.0,0.0,0.0,0.0,0.720979449,0.3481667152,0.0,0.2242778111,0.1616779969
PIGC,0.4260183585,0.3499902528,0.0,0.0,0.1025527058,0.184205954,0.0,0.2165664504,0.1599167152
AGR2,0.1274703829,0.0,0.0,0.0,0.0218840634,0.5527203257,0.1020580437,0.4621366836,0.1582836874
RAB3IP,0.1163187803,0.0,0.3333333333,0.0,0.1367922962,0.3706864644,0.0114607364,0.2930000993,0.1576989637
ARAP1,0.0,0.0,0.0,0.0,0.6631643601,0.3909674769,0.0,0.2026662798,0.1570997646
