pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	0.815533892343697	0.0599972316115571	5.20786493345809	0.0229813056214863	0.0342854929408522
ACAP1	-0.0980024962157119	2.71313261834205	0.336572191465035	0.562123763292478	0.613658305699033
ACAP2	-0.12568593640089	4.52195089568385	2.27794902212782	0.13197267137876	0.169293606466437
ACAP3	0.564967345026267	4.79705284320696	28.6820765958201	1.40358090947027e-07	4.86157951376615e-07
AGAP1	0.870233851998877	3.99809746913001	56.5519410810632	3.31434440538718e-13	2.95958052526669e-12
AGAP2	0.700425103866441	1.59525600375606	26.2146471288938	4.65029899260855e-07	1.48668153631078e-06
AGAP3	0.298266200187931	5.97894804833531	12.170967501424	0.000536357013052117	0.00105826701298006
AGR2	4.01099943831423	4.80149453003748	22.0355687474743	3.62244728699229e-06	1.00807025726741e-05
AGR3	-0.208755414840589	-1.61817662918511	0.184649427308681	0.667626713874502	0.711224780383852
AKAP10	-0.176879001065677	3.31138605441638	4.5228793355143	0.034023379949735	0.049191577225174
ALG1	0.380196821826947	4.45415674120282	21.1111883979342	5.72958291151739e-06	1.54466779953386e-05
ALG10B	-0.302577795260921	2.46000594457614	6.60208996140057	0.0105279526567534	0.0166679738499307
ALG11	-0.207620751817633	1.89124835874912	4.68924394836388	0.0309108839456156	0.045041347063465
ALG12	0.344283446620905	4.04066004366099	9.06900601726765	0.00275583566679743	0.00482234078150852
ALG13	0.299819583011362	4.42304760520431	14.2708360251139	0.000181012483709396	0.00038494394831176
ALG14	0.0641336626637209	4.01702016241368	0.57194963175455	0.449906650296912	0.504916487839393
ALG1L	3.39660961003929	2.69357964621478	77.123678800479	4.04102620670829e-17	6.60169950373611e-16
ALG1L2	0	NA	NA	1	1
ALG2	-0.242699539253461	5.24907612896928	9.53812798984666	0.00214522165029207	0.00383180156020076
ALG3	0.635475084003267	6.30489998904794	46.558231701938	3.09554882896724e-11	1.93860239404821e-10
ALG5	0.00518363129117677	5.16760242341955	0.00347703873137483	0.953006730653932	0.961603058862008
ALG6	0.469455248930407	3.67889286378437	39.1579551749651	9.60046748060131e-10	4.75687138445329e-09
ALG8	0.342543202762756	5.5798132284522	17.2192412234522	4.02886254796514e-05	9.52497769278422e-05
ALG9	0.08437681682389	3.14326244493411	0.843296012032124	0.358979689812549	0.413834439854978
AMFR	-0.346403468626841	7.25034813674458	12.4614238428549	0.000461108809786029	0.000918818783136289
ANKFY1	-0.600565126452791	4.91706467338272	39.4190055702498	8.49519933514207e-10	4.25847652323192e-09
AP1B1	0.0689496803419024	6.58760781538289	1.07750087313203	0.299850936495205	0.352609797143639
AP1G1	-0.436898158895997	5.97139125632601	35.996080458356	4.2534673708736e-09	1.90395696940268e-08
AP1M1	0.195675156567047	6.53338462932754	6.11371875423251	0.0138063176251108	0.021369631288325
AP1S1	0.601128868127907	5.6580848603791	38.603741913875	1.24506122024625e-09	6.04637514742343e-09
AP1S2	-0.20458254959648	3.19250667682295	3.26397646783531	0.0715284767397292	0.0970585611318315
AP3B1	0.600547370695808	5.08470632004565	66.3699630968297	4.26377460679093e-15	5.27064745623344e-14
AP3B2	1.55377635368701	-1.77946903255548	11.9365999918226	0.000606076796111239	0.00118440549794269
AP3D1	0.462309661609019	7.13994523948141	31.9930002392257	2.85532382891997e-08	1.10987150816698e-07
AP3M1	0.0971904233603326	5.12163010707474	1.89642943184254	0.169207615160716	0.211543263356567
AP3M2	0.928902743543794	2.86566856238558	62.5412090008102	2.30137373658575e-14	2.5318802841514e-13
AP3S1	0.299766267971968	5.49813910710988	11.5266312507421	0.000750914937296321	0.00144531076420791
AP3S2	-0.195728237907206	4.48229240153373	5.5868235195553	0.0185478042958928	0.0281032588210539
APPL1	-0.122316550987969	4.72292057205525	2.62600565094397	0.105871876003604	0.138726979820533
APPL2	0.226999402072539	4.49182291541551	6.79719539778037	0.0094531831267427	0.0150937197610795
ARAP1	0.339620803298539	6.22465446451869	19.2095848091506	1.47964559175139e-05	3.7333102330545e-05
ARAP2	-0.922044057172185	3.22290203156487	45.3690725146849	5.35147562256893e-11	3.22166777405343e-10
ARAP3	0.261074530176266	3.13669497734523	4.06045504560982	0.0445315036382086	0.0629926733081942
ARF1	0.399813260879175	8.86116809401523	27.3185094548652	2.71772154866713e-07	9.00044481473321e-07
ARF3	0.203418254132063	6.36488883484601	9.64563019310061	0.00202589261263058	0.00363294396648623
ARF4	-0.0392701694947985	7.23603564052998	0.259589735618504	0.610668134064556	0.658204480175524
ARF5	0.160213299727402	6.6592573154099	3.85989198634634	0.0501083885275198	0.0702123464570479
ARF6	-0.399452413095604	6.46380818060745	42.5272734013782	1.99331843349065e-10	1.0986474511579e-09
ARFGAP1	0.699229592072141	5.99691856437015	67.7473092098841	2.33316812339046e-15	3.00178933404819e-14
ARFGAP2	-0.0494444930348397	6.57820472618125	0.565055530837511	0.452648917330071	0.507492426914745
ARFGAP3	-0.196791818436631	5.61496165308428	5.55137883069926	0.0189219680035867	0.0286148141599258
ARFGEF1	0.2922427567143	5.31121368089972	10.5830011265383	0.00123294805735607	0.00228852251810051
ARFGEF2	0.133007882189176	5.8546430160517	1.55098381631824	0.21368042724391	0.260649717546987
ARFIP1	-0.165102701223813	4.28145362145065	5.00968746863533	0.0257260366471089	0.0380371669257885
ARFIP2	0.40255511787069	5.3847715956514	28.6518099017821	1.42427290644564e-07	4.92873958542635e-07
ARHGAP1	0.239821896746482	6.13563334507797	10.1481007193863	0.00155159230125597	0.00283586291232785
ARHGAP24	-0.61384091078686	3.02637795788512	14.8916602495064	0.00013165131607348	0.000286326796800745
ARHGAP5	-0.310948904145933	5.30306583542122	11.9688714340112	0.000595955999633658	0.00116583122326681
ARHGDIA	-0.0297951231348791	7.4346941459384	0.147910860596487	0.700733350591643	0.741587963146527
ARHGEF1	0.401768966314496	5.92546703163793	28.9683018450629	1.22225940756727e-07	4.27922704703014e-07
ARHGEF11	1.15716084631638	5.67399623622835	98.0562282475331	6.29322342279293e-21	1.74916178071948e-19
ARHGEF2	1.05189848659148	4.77539681900565	41.1732341040896	3.74281571753272e-10	1.97747462340002e-09
ARHGEF6	-0.420265514255884	3.09207348020987	8.88461129665403	0.00304198457425712	0.00528397351122394
ARHGEF7	0.0677080000845916	5.06130349708572	0.631561663151661	0.42722919572496	0.482470687115695
ASAP1	0.731300608342408	4.60452627429814	26.9653537833839	3.22656876704518e-07	1.05834065523706e-06
ASAP2	0.865566386362319	2.177577366942	13.176754612632	0.000318188610521056	0.000650119396051119
ASAP3	0.785739495273252	4.28847164813405	24.8578858796996	9.02459308677745e-07	2.75444166417396e-06
ATF4	-0.00333789916249567	8.02704476836431	0.00126804310509778	0.971610475147212	0.976837197240324
ATF6	0.17050729075999	6.37205223602069	2.85538066377205	0.091806277264628	0.121885334631117
ATF6B	0.593992142647988	6.23156643411133	46.7966636203094	2.77432540870684e-11	1.74901114327915e-10
ATXN3	-0.148718682479179	3.71350157969598	4.5040301423927	0.0343962005557119	0.0496863182073222
ATXN3L	0	NA	NA	1	1
B3GNTL1	1.47720663759259	2.51761233069854	85.6673633653398	1.07712960795848e-18	2.19761537623731e-17
B4GALNT1	4.22932120854578	2.86534814949362	99.5937907163359	3.35435117190561e-21	9.64124483537272e-20
B4GALNT2	7.23499441435441	2.08640854821395	61.9356288405485	3.00873200616544e-14	3.24725695798502e-13
B4GALT1	-0.696499763780841	7.39592190266231	62.7218456738054	2.12470681085836e-14	2.34896992507165e-13
B4GALT3	0.777260038154775	5.16924928920143	80.2852868539421	1.04859204741089e-17	1.87049711018118e-16
BAG1	-0.198204556497255	5.71211785110381	4.04028158348261	0.0450615088568312	0.0636868577283203
BAG2	0.759650249951269	4.05330388423367	26.8751839900622	3.37121287478457e-07	1.10273052640353e-06
BAK1	0.927735106020206	3.88312534157703	46.8022457231514	2.76722077323803e-11	1.74501664311828e-10
BAX	0.90760057559805	5.68816264819214	59.5229137934792	8.78504990156123e-14	8.77654699360547e-13
BCAP31	0.843167349611111	8.31255893609633	47.8231002848325	1.73242865773497e-11	1.13765153151665e-10
BCL2	-0.153911471231612	2.44245176876224	1.00945761045025	0.315607821065438	0.368963512781557
BET1	0.00123833062964786	4.22929074915316	0.000327807266884968	0.985563277316967	0.988261542935339
BET1L	0.162538660764622	5.86295555494384	7.9976226128611	0.00490666419248987	0.00823385534163907
BNIP1	0.297776235513681	3.10325985284679	9.54620361253802	0.00213601393783912	0.00381595503897811
CALR	0.409131693018511	10.4514804756968	17.2825465447665	3.90195676768757e-05	9.238414584574e-05
CANX	0.449870382569007	9.60693223669593	25.8215978409644	5.63322151582919e-07	1.77789012065948e-06
CAPN1	0.260316851238728	6.97275598532532	9.37867443026349	0.00233554600598823	0.00414146327533818
CAPN2	0.759668788744265	6.60389577564311	34.1046789463828	1.04287540280089e-08	4.34844191090757e-08
CKAP4	0.992302655373682	6.82509687404292	55.2409451024953	5.97239765931707e-13	5.10237795514567e-12
CLTA	0.563200889748786	6.8271168726421	34.5076626979194	8.6112811888691e-09	3.64414784265448e-08
CLTB	0.256867009683021	6.0196586368303	5.35039363141323	0.021197010898354	0.0318137292451964
CLTC	0.18447505372009	8.32791029901497	6.15000271205186	0.0135299395669316	0.020980460781609
COG4	0.308829845706809	5.53771620290936	15.3121897230594	0.00010617861636339	0.000234566010349242
COG6	-0.327776536197377	3.39556273292137	11.3044867544444	0.000843607501843765	0.0016096601761374
COPA	0.507319742241732	7.86551459605291	31.1013540344554	4.37720151298133e-08	1.65221894874967e-07
COPB1	0.0831328490347968	6.61923468904322	1.30818566278325	0.253370960431498	0.303345166314043
COPB2	0.0533195630494726	6.75182995303082	0.710824540285	0.399647218301213	0.455079181284923
COPE	0.581636121049978	7.14494999861436	30.9589275143873	4.68685091480451e-08	1.76032104818691e-07
COPZ1	0.359499802017126	7.04867900968206	29.4407424485225	9.73032275700765e-08	3.45405923348647e-07
COPZ2	-0.38606266368568	4.38493099199424	5.99042713058368	0.0147898162245527	0.0227878373474788
CRYAA	-0.0187255423930879	-2.99099561362388	0.00249915141405212	0.960152773239248	0.967609691329022
CRYAB	1.73385762520222	4.41989877957153	18.2136855051282	2.43962381131773e-05	5.97551262079636e-05
CTBP1	0.0807369379335669	6.72174235226659	1.66859056690012	0.197153520768589	0.242640623793459
CTSA	0.942454659799867	8.26664287663036	66.107334237488	4.78426322061717e-15	5.83777803405559e-14
CUL1	-0.0945161246675345	6.10564397074897	1.71727124787788	0.190756530786889	0.23540564649251
CYTH1	0.133194662840443	5.77011737123536	3.19401554966805	0.0746249101810778	0.100843993120204
CYTH2	0.599261532586062	5.36210683710291	49.8253088694728	6.93844032763064e-12	4.86741127463196e-11
CYTH3	0.728785137406118	3.41750070201446	31.2673884093195	4.04210990758222e-08	1.53440708427578e-07
CYTH4	0.0549577328240914	3.15913688997465	0.118288239320544	0.731069581449152	0.768641913859957
DAD1	0.366528692594805	6.9008141746789	19.5149624810078	1.26987769673536e-05	3.24113552180136e-05
DDIT3	0.863647088025676	4.95486623179086	31.4642060144146	3.67815374942982e-08	1.40517354209375e-07
DDOST	0.511305782953082	7.49476936848696	42.1332925574787	2.39381130933454e-10	1.30262801850872e-09
DERL1	0.219980640258539	6.8000479209662	5.14449633405993	0.0238241374490599	0.0354358101259745
DERL2	-0.0266566687770845	5.25268440891565	0.0895430897464323	0.764905953291156	0.79889082822811
DERL3	1.27022927387036	3.23163763986104	18.9314597778053	1.70100922531896e-05	4.25121257853214e-05
DNAJA1	-0.318951829318829	7.65648474089246	12.7025814997381	0.000406815768365428	0.000817085836550693
DNAJA2	-0.216277124938295	5.95980540981234	5.63198903798985	0.0180821127842484	0.0274415970797777
DNAJB1	-0.0265296880365365	6.93449230199397	0.0423224517934783	0.837105421099184	0.862672561938746
DNAJB11	0.875581303302177	6.7461074180168	96.098104162763	1.40641537220965e-20	3.72224711796464e-19
DNAJB12	-0.0490724260336389	5.59865381139406	0.618641361750132	0.431993502205728	0.487269444073498
DNAJB2	0.537773463776193	6.42961129706181	30.7626649144171	5.15000699568757e-08	1.91683918797039e-07
DNAJB9	-0.486047278039153	6.42694288375927	16.4722221980745	5.88218888870959e-05	0.000135510546093961
DNAJC1	0.0125193651367849	5.62435303033625	0.0180993269683928	0.893044591097442	0.91008506407996
DNAJC10	0.572609898788955	5.5152795574701	34.8696114575375	7.25195512419429e-09	3.10946746526065e-08
DNAJC3	-0.116774091136216	6.72045633816543	1.35425214815569	0.245192819385594	0.294485563156929
DNAJC5	0.752551966165344	5.80853006456047	74.8591655880543	1.06806106197303e-16	1.65214786071414e-15
DNAJC5B	-0.46485281150665	-0.930121836064088	4.06211337071384	0.044488229489594	0.0629393006821818
DNAJC5G	0	NA	NA	1	1
DNAJC6	2.58894856969248	2.19493019028235	92.9889019755158	5.075963454911e-20	1.23014917965975e-18
DNMBP	-0.590666751900131	4.37106349675497	32.2506861613794	2.52422567329145e-08	9.89301287350745e-08
DOCK5	-0.228136107675197	4.43505759618398	2.73079991867482	0.0991727883789472	0.130688003627503
DOLK	0.412002251009776	4.42299072005558	28.0733061927922	1.8844968803197e-07	6.3946735143903e-07
DOLPP1	-0.0269903346649936	4.70827711084464	0.0938328511267486	0.759510760815401	0.794095969270966
DPAGT1	0.268060543202189	5.42926252520335	13.8696800551931	0.00022250328406549	0.000466408619455289
DPM1	0.0468231866866786	4.73044130891093	0.462607199821395	0.496780485067069	0.550717206351445
DPM2	0.709362549772481	5.46368176601556	34.0593033593634	1.06562120040288e-08	4.43839439081963e-08
DPM3	0.550073665714805	5.44562650384834	11.3043338392213	0.00084367515485236	0.0016096601761374
DPP6	1.40192122854089	-2.83209166485112	14.8123390883328	0.000137108812856026	0.000297370288666155
EDEM1	-0.773982547602388	6.25397211547674	64.4901399773218	9.73834942287798e-15	1.13462513440079e-13
EDEM2	0.279228875507681	5.45481141738971	15.0645526267565	0.000120504591298758	0.000263700323717086
EDEM3	0.129009219399341	5.8731684033154	1.21470490814136	0.271029688351752	0.322058721250214
EEA1	-0.0750321949458078	4.45707517505452	0.631842409091718	0.42712655584141	0.482402756890816
EIF2AK1	0.0946822819353105	7.45193255822794	2.35525830265248	0.125609599050001	0.161936117589839
EIF2AK2	-0.121664408222336	5.16954102011115	1.99146795830081	0.158923334840682	0.199857733154024
EIF2AK3	-0.298026612271753	3.79822041866623	12.6610643252765	0.000415678575205968	0.000833780503999393
EIF2AK4	-0.493823038786992	5.52092633260806	39.0293258596837	1.0197178106196e-09	5.03276506054116e-09
EIF2S1	-0.171572728760721	5.50715406370152	6.5069732122524	0.01109677920687	0.0174990043215003
ERLEC1	0.306027700354361	5.76584969118087	19.3661878538037	1.36803618047149e-05	3.4748731080701e-05
ERN1	-0.379145653147351	5.36346621437974	10.1543182557582	0.00154649180773801	0.00282705973032642
ERO1A	0.121006169772065	6.13217134119429	1.46972535192341	0.226066443520171	0.273929527805867
ERO1B	0.271312666571414	5.36119541582447	2.49986000653791	0.114604636077766	0.149154176756873
ERP27	2.31501292680663	1.08168135553867	26.7134871280659	3.64715053269457e-07	1.18448933490315e-06
ERP29	-0.329844826982012	7.74761571628855	16.480913613954	5.85629735346652e-05	0.000135009949545703
ERP44	-0.150377277159787	6.4773986447671	4.18947394807184	0.0412938521860543	0.0587863328594396
EVI5	-0.613498844236732	4.21599770102504	49.3479361464735	8.6263924937587e-12	5.95223703276429e-11
EVI5L	0.60193128080542	3.49616575201587	45.4561409086405	5.14093697989496e-11	3.10397226640401e-10
EXOC1	0.20064237255938	3.78889289234545	6.95576684957612	0.00866313830304942	0.01391346945227
EXOC2	0.160152875905425	4.65692461237796	5.01073968724485	0.0257105941742242	0.0380175927921003
EXOC3	0.397853530527078	5.4906654047283	30.221848452123	6.67904585985424e-08	2.43603876301911e-07
EXOC5	-0.346619242120879	4.84875240114131	21.4397289937996	4.86706503853181e-06	1.32583148866339e-05
EXOC6	0.258168062250006	4.19726167080422	11.4221215617255	0.000793160894129409	0.00152172166136284
EXOC6B	0.270165133845012	3.58241459494326	8.14470219119901	0.00453112931398362	0.00764661745406809
EXOC7	0.386546348475555	5.3584716430848	23.1212798633994	2.11862141659847e-06	6.10296272080656e-06
FAM71B	0	NA	NA	1	1
FBXO2	0.773406494107188	5.51448500162593	7.09995546943546	0.00800368205165909	0.0129265726905458
FBXO6	0.350758064206018	4.27952406553892	7.92573423486638	0.00510165546721786	0.00853772513446704
FBXO8	-0.793209668859061	4.47791573847427	59.9505487223991	7.26227033733057e-14	7.375296727196e-13
FUT8	-0.0244920315347634	2.05465431639157	0.0197709136600607	0.88824577802438	0.906041017311007
GALNT1	0.151076552175548	6.27820517084935	2.29728083484092	0.130348407851922	0.167380210670744
GALNT10	1.04404356830332	4.26213725655766	75.7499408903117	7.28297009130025e-17	1.150081257533e-15
GALNT11	0.316504024850243	4.88540522322189	11.7041015824716	0.000684335963869961	0.00132660927672521
GALNT12	0.833273086179577	0.244716743654089	5.53968923814253	0.0190470764192599	0.0287867561616342
GALNT13	1.95581490282058	-1.57784384595292	21.8340883773624	4.00258166913067e-06	1.10518755523613e-05
GALNT14	-0.342585679144772	0.420711843388197	1.48802876582424	0.223202972832434	0.270868592725465
