GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
RAB25,0.2643762997,0.0,0.6666666667,0.13636524975299835,0.0060458535,0.8395607346,1.0,1.0,0.4891268505
GPAA1,0.5472180467,0.5209085669,0.3333333333,1.0,0.4601470439,0.3969475946,0.184299318,0.3380031,0.4726071254
B4GALNT1,0.1121544248,0.0,1.0,0.13573865592479706,0.0688430788,0.8363119977,0.6438571972,0.6329772161,0.4287353213
VPS45,0.5541860415,1.0,0.0,0.2900233268737793,0.3143584395,0.3842806988,0.4135003635,0.4038756601,0.4200280663
DNAJB11,0.1160176153,0.4822362829,0.3333333333,0.3770183324813843,0.3817231928,0.3219661901,0.1667043254,0.3157352856,0.3118418197
ARAP3,0.0,0.0,0.3333333333,0.0,0.4955109809,0.7610189648,0.3244923685,0.5005412914,0.3018621174
ALG1L,0.0,0.0,0.0,0.010356339626014233,0.075780202,0.8827175157,0.6238463115,0.8048959521,0.2996995401
WFS1,0.0990437972,0.0,0.3333333333,0.015428289771080017,0.2416311325,0.6246255879,0.4664053457,0.5247445311,0.2881515022
KIF20A,0.2546713932,0.4743021653,0.0,0.0,0.1247844719,0.2472425565,0.6097184527,0.4562295833,0.2708685779
UFD1L,0.5624022393,0.3788646196,0.3333333333,0.06126875430345535,0.0704668102,0.3214166209,0.1278904174,0.2985003709,0.2692678957
TBC1D19,0.0,0.0,0.0,0.10362416505813599,0.6707734866,0.5981722588,0.3176452147,0.4240486665,0.264282974
GALNT15,0.0231795998,0.0,0.0,0.0,0.4177732635,0.4755979678,0.555691387,0.5555091721,0.2534689238
STX1A,0.0058594358,0.7588700971,0.3333333333,0.0,0.0481243681,0.3529471943,0.1323714764,0.3239285205,0.2444293032
AGR2,0.0,0.0017969042,0.0,0.0,0.0382117134,1.0,0.3125230441,0.5974613685,0.2437491288
DNAJC6,0.0723214783,0.0417805687,0.0,0.0,0.1851689791,0.5898746218,0.507007286,0.5399798599,0.2420165992
CYTH3,0.0080944634,0.0,0.0,0.0,0.3046269542,0.645467263,0.4245765247,0.5028646457,0.2357037314
MCF2L,0.0430598742,0.0303640283,0.0,0.08524385839700699,0.3924884974,0.5552988983,0.2967804721,0.4236900659,0.2283657118
CAPN2,0.0,0.0,0.0,0.0,0.2378468395,0.660822053,0.4374774681,0.4715206644,0.2259583781
SSR2,0.501009334,0.8562214988,0.0,0.1056888997554779,0.044906918,0.080561418,0.0007606703,0.2156778891,0.2256033285
SEC24B,0.0,0.0479565034,0.3333333333,0.0,0.4606919519,0.3545035679,0.2361703929,0.3578268033,0.2238103191
BAX,0.2350586978,0.0,0.0,0.0,0.5251891111,0.4258313754,0.2214432528,0.3021706338,0.2137116339
OCRL,0.0264780089,0.0161921727,0.3333333333,0.0,0.3031896956,0.3956124324,0.2135706993,0.3800767926,0.2085566418
MAN1A1,0.0,0.1125590716,0.0,0.0,0.0098446249,0.4381170306,0.6007839331,0.50235575,0.2079575513
RAB3IL1,0.0,0.0,0.0,0.0,0.3131896151,0.3882078036,0.4879840995,0.4738133818,0.2078993625
NPLOC4,1.0,0.0245662971,0.0,0.0,0.2476526938,0.2042402264,0.0,0.1709199266,0.205922393
TBC1D16,0.2285781908,0.4299736005,0.0,0.0792476236820221,0.0858286223,0.1756614491,0.2827707212,0.3295414331,0.2014502051
