pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	0.900623836383464	0.0429888437389635	6.66032661683451	0.0106901829162524	0.240439389859787
ACAP1	-0.355460034167394	2.75623803381884	3.6477821101519	0.0578032935446638	0.464357250668438
ACAP2	0.149458785305009	4.66414730924965	2.73079493975639	0.100249303878464	0.550974638778853
ACAP3	-0.018748940160993	5.08542102558315	0.0262844464555457	0.871397340192227	0.971395454170428
AGAP1	0.277416495082893	4.32264010239719	5.52939319073741	0.0198287569364093	0.314137630925997
AGAP2	-0.0636199843816313	1.75166259910412	0.221070865492451	0.63881909271294	0.902671829838744
AGAP3	-0.000367080183472707	6.16723171869096	1.4736618038942e-05	0.996941500045904	0.999251322486491
AGR2	-1.18167966568617	5.71047967855786	3.26123858619731	0.0726789426846796	0.498833372440256
AGR3	0	NA	NA	1	1
AKAP10	0.196692334273599	3.48487389296252	4.55207347030437	0.0342923194141521	0.391751113015021
ALG1	-0.139142756031153	4.61356268247036	2.66412073789611	0.104458720212708	0.555238502054399
ALG10B	0.183042926950085	2.56347107344665	2.02525388879845	0.156509142831426	0.618224208814895
ALG11	0.165406134239979	1.97619288482186	2.36655093816	0.125793001021153	0.585079373457672
ALG12	0.043165599209169	4.2472111323451	0.109814973385227	0.740757130061007	0.934439962722553
ALG13	-0.163307166327235	4.61195050885594	3.82625987432405	0.0520703528694245	0.446230714452327
ALG14	-0.244154969441576	4.15301761739058	6.09140137333775	0.014559223389664	0.282305706246653
ALG1L	-0.438049316202136	2.86202078548873	2.06929830458681	0.152102560270783	0.612350774975021
ALG1L2	0	NA	NA	1	1
ALG2	0.222781309239002	5.38094974116029	5.79684290345662	0.0171094576622093	0.297760055538296
ALG3	-0.026031131998127	6.49066375498272	0.0704933930409266	0.790936793605436	0.949045646623213
ALG5	-0.207622854061018	5.22218219874937	4.40435782014671	0.0373033795718767	0.404379411373108
ALG6	-0.0201944026297187	3.85883367842861	0.0721440049406433	0.788561275644501	0.948570740792502
ALG8	-0.0908327184533336	5.70018830454164	1.06729842119702	0.303002715478386	0.749013803208004
ALG9	-0.235228756666697	3.28437885700809	5.90242127947863	0.0161457382408993	0.290654278236842
AMFR	0.123844637813726	7.26479451212167	1.1508770526018	0.284864154064538	0.735133770226089
ANKFY1	0.199757652691842	4.8868002754588	3.51618909423709	0.0624620977839244	0.474742313707801
AP1B1	0.059427969628154	6.74534252042505	0.617600869699798	0.43301840099983	0.818621391068105
AP1G1	0.124151004421302	5.99945252824069	2.02996115286651	0.15603128559448	0.618224208814895
AP1M1	-0.0407672409747698	6.65198213674832	0.21972642653003	0.639840295936109	0.902781117009267
AP1S1	-0.0421323391563501	5.85276723008173	0.145455872779723	0.703385629751647	0.924378517261581
AP1S2	0.0958547099359789	3.44456207165442	0.461079104427208	0.498030148676986	0.846931426095027
AP3B1	-0.0752369254829624	5.30112998028383	1.09582002553278	0.296649877991152	0.743584020786832
AP3B2	0	NA	NA	1	1
AP3D1	-0.0352910346723592	7.32854866017612	0.160791383869373	0.688925213068139	0.918355298244342
AP3M1	0.0684456373205077	5.29921743606103	0.828703916895485	0.363917868611199	0.784692291260261
AP3M2	0.335747638896146	3.18291829733419	7.83828334530696	0.00569832931753001	0.189184533341997
AP3S1	-0.0844502475213166	5.65357739372029	0.799341955848819	0.37253592233221	0.788328121805802
AP3S2	0.0471099262837824	4.56775187434749	0.230911402787762	0.631457728676509	0.899087650078317
APPL1	0.098659071364012	4.8477118047385	1.37029313095996	0.243376173983809	0.705877137872843
APPL2	0.0497758829495699	4.69392530547082	0.237386121046769	0.626718987990558	0.898089746121228
ARAP1	0.013465373703176	6.4081488836101	0.0328619711848944	0.856361643735689	0.966815029382729
ARAP2	-0.0422919000892916	3.21342898668349	0.0584302926870376	0.809281471628234	0.953613405786428
ARAP3	0.142922251164235	3.25908305346252	1.04343427789624	0.308454555536052	0.751593769381041
ARF1	-0.0915170835252064	9.01849324855862	1.39979806542136	0.238385437270971	0.70143278938492
ARF3	0.0533368765508362	6.56795253999971	0.501945691129093	0.479602770888868	0.838902347662569
ARF4	-0.0628015202825243	7.39313030121059	0.466759291147809	0.495398438118043	0.846209487222194
ARF5	0.00931671333171446	6.79132177954249	0.0106087335806309	0.918083642025448	0.980557248116052
ARF6	0.0764825453962748	6.51739425431138	1.13704665838496	0.287767443848845	0.736540655682095
ARFGAP1	0.0952011979238477	6.27444518054205	1.05895309884995	0.304894852738109	0.749973015601238
ARFGAP2	-0.0722489300756096	6.64817651680004	0.954154211348144	0.330032036522456	0.762983840499889
ARFGAP3	0.033574650535435	5.73381459124193	0.132321728916529	0.716482285399481	0.927480259534995
ARFGEF1	-0.0425857358517417	5.45665956358067	0.22791327445592	0.63367977662442	0.900429153088469
ARFGEF2	0.135861932848402	6.00083016629586	1.48624890415876	0.224463858427772	0.687427437777656
ARFIP1	0.0848718106708814	4.39314404420125	1.06605249197369	0.303284233911253	0.749013803208004
ARFIP2	-0.0280790606943092	5.59675017985518	0.113374296975542	0.736744064198958	0.93333137417796
ARHGAP1	-0.00748262342622202	6.38487752578726	0.00626598513224196	0.93699872512587	0.986753551486507
ARHGAP24	0.074283370146059	3.06079565394021	0.132543234890757	0.716255426456302	0.927480259534995
ARHGAP5	0.174128371187209	5.39335141685522	2.87928851235126	0.0915293225269235	0.537257674615388
ARHGDIA	-0.0303791135933732	7.61093707181197	0.125222101924074	0.723870450227716	0.928645614457081
ARHGEF1	-0.155931678777154	6.10301428141208	4.0629509459211	0.0453859760237793	0.426229692739587
ARHGEF11	-0.0587919949058917	5.93267569131606	0.287158004795156	0.592737823031527	0.883813307536222
ARHGEF2	0.181091483791287	5.12896627399867	1.10491389336268	0.294660584180565	0.742127932905673
ARHGEF6	-0.057560266772167	3.10768343802513	0.112567703488368	0.737647270864926	0.933513632090384
ARHGEF7	0.0552973846715845	5.17226430928052	0.336789708188323	0.56244548583889	0.871732619894848
ASAP1	0.217917843856419	4.92363599701215	2.19013025652518	0.140721611166627	0.599785499264618
