pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.175138392973012	5.36411767887385	1.11807364300887	0.290945678573692	0.495395635784297
ACAP1	-0.121551135150982	4.45340785689927	1.2239177627974	0.269230858617817	0.472939434112419
ACAP2	-0.0594045908315019	5.86953895192423	0.723817109945434	0.395382841840978	0.595724999504335
ACAP3	0.0575364682320239	5.56297687754647	0.445355023242228	0.504918133877264	0.687547463617135
AGAP1	0.0513787013340424	5.61396290957395	0.438613562058836	0.508158169708672	0.690249675279653
AGAP2	-0.0234103736023916	2.86180406268803	0.0565875360181	0.81208994002069	0.897905031511831
AGAP3	0.100452148440905	6.50852413008843	2.32245681071978	0.128276345882861	0.300030668284899
AGR2	0.342289034493974	9.39794977523944	3.74347850031119	0.0536898317016151	0.173402040311094
AGR3	-0.285899593447592	6.26048720759954	1.67398529778662	0.196441608787301	0.392085088631568
AKAP10	0.000330488274710892	4.9410657467899	4.55247354441453e-05	0.994619778555244	0.997991224504021
ALG1	0.0153529776761647	4.78817904452748	0.0512203987038364	0.821064007568391	0.903701984544954
ALG10B	-0.140912334624178	3.87691567665268	4.41598344275695	0.0362031396058468	0.136403995221545
ALG11	-0.0793729234569265	3.04620506360566	1.46988176374106	0.226050665925504	0.425751188967613
ALG12	0.0982776997237832	4.21692883175928	2.6482140800083	0.104421493954424	0.262733120091265
ALG13	-0.135034859344588	5.02091775626797	4.87826586462642	0.0277400272058169	0.11488639130608
ALG14	0.0563629263286416	3.48618989137829	0.874180419490162	0.350341596237205	0.554352730667364
ALG1L	0.0571989251234622	2.82635078938709	0.107410656345301	0.743275996124408	0.855639329004474
ALG1L2	0.0976084865321766	-0.264279369889248	0.810093208278861	0.36861207578309	0.571391367761541
ALG2	0.0532670246639815	5.39781176086409	1.20571967440017	0.272814991666068	0.476801554960097
ALG3	0.157822933804154	5.87888338911421	3.79584548638625	0.0520502646879088	0.170200900917593
ALG5	-0.00353392635919452	5.29915794517471	0.00202495956901346	0.96412920398283	0.983970607778607
ALG6	-0.0123555590392807	4.11617930620719	0.0482021963276092	0.826329056263454	0.906715691477373
ALG8	0.160968809331415	5.43639287839207	6.22508093472536	0.0129810740281038	0.0712262400748311
ALG9	0.296001029923635	3.45299096089086	11.1137065175365	0.000933463236182661	0.0124008818528317
AMFR	0.220580909030538	6.67528857131738	11.5155734749182	0.000756152720634194	0.0107175016370306
ANKFY1	-0.0138210738124493	6.13034134955243	0.0737396630974967	0.786102039455913	0.883570732596513
AP1B1	0.134333826894868	7.26510711011341	5.01992237182917	0.0255830630544202	0.108844625900393
AP1G1	0.0377825925730625	6.95320468277068	0.612674050050337	0.434226950557621	0.629923728413226
AP1M1	0.149251129630589	5.71138688206928	7.20657050356531	0.00755317250654795	0.0502761257187922
AP1S1	0.133945818142299	5.95806112037659	2.50496218031395	0.114246181619404	0.278203565644811
AP1S2	-0.153198334183351	4.60820054572954	2.65032220273331	0.104284043591723	0.262603804394077
AP3B1	0.0498723804485433	5.92866101999147	0.949449241360199	0.330424321185662	0.536224942997821
AP3B2	-0.743621217616993	1.02110989211014	11.06157491167	0.000959371867375959	0.0126288124548709
AP3D1	0.125085832251196	7.535281785344	4.43473574780147	0.0358118048238243	0.135439600585959
AP3M1	0.117870413541019	5.88350635505233	6.7745988084275	0.0095759482277261	0.0587560639463109
AP3M2	-0.121623256664136	4.60280117723305	3.16950760073187	0.0757529474887315	0.215136507326854
AP3S1	0.0974241124117832	5.63538109249241	3.31726452716108	0.0692720506737385	0.203385348169627
