GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
CRYAB,0.3464658818,0.0,1.0,0.32682082056999207,0.2913892816,1.0,0.9292645347,1.0,0.6117425648
DERL3,1.0,0.6405792754,0.0,0.26866814494132996,0.3369568363,0.7381325019,1.0,0.8719930921,0.6070412313
DNAJB9,0.0,0.3794578299,0.0,0.3186371326446533,0.4681883226,0.791952488,0.9530712165,0.6202558327,0.4414453528
SNAP25,0.723305758,0.7261942108,1.0,0.5507779717445374,0.0752526914,0.2028211729,0.0,0.2361175121,0.4393086646
PLAA,0.2317645085,0.7450061918,0.0,0.0,0.4606722876,0.7371326597,0.4168851233,0.5970476895,0.3985635576
TUSC3,0.4737412703,0.7796268204,0.0,0.14647698402404785,0.140611006,0.400504682,0.603693825,0.6125571635,0.3946514689
GLT1D1,0.8335057805,0.1937476857,0.0,0.0,0.1952341654,0.5824411013,0.6219288336,0.6246082509,0.3814332272
ARFGEF1,0.2553088395,0.7226878811,0.0,0.0551723837852478,0.5250939457,0.5287018638,0.3859356545,0.5608406135,0.3792176477
SEC11C,0.168856999,0.1990107287,1.0,0.11237941682338715,0.1590079254,0.5285689233,0.347078448,0.4909240445,0.3757283107
RAB9A,0.2513953209,0.6591052624,0.0,0.0,0.5419105929,0.5153066783,0.5382065982,0.4659964267,0.3714901099
TRAPPC6B,0.2403729045,0.2208741787,1.0,0.6218487024307251,0.3068424995,0.2708723429,0.0,0.281640557,0.3678063981
RRBP1,0.132436862,0.0,1.0,0.5879623293876648,0.0373323919,0.284906138,0.4325667829,0.3582798438,0.3541855435
AP3B2,0.5428957106,0.2028191053,0.0,0.0,0.2143293842,0.5507259364,0.7005825755,0.6099591306,0.3526639803
GXYLT2,0.3972425273,0.2331933045,1.0,0.0,0.2189477333,0.3504745786,0.2389974823,0.3556554003,0.3493138783
ERP27,0.1804845572,0.275183747,0.0,0.19478479027748108,0.1685004419,0.6826179306,0.5212092724,0.7597924252,0.3478216456
TMX3,0.6290664598,0.0,0.0,0.23807290196418762,0.593077031,0.5133242578,0.3219686078,0.4254385199,0.3401184723
SEC23B,0.0109726249,0.0968729791,0.0,0.8046926259994507,0.3800530302,0.5140535345,0.4284272636,0.4662979128,0.3376712464
KDELR3,0.0993276465,0.4855288055,0.0,1.0,0.1452859346,0.3157185442,0.2224840585,0.4237599017,0.3365131114
GALNT10,0.0773981661,0.0,1.0,0.0,0.2434777623,0.5338644466,0.2539820712,0.5068375019,0.3269449935
GALNT11,0.0789778613,0.116569529,0.0,0.8573815822601318,0.2115763202,0.3967094103,0.4213896073,0.523048647,0.3257066197
TRAPPC2,0.132436862,0.0,1.0,0.07508722692728043,0.4092964312,0.3947175271,0.2059075467,0.3816307969,0.3248845489
SNAP29,0.0,0.2031415243,0.0,0.008989688940346241,0.6432352287,0.4627917388,0.7136078159,0.5430692329,0.3218544037
RAB24,0.0,0.0,0.0,0.44563087821006775,0.1216933778,0.5885416963,0.7767872098,0.6349136089,0.3209458464
LARGE1,0.397310586,0.586134933,0.0,0.016861440613865852,0.2421363358,0.3888585606,0.4310566762,0.4610275927,0.3154232656
RAB40B,0.1261702257,0.0,1.0,0.12009722739458084,0.2909608427,0.278028781,0.3029648128,0.3875819427,0.313225479
