GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
CTSA,0.24385418,0.5862220849,1.0,0.24303728342056274,0.5387796721,0.7021144533,0.934716036,0.9544155848,0.6503924118
RAB33B,0.1233573198,0.5757056072,1.0,0.15194782614707947,0.5831235525,0.7036804514,1.0,0.8862150105,0.6280037209
RAB3IP,0.483310993,0.0,1.0,0.0873686894774437,0.195806936,0.4482612425,0.7969415141,0.8249095942,0.4795748712
UGGT2,0.1622795109,0.8044941808,0.0,0.35850417613983154,0.4989363664,0.6292421474,0.669326943,0.6870515678,0.4762293616
RAB40A,0.0595175406,0.4129391362,0.0,0.05099297687411308,0.6202248675,0.9492472217,0.713034377,1.0,0.475744515
SRP19,0.2525099549,1.0,1.0,0.18005423247814178,0.3231679549,0.4521378932,0.1515447218,0.4412298152,0.4750805716
TRAPPC9,0.3429572348,0.0,0.0,0.10316193103790283,0.5286300072,1.0,0.6034181837,0.9036629968,0.4352287942
RFT1,1.0,0.4925685603,1.0,0.33537763357162476,0.1588036635,0.027421464,0.0069467543,0.2301908825,0.4064136198
NAPB,0.2219863597,0.3088687806,0.0,0.0,0.5146867171,0.8029195452,0.5780139546,0.716988833,0.3929330238
RAB37,0.4654345443,0.1408541435,1.0,0.0789627954363823,0.1099250572,0.4804737783,0.3025381892,0.5638190212,0.3927509411
GPLD1,0.3676190531,0.3466553938,0.0,0.037871986627578735,0.3905205103,0.7934317785,0.5074500523,0.6906233519,0.3917715158
RAB20,0.3454132904,0.0,0.0,0.031146394088864326,0.4317252342,0.8129517523,0.5832706674,0.8578325839,0.3827924903
EVI5,0.1564313838,0.1276874445,1.0,0.033400021493434906,0.4013651449,0.3831001644,0.3008281981,0.5776626197,0.3725593721
RAB9B,0.1791636773,0.1775472397,1.0,0.02407374233007431,0.2200261949,0.3803754471,0.4060942558,0.5082092693,0.3619362283
RAB15,0.1927234649,0.3937622392,0.0,0.25123924016952515,0.1623265386,0.5358861792,0.5777691426,0.7659961306,0.3599628669
ALG1L,0.348397505,0.2041499873,1.0,0.026593949645757675,0.0750633437,0.4111240075,0.2313210821,0.5622448333,0.3573618386
BET1,0.1430815055,0.0,0.0,0.111440509557724,0.3765795437,0.6024608951,0.7672076796,0.8532433966,0.3567516913
RAB2A,0.0645391195,0.5639344086,0.0,0.17201125621795654,0.446700188,0.6306195008,0.3103937642,0.6527185328,0.3551145963
TBC1D10B,0.1139471973,0.0,0.0,0.603404700756073,0.5135749696,0.6643351359,0.3700643693,0.5684593644,0.3542232172
RAB35,0.2664745506,0.805129087,0.0,0.0045032440684735775,0.4436216753,0.6089072202,0.1243427639,0.5579288359,0.3513634221
RAB33A,0.166292825,0.3930269283,1.0,0.09007752686738968,0.1581135149,0.352112391,0.1885414435,0.4571375191,0.3506627686
NPLOC4,0.0,0.0,0.0,0.11793620139360428,0.4283007457,0.7178019494,0.7478893015,0.7599834243,0.3464889528
RAB31,0.2163803189,0.0,0.0,0.0,0.1706266504,0.7911840022,0.7708817824,0.8215236406,0.3463245493
LMAN1,0.3608850365,0.4268492958,1.0,0.006398932076990604,0.178028415,0.262947326,0.1292557081,0.4030090471,0.3459217201
PIGH,0.120414347,0.4312601528,0.0,0.003772735595703125,0.6105714427,0.5683053875,0.4448043979,0.579252731,0.3447976493
RABGAP1L,0.2450400013,0.254083492,0.0,0.044563230127096176,0.2691470027,0.5200873266,0.6841218088,0.7107881866,0.340978881
GALNT18,0.3638064528,0.2851915272,0.0,0.1754869818687439,0.1770844236,0.424936084,0.5097780349,0.6939932525,0.3287845946
SAR1A,0.1890907776,0.1753275347,0.0,0.010152633301913738,0.7223809676,0.5875339651,0.335473763,0.5699356294,0.3237369088
ACAP1,0.1451057516,0.0,0.0,0.0,0.2197515695,0.7751071123,0.6653546585,0.759968141,0.3206609041
RASEF,0.0660766165,0.8184172479,0.0,0.229053795337677,0.1375587664,0.3348802311,0.4234581426,0.5476166703,0.3196326838
RAB3B,0.0475908964,0.247251824,0.0,0.12688897550106049,0.2063122646,0.6018239976,0.4802599311,0.8346365017,0.3180955489
TRAPPC4,0.5568552491,0.1243391149,0.0,0.2235747128725052,0.2930684213,0.4440315797,0.3907901803,0.4996188283,0.3165347608
INPP5B,0.2514427758,0.0737596945,0.0,0.0,0.2797833277,0.6231873204,0.5879963817,0.7105544332,0.3158404917
KDELR3,0.0660222772,0.0641587054,0.0,0.0,0.1914141583,0.928702834,0.3995131081,0.8210833527,0.3088618045
EDEM2,0.1533921455,0.7356911,0.0,0.00550163583829999,0.2574978988,0.4740792958,0.2742648398,0.4884179608,0.2986056096
SEC11A,0.1620450358,0.0,0.0,0.0,0.5911596205,0.6738981569,0.2957355132,0.6472032833,0.2962552012
HSP90AA1,0.1927234649,0.1446799506,0.0,0.0,0.3121171182,0.7279293349,0.300391088,0.6561426531,0.2917479512
MON1A,0.1940025855,0.5227114114,0.0,0.0,0.4046445967,0.5674331122,0.1231079284,0.5110409697,0.2903675755
EXOC3,0.2689326464,0.0893103085,0.0,0.0,0.3611273882,0.4805299702,0.4389133344,0.6788981657,0.2897139767
TBC1D8,0.0,0.234519044,0.0,0.0,0.1715274758,0.5655234912,0.6256611487,0.7154929426,0.2890905128
GALNT13,0.2302159775,0.2709302591,1.0,0.15933771431446075,0.0631305402,0.3389336328,0.0,0.2275050098,0.2862566417
HSPA4L,0.3026579526,0.1755628882,0.0,0.03362207114696503,0.1601208138,0.5404676252,0.4772779648,0.5803213866,0.2837538378
AP1S2,0.2895993367,0.0,0.0,0.0,0.2585305783,0.5797684067,0.4649706208,0.6731201547,0.2832486372
MAN1A1,0.2493258607,0.3771026577,0.0,0.08706529438495636,0.1519867129,0.5369357754,0.2062340953,0.6226564566,0.2789133566
KDELR2,0.4082791503,0.1554940513,0.0,0.0038549695163965225,0.3328038815,0.5114865029,0.231276025,0.5812669596,0.2780576925
VAMP5,0.2253181148,0.5041076181,0.0,0.003003892255946994,0.1342688796,0.4936152379,0.2756887203,0.5702657524,0.2757835269
RAB3IL1,0.0101656333,0.2082509754,0.0,0.17094701528549194,0.2028162815,0.600085718,0.3571432761,0.6368197551,0.2732785818
FUT8,0.1247630852,0.0561612465,0.0,0.6527702808380127,0.2178887944,0.5322906068,0.1573075796,0.4441349859,0.2731645724
RAB4A,0.1190666304,0.2692411101,0.0,0.012328296899795532,0.4918501127,0.5890027214,0.119216862,0.5799923662,0.2725872625
CYTH3,0.288445869,0.0,1.0,0.022601371631026268,0.0583780554,0.3347284114,0.107085047,0.3591538281,0.2712990728
ASAP3,0.3043608427,0.0371376364,0.0,0.017308766022324562,0.1257810339,0.5799016802,0.4875364904,0.6139412688,0.2707459648
ABO,0.0688298089,0.0,0.0,0.0,0.130794167,0.6709124797,0.5422521897,0.7488691123,0.2702072197
OPTN,0.3102427346,0.1387725821,0.0,0.3474513590335846,0.2267181695,0.2725364036,0.3611086452,0.4958256275,0.2690819402
DNMBP,0.1717242993,0.6912346128,0.0,0.033533725887537,0.1708663356,0.3451941204,0.2008410392,0.5302809021,0.2679593794
TBC1D7,0.1647481,0.0,0.0,0.11855429410934448,0.2304562539,0.5954930337,0.4180256843,0.5603489651,0.2609532914
SELENOS,0.1408704486,0.3759443381,0.0,0.02641691453754902,0.4196579609,0.5330770318,0.0760283792,0.4973284989,0.2586654465
PIGS,0.3706296808,0.1559821724,1.0,0.12124258279800415,0.0949390651,0.187149378,0.0,0.1248282274,0.2568463883
COPZ2,0.1927821399,0.4224346561,0.0,0.033381618559360504,0.1380504719,0.4882451472,0.2787392258,0.4924078796,0.2557551424
RAB25,0.2007536092,0.3379100491,0.0,0.0,0.089915633,0.3750297401,0.3751814523,0.6474995759,0.2532862574
TMED8,0.2027671117,0.1220960086,0.0,0.07051295787096024,0.4342872242,0.4890700674,0.1662222064,0.5406978551,0.2532066789
MCF2L,0.1173794062,0.121466989,0.0,0.11082744598388672,0.1454097595,0.4434070819,0.5078402984,0.5732115019,0.2524428104
TXNDC5,0.1246802824,0.1438756828,1.0,0.16591259837150574,0.1537509776,0.2156229305,0.0086519066,0.2018199516,0.2517892912
STX4,0.2078728726,0.0612136256,0.0,1.0,0.0977109026,0.3279897277,0.0,0.3113903405,0.2507721836
PIGQ,0.0550638471,0.3991274192,0.0,0.06575889885425568,0.2355499521,0.5890446094,0.1529691923,0.4761436046,0.2467071904
GALNT15,0.1321532331,0.4844526606,1.0,0.0,0.0825864639,0.1075362042,0.0,0.1522923106,0.244877609
FBXO2,0.2409222899,0.5692992937,1.0,0.005019756034016609,0.0157565637,0.1155706058,0.0,0.0029375559,0.2436882581
SNAP47,0.3046800654,0.2690707978,1.0,0.0,0.1421224692,0.0557511972,0.0,0.1589695749,0.2413242631
STX11,0.222418611,0.0,0.0,0.0,0.1773518799,0.6130891298,0.332655857,0.5772789926,0.2403493088
UBA7,0.2038435015,0.1259414898,0.0,0.0,0.1750368542,0.477334055,0.3741856507,0.527390683,0.2354665293
PIGM,0.2158438487,0.2409755457,0.0,0.08173583447933197,0.3066112698,0.4013175211,0.1299621561,0.4836851497,0.2325164157
HSPBP1,0.1738598244,0.476227246,0.0,0.0,0.3358027528,0.3708511548,0.0,0.4650632357,0.2277255267
RAB32,0.078744579,0.0,0.0,0.0,0.1772202781,0.682395283,0.267406742,0.6112153008,0.2271227729
POMT1,0.1017697888,0.2294366957,0.0,0.0,0.2625087031,0.5449184346,0.1296539879,0.5237379288,0.2240031924
RAB44,0.3087840135,0.0,0.0,0.09476549923419952,0.6644334166,0.3341082774,0.0,0.3817529725,0.2229805224
CAPN1,0.3446926003,0.697180277,0.0,0.019774967804551125,0.1708281738,0.2706009351,0.0310478679,0.2466500826,0.2225968631
ARFGAP3,0.3505648271,0.0,0.0,0.005723315291106701,0.3815331646,0.541128011,0.0,0.4884668845,0.2209270253
SEC24D,0.1609558608,0.4953463389,0.0,0.0,0.138055825,0.2840902762,0.2076537988,0.4712035381,0.2196632047
