pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.257229680439338	5.15009981499871	0.626293355182705	0.429960723223041	0.812397802367708
ACAP1	-0.522779185595225	4.24493224098197	4.89253636874302	0.0284765089239344	0.308624557606592
ACAP2	0.0467032017282684	5.78778290808129	0.131665524977724	0.717219275058381	0.927913462694502
ACAP3	0.0862566373044904	5.57510923729406	0.275645863274017	0.600340117238308	0.888977435843903
AGAP1	0.0662489883975181	5.61608790795644	0.156142564013475	0.693291259935046	0.920044850171884
AGAP2	-0.265488114133705	2.75778407471412	1.57099829046419	0.212001178535889	0.650384241898613
AGAP3	0.0817459070283522	6.54717102928017	0.42221000673393	0.516824542610662	0.853064343661318
AGR2	0.298342348265124	9.63433065394035	0.558068156003968	0.456202412516469	0.826168293893027
AGR3	-0.200953812673841	5.9659182154903	0.214721492742791	0.643759485713165	0.903294161233806
AKAP10	0.123479431871038	4.9158887370111	1.53834551957509	0.216789867576667	0.654585944384304
ALG1	-0.0157859771234443	4.74646527307661	0.0173833741182829	0.895281763300601	0.975852873030103
ALG10B	0.185083015704978	3.76562812760231	1.90095331392902	0.170012648086748	0.603856292684958
ALG11	0.173041803635592	2.97129548050367	1.79733344007652	0.182050549305739	0.617579913020441
ALG12	-0.0515240803690185	4.2296411349218	0.199776245337523	0.655542545516304	0.906753251741323
ALG13	0.0373517631156206	4.88388165185295	0.136309758776494	0.712495219255394	0.925543468688444
ALG14	-0.0718388315332956	3.46218384143329	0.316999628536351	0.574252194892891	0.87801504174635
ALG1L	-0.19708325747885	2.79027819367916	0.344366869438813	0.558196522328203	0.870464233968368
ALG1L2	0.0962471375501862	-0.228499986640342	0.19845184091215	0.656612008473386	0.907082275806376
ALG2	0.0127043967908701	5.38793443845187	0.0172064023698091	0.895813083884861	0.976028639250502
ALG3	-0.0226515561486357	5.93859102706895	0.0234549746051865	0.878484515621607	0.971671597818362
ALG5	0.161218366444916	5.27057541804107	1.09296088460724	0.297488364319618	0.726003939770733
ALG6	0.051018404853313	4.07110854973262	0.199584830354928	0.655696850441745	0.906776902288134
ALG8	-0.00609844374771135	5.5010852020238	0.00190297790849211	0.965262497625949	0.991967212126042
ALG9	-0.284104554653227	3.56134945447288	1.73577252519416	0.189672805823431	0.626762657469819
