pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.461183039923212	5.27303853074013	1.69908462596421	0.195087099786392	0.678944633526565
ACAP1	-0.207698376043744	3.95004483732393	0.983401661316896	0.323503057389209	0.777731400584895
ACAP2	-0.194046267631973	5.96044610299564	0.898333268280927	0.34527435106931	0.792004380259537
ACAP3	0.221476033595462	5.45637776738663	1.52639925082417	0.219244967990323	0.706374084354212
AGAP1	0.198248689398024	5.49962885891558	1.62027327767801	0.205695786379955	0.693035641548467
AGAP2	-0.23254393187466	2.71732571760739	1.21382076867095	0.272944280822529	0.746363781508525
AGAP3	0.082264174031052	6.52744450196176	0.374655552999889	0.541721008107453	0.881855444033906
AGR2	0.544026028126346	9.42436072655379	2.00233989884276	0.159837503723881	0.643928236951912
AGR3	0.0165893970659236	5.76489792851145	0.00144915822691612	0.969701545956371	0.994065013684372
AKAP10	0.000806996065832597	4.99842508788513	5.24508895574358e-05	0.994234446766358	0.998331686485605
ALG1	-0.0197908658365244	4.73374442479803	0.0317527044364106	0.858894160852356	0.97275443525717
ALG10B	0.116611343226504	3.81115742911675	0.672533799844335	0.413915573937337	0.832334967106182
ALG11	0.0169121578321606	3.07882289652579	0.0149673893548263	0.902848504978109	0.982228543600142
ALG12	-0.0757404794604435	4.22961487802148	0.452644544116104	0.502470794469311	0.866784898018868
ALG13	-0.00868834713170741	4.90416433996437	0.00624903499303855	0.937133584698017	0.987843078631992
ALG14	-0.0900119791798413	3.46177414332074	0.445003968728698	0.506092352650515	0.868787409735741
ALG1L	-0.594950297146489	3.08507229958667	2.31787485432956	0.130719756690404	0.609001177079173
ALG1L2	0.183539756612929	-0.287967551434504	0.526330903080192	0.469670251121414	0.854937049852637
ALG2	-0.0385409570026835	5.41450620835899	0.149863607237221	0.699402076945631	0.934264881589392
ALG3	-0.155285783879304	6.02067291299101	1.20057332589383	0.275563175903495	0.748309248403718
ALG5	0.129084470590675	5.29636726742012	0.671962709798589	0.414113287361048	0.832405473260813
ALG6	0.0780086948284771	4.03400612932921	0.462241755807117	0.497984309414497	0.865077730807753
ALG8	-0.0498322173618218	5.51473950328902	0.172987046964757	0.678268379240943	0.927402712156267
ALG9	-0.196929406056784	3.46162202281697	1.00632696526107	0.317951879315201	0.774979004734723
AMFR	-0.238666453011356	6.75341221161252	2.6162110098117	0.108596404935955	0.578848556888889
ANKFY1	0.130960808770085	6.13582638024376	1.37567653767833	0.243333312580956	0.725896656117889
AP1B1	-0.185722971878343	7.24371029304193	2.72200159398481	0.101782278607419	0.567345171385817
AP1G1	0.0358233626687707	6.93888117919648	0.153681102641061	0.695788803969689	0.933475101216296
AP1M1	-0.084324380992708	5.73335412974302	0.650154718473301	0.421770179484096	0.834354463343287
AP1S1	-0.0354063637625777	6.19268038092445	0.0379316635414766	0.845934103767074	0.97078311757456
AP1S2	-0.00458666385549144	4.53037724091171	0.000510904961722129	0.982007101178711	0.996638999687642
AP3B1	-0.0537562526458309	5.96750006347631	0.289534995985278	0.591588872883702	0.897761597718476
AP3B2	2.37573472733317	1.65405721804082	29.9911878872276	2.70352041572371e-07	6.58738634061019e-05
AP3D1	-0.214842615214415	7.53721627815939	3.7584742888885	0.0550626847071596	0.450254243404877
AP3M1	0.190997666692524	6.05898182949214	2.94915195790593	0.0886930537352575	0.536978490437818
AP3M2	-0.0543367951565499	4.53132612761299	0.120183324176921	0.729487757356133	0.941406954685263
AP3S1	-0.279914574240462	5.78324050210388	4.14252974738122	0.0441849212049414	0.412310140056832
AP3S2	0.0284813276336738	4.68919621036254	0.0698098565852548	0.792100540230022	0.958348171407138
APPL1	0.0131736550823269	5.77615169029923	0.0151194316951154	0.90235879885249	0.982161570542101
APPL2	-0.106281338493003	5.2841447840403	0.681756035548704	0.410742139899659	0.830531189191257
ARAP1	-0.136649431577471	7.13290610637926	1.02529956100238	0.31345285650216	0.772718138556181
ARAP2	-0.112089472824229	4.94508334533916	0.30377497289191	0.582625899581643	0.895189790864024
ARAP3	-0.0329028208728314	4.39905575364859	0.0360957817358863	0.849662550592269	0.971366183673382
