pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	0.0232919328223197	3.71734020176884	0.00170458972512893	0.967367639745372	0.990467767625659
ACAP1	0.408997274081932	3.95663765094049	0.992495735715922	0.327876479818279	0.69085701343504
ACAP2	-0.203918129096534	5.49159631543442	1.7274242903411	0.199669551388835	0.582735804379736
ACAP3	0.228200939809358	6.14984405729369	0.801593906130995	0.378438863612164	0.726741427757143
AGAP1	0.111123767369519	5.32710563002423	0.165133524256626	0.68763954019892	0.889624294527006
AGAP2	-0.198288750647697	2.66541276611568	0.348752987412703	0.559674334380376	0.832077742572235
AGAP3	0.352302064381623	6.9531693579603	3.18702406785616	0.0853340001465928	0.439221673766483
AGR2	-2.38824891921487	3.26919408384622	2.96673053047464	0.0962987596251884	0.454502902393631
AGR3	0	NA	NA	1	1
AKAP10	-0.168947136602112	4.82258310267293	1.19887079908391	0.283107835087282	0.655664016226584
ALG1	-0.0196955262593788	4.8323176721604	0.0117081499941586	0.914624568787571	0.974166486216003
ALG10B	0.340324697079771	3.81774930082504	1.19001921737935	0.2848545536464	0.656759919433901
ALG11	-0.259385192546397	2.6566828143041	1.42191595579882	0.243343812143574	0.622678474932013
ALG12	0.000436284772316297	3.4269923715656	6.60770441253719e-06	0.997967683968779	0.999072463772901
ALG13	-0.0827367383152383	4.6091139049869	0.36999812402337	0.54802995224164	0.827833804538977
ALG14	0.0807858328234373	3.219382884824	0.130770897297673	0.720416226314742	0.901653297844224
ALG1L	1.15360701564913	-1.64923336290442	3.45409465026631	0.0739018925057492	0.418644120558622
ALG1L2	0.826301555670662	-1.26609843666778	2.07974847560097	0.160632552046117	0.541232013860135
ALG2	0.07076086119956	5.51371771197908	0.107181503860682	0.745871769397403	0.911433804745081
ALG3	0.221167179164631	5.90459387596529	1.21892473318938	0.279202298798611	0.653036648788898
ALG5	0.0449198559488827	5.05234097035451	0.0410209046358475	0.840998487437633	0.94872221068109
ALG6	-0.175913837233215	3.77017575174205	1.22927904478269	0.277213433040927	0.651206611329141
ALG8	-0.0460016899509138	5.33322775591689	0.0421786189942655	0.838802416172386	0.948251131934896
ALG9	-0.0305140344326003	2.66911528320881	0.0254733288105172	0.874367540365823	0.960554091916484
AMFR	-0.0141372470256996	6.77611328379319	0.0055267118146883	0.94128009455377	0.983302430741015
ANKFY1	-0.248627592517402	6.3269990708893	1.496012942596	0.231732776541994	0.613854123628704
AP1B1	0.0521962665642017	6.77968984900577	0.0975522095840469	0.757158834236518	0.915380341327428
AP1G1	-0.0248454821884943	6.43508544977513	0.0175048520683904	0.895712064176432	0.968425922203588
AP1M1	0.247112665462296	6.91876038264694	2.3237640046582	0.138906052150624	0.515197765068216
AP1S1	0.0617800825229743	5.86040903255488	0.0698085303174447	0.793598918228143	0.931488503133613
AP1S2	-0.245627491430893	4.21033915662346	0.759888793903676	0.390960535538942	0.735247688814734
AP3B1	-0.0597176837365822	5.94915964059664	0.0823231476524906	0.776338582572205	0.924005974487845
AP3B2	1.35937956478978	2.75296177690441	4.71895052801181	0.0386751080894867	0.345008830004207
AP3D1	0.0321218318182019	7.8288097227779	0.0538415120330709	0.818238212937859	0.939453442197525
AP3M1	-0.115951024824848	5.74887905604981	0.840403861591283	0.367304085275916	0.719046109911376
AP3M2	-0.227516563234968	4.20434634987166	1.47576933291568	0.234834111884886	0.616144783739958
AP3S1	0.274602942855961	6.79116649594605	0.559023161040842	0.46104238091594	0.776184479523971
AP3S2	0.330483488746388	5.12732958661726	2.13305576136325	0.15555991283642	0.534796002398578
APPL1	-0.0559646512628552	5.49616529798753	0.0904790745526693	0.765846521636402	0.919308398301964
APPL2	-0.201184686120421	5.20203179364702	1.18122262139379	0.286604522017915	0.658125226863621
ARAP1	0.367766359019308	7.57750447450151	3.02559490659137	0.0932184357252999	0.451016726350885
ARAP2	-0.166983229881198	5.29493316226809	0.12108563261889	0.73052720608909	0.904667770979402
ARAP3	-1.0505904352784	3.82009523682782	5.2091556921204	0.0304695491750798	0.316972297799104
ARF1	0.256037126321004	9.14063748948002	2.04200841806498	0.164343622603886	0.545925342450219
ARF3	0.0917180956511712	7.85050782236073	0.329685787991285	0.57054236532016	0.836734554050472
ARF4	-0.324152816317878	8.30387824039279	1.51554477441884	0.22878922375325	0.61159989677698
ARF5	0.423426821079042	7.03601911272382	3.98052541660047	0.0560920915052092	0.388052836573648
ARF6	-0.581670432237291	6.76474019564542	7.82670452596646	0.0093223533694406	0.236265248770727
ARFGAP1	-0.0686077578282702	6.89482639758591	0.0776416975450363	0.78261759450373	0.926635933527906
ARFGAP2	0.128721319736643	6.53339512801325	0.985357779450168	0.329591465697962	0.692274304271638
ARFGAP3	-0.582878598155944	5.35367212428695	4.25752883022357	0.0486969624714992	0.372413357470481
ARFGEF1	-0.226346307939187	5.66228003798805	1.93942247361208	0.174963562709645	0.557907211749484
ARFGEF2	-0.0850850276351139	5.67363061607214	0.176265675683774	0.677886047759692	0.886738630169826
ARFIP1	0.059411088870414	5.02207882784921	0.131292823688501	0.719883587012376	0.901420484407878
ARFIP2	-0.118399341535199	5.71756152071377	0.411637874922046	0.526486613536461	0.815424765821433
ARHGAP1	0.0845881929621288	7.42294505633867	0.338835895733543	0.565275544374199	0.833992291403165
ARHGAP24	-0.504679026630318	2.77055583874589	2.49561657093836	0.125674602448156	0.497890433183289
ARHGAP5	-0.233364203171676	6.26633299806104	1.03118867932586	0.31878975865096	0.684398645555288
ARHGDIA	0.0360321146677655	8.57957057254353	0.0335017240279215	0.856122447721917	0.954579168157122
ARHGEF1	0.192162333724898	6.89161618331629	1.27239413146468	0.269128043555424	0.643491749931574
ARHGEF11	0.142583617952114	6.09066691788642	0.807664497726955	0.376665213043612	0.724925315750628
ARHGEF2	0.00563972275913727	6.7940951261003	0.00102118221216179	0.974739529196552	0.992541767429001
ARHGEF6	0.0242317788159127	3.97918950042866	0.00766513161036099	0.930872402200598	0.980189819084413
ARHGEF7	-0.0268169159318295	5.69366467851963	0.0264385899960167	0.872030630097868	0.959996092618254
ASAP1	-0.524386141473023	6.49434375068864	3.07006318178093	0.0909662870118008	0.448251074734684
ASAP2	-0.943332794871169	4.88878029648985	5.7049698020676	0.0240835481812862	0.297419113014704
ASAP3	-0.0800654636872565	5.8692362876542	0.0737025218665804	0.788061401161262	0.928985102571743
ATF4	-0.210791165761467	7.86931681929087	0.788333574508991	0.382355693630105	0.729584959474179
ATF6	-0.149058970911392	6.183098035551	1.07729089619591	0.308404864126546	0.676315277182992
ATF6B	-0.0588158540304259	6.52295101483074	0.17109354811969	0.682371166849387	0.887711656605542
ATXN3	-0.0887578239207194	4.24017204304057	0.302538245966338	0.586765131381973	0.845689578460012
ATXN3L	0	NA	NA	1	1
B3GNTL1	0.254298229909443	3.12982115481754	1.43267591386978	0.241612701331645	0.621720257447496
B4GALNT1	-0.499449795662921	3.17921599686873	0.869346919871341	0.359304299931729	0.713480292159072
B4GALNT2	0	NA	NA	1	1
B4GALT1	0.155420698652	8.10232238030942	0.290019757962954	0.594569460724511	0.849049628274056
B4GALT3	-0.00654055056643565	5.4209240260602	0.00152404008515098	0.96914324216307	0.99071803157863
BAG1	0.168791971851682	6.33107781497496	0.297495305488889	0.589883214985332	0.847039087847937
BAG2	-0.188985904040454	4.64413722425635	0.370914660230956	0.547538037726243	0.827698685390636
BAK1	0.0414621745828375	4.85709503034692	0.0524180964229117	0.820613201157526	0.940833616494718
BAX	-0.22738850657007	6.24183479691716	1.17884663292158	0.287079626493264	0.65853213064493
BCAP31	0.174241877141787	8.03292540250252	0.700192972575927	0.409979538835088	0.747895005054473
BCL2	0.0122649377748324	3.17820485252742	0.00163113232551871	0.968078105260948	0.990474782039124
BET1	0.306016141434843	4.81786380950456	2.47946419459926	0.126853291480315	0.500017346182816
BET1L	0.154136416468651	6.51590480195193	1.26877939204988	0.269794020497151	0.64432130586727
BNIP1	-0.0433810149734758	3.42948950019704	0.0430037062095881	0.837256442297037	0.947882533528731
CALR	0.0488802257672319	10.4095054127434	0.0492528341683521	0.826019313049899	0.943866189944733
CANX	-0.1343943891436	9.89727679180376	0.41812786507256	0.523268986664445	0.813696771118425
CAPN1	0.223265835797136	7.962899890362	1.53918346870135	0.225289278721179	0.60834051106397
