pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.108284316145387	3.6763968987236	0.0757074599283108	0.784124093908477	0.970504296987811
ACAP1	0.134579704860982	4.22776046922164	0.189473330910706	0.664880318382612	0.94943113117919
ACAP2	-0.0894055072345608	5.36972102639724	0.341706987872025	0.560985586566422	0.923076244928801
ACAP3	-0.233682021089102	6.09025590229412	1.11435221362226	0.295270308316165	0.801274176669187
AGAP1	0.0979051594118957	5.458001099596	0.118565832994808	0.731770747150535	0.961639861785935
AGAP2	0.342117208548384	2.87103382996836	1.67447401129453	0.200502448515872	0.722228631183411
AGAP3	-0.0913492778265686	7.0380541572972	0.359429884550952	0.551027126645631	0.919368024072831
AGR2	1.40075821957505	3.03957485292491	1.60155397358299	0.210460334942947	0.731395094283662
AGR3	1.45313273868211	1.68571751298599	1.82426406268546	0.181759289614422	0.702535372662253
AKAP10	-0.050696891195478	4.74213757817328	0.140926676766355	0.708654150680984	0.958306890555162
ALG1	-0.194124967130096	4.71009506015006	1.91809185920439	0.171074589617299	0.69294578067238
ALG10B	-0.36153643028918	3.71155617155215	3.35877375693951	0.071693353052406	0.521305900047171
ALG11	-0.0782433033728966	2.51866920626303	0.202166603850459	0.654559625011778	0.947057337346941
ALG12	-0.0449828637121058	3.42026330166113	0.0872192108000784	0.768738109163466	0.967980678669762
ALG13	0.0663932843450288	4.6515624212672	0.442195366944126	0.508552685608616	0.902809246815938
ALG14	-0.158213891013308	3.16431872350271	0.875911789208592	0.35298723115758	0.835585306069584
ALG1L	0.323939831510407	-1.09572368422684	0.389284595664186	0.534984972641318	0.910608484251826
ALG1L2	0.212545262877331	-0.860003452634754	0.331381498315733	0.566948835095158	0.924606822077275
ALG2	-0.254542074682306	5.38803764454341	2.10420646165992	0.151979848477404	0.668631130388795
ALG3	-0.0712632936592416	5.95934547290854	0.165505819816785	0.685550684582844	0.953798404453963
ALG5	-0.0203585975389658	5.08429212423168	0.0132829286882301	0.908621475608535	0.987841464579626
ALG6	-0.0398912073448653	3.69695163600878	0.101430810855868	0.751199200647148	0.965269210527676
ALG8	-0.141275817343409	5.23639290047853	1.47501979270896	0.229201654882743	0.747922679631255
ALG9	0.0550985698379167	2.72302625009073	0.172257762260667	0.67955847162351	0.952442369398682
AMFR	0.0795322589177545	6.85650099519671	0.297395954584357	0.587493513772186	0.929864366824844
ANKFY1	-0.214091360962991	6.09960575372945	1.57870828326441	0.213702171587706	0.733918865943061
AP1B1	0.0200398655823502	6.84182254340492	0.021592901123395	0.883656270569008	0.983316312400348
AP1G1	-0.0337492268115692	6.42736603480582	0.0689062399687087	0.793813996275408	0.972535505808469
AP1M1	-0.121507246776343	6.94653567528723	1.28944609401398	0.260559410132402	0.776066291029409
AP1S1	-0.0434851303214397	5.87581131830925	0.0725220338234187	0.788601630401964	0.971454984478435
AP1S2	0.312082194721589	4.37561399122346	2.02949677696472	0.159330411956312	0.676570620433185
AP3B1	0.00888444797099919	5.95904680234819	0.00392960384694541	0.950219554536585	0.992865450052579
AP3B2	-0.422021462622153	2.85948040932701	0.90723436250151	0.34458075023203	0.83085006417246
AP3D1	-0.143639011684748	7.76035572545244	1.13583406102821	0.290703733235208	0.798724863500415
AP3M1	-0.0991022073141382	5.65552575700986	0.662943628350298	0.41866659384264	0.868015032370739
AP3M2	0.140360435828296	4.23998420257027	1.46828332069909	0.230255402541067	0.748649806054658
AP3S1	0.0592866021929363	6.95975851236864	0.0428311191442778	0.836727816812632	0.978963356550239
AP3S2	-0.229111996650931	5.1075383660106	2.35315418695097	0.130162403886489	0.636735434961852
APPL1	-0.0362099997329592	5.47081877483866	0.061484504577175	0.804991500551306	0.974798600010145
APPL2	0.0630547372658942	5.19114204376931	0.177818917995699	0.674725829640519	0.951731076407748
ARAP1	-0.250373232023932	7.55543082871782	4.00891802819418	0.0496784957441342	0.469440185436092
ARAP2	-0.21812294659105	5.09905092501258	0.575711775198723	0.450898523793638	0.879514519139072
