pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0.19443010545142	-2.27137028745813	0.345521777998264	0.557142140042779	0.887913517287607
ABO	-0.34317735992169	4.51010085550441	1.61325380279514	0.205109995550285	0.679729816448886
ACAP1	-0.0804247420675191	3.14954148377496	0.242145096089549	0.623054172448575	0.910797626381692
ACAP2	0.176531307660404	6.04672157922492	1.56219675334208	0.212407835492892	0.687210057085771
ACAP3	0.282381570018321	5.09195418164235	2.6738546890216	0.10315421782829	0.547429339810326
AGAP1	-0.0305648534420896	5.89902546883272	0.0437782108050677	0.83442190041938	0.967556701571779
AGAP2	0.0727417559849168	1.44732291218171	0.113572522994569	0.736370340809949	0.942497803135409
AGAP3	0.0522469133912744	6.66805983112381	0.154430678864366	0.694641540623369	0.929270256924481
AGR2	0.271082797000188	4.06370933234834	0.270212509416048	0.603607955463433	0.904813470306411
AGR3	0.0051854615537998	2.82689594126316	0.000103727035958292	0.991881361669696	0.998732214266881
AKAP10	0.0451464129406007	4.46377687606731	0.16736188188384	0.682785942433863	0.925599453754146
ALG1	0.0286374072197054	4.41085749987805	0.0408499080613643	0.839977541234288	0.968585436536791
ALG10B	-0.324170049579201	4.05252670766072	6.01583763517533	0.0148002156427829	0.268765224646709
ALG11	-0.0329883645134788	2.2598410544811	0.0566179598122926	0.812100946255442	0.960420347647318
ALG12	-0.0527173937998704	3.58370680273197	0.169745019497786	0.680659884084354	0.924968724804617
ALG13	-0.154188549382373	4.75356738669424	1.71777495124159	0.191074606922997	0.665632245860226
ALG14	0.104291875959872	3.51960531601605	0.686506158739094	0.408074754349451	0.820664164862572
ALG1L	-0.25039437619869	1.6604136023325	0.643992650750971	0.422962537359422	0.827505417207304
ALG1L2	0.225532105424713	1.04350256497114	1.07119520227622	0.301586058930716	0.752698640696505
ALG2	0.0207526609561289	5.37895229872764	0.0322537161173054	0.857604371405166	0.971803590961352
ALG3	0.177751670923138	7.20448971568836	1.99819333475813	0.158619230104907	0.631474798990038
ALG5	-0.231983111472416	4.63507642998611	2.55387200689715	0.111174113292158	0.55979242291446
ALG6	0.247256040041198	4.360532601534	4.2797094244968	0.0395055781645694	0.387786755263413
ALG8	0.157523693650301	6.15820744714198	0.730528444535736	0.393456879959164	0.811786642212533
ALG9	-0.0524687604159002	3.1124206640945	0.137852143818161	0.710711922045023	0.934106875842878
AMFR	-0.112777056850965	6.48161927051181	0.759285145717124	0.384313363317291	0.806449961676384
ANKFY1	0.0732659907229686	6.05073362399099	0.265871230236703	0.606529734998038	0.905606078384433
AP1B1	0.175511024975225	6.9202435349953	1.42913578387946	0.232936700544942	0.704098600144684
AP1G1	0.0309888317865385	6.10206516163108	0.0679019753893443	0.794611619663862	0.956066311577585
AP1M1	0.332304583977567	6.0539416894792	6.81377364525942	0.0095422769826244	0.221276655190257
AP1S1	-0.281773498852554	5.8035688348835	5.45535113792158	0.0202284669857951	0.30954211098872
AP1S2	-0.216794568545421	5.11490377361139	1.43006158333347	0.232785807582003	0.704098600144684
AP3B1	-0.0817786388330637	5.38628235473109	0.585882906809197	0.444672856359977	0.838576159724605
AP3B2	0.165226013645798	2.97600964666805	0.37615253773808	0.540177127947209	0.882089724640641
AP3D1	0.173733699653339	7.22262287319967	2.29410634812325	0.131015897343602	0.594865504136252
AP3M1	0.165873313572677	6.10541184658698	2.17927129745303	0.141026260768677	0.607889540506348
AP3M2	-0.0788149207260561	4.79051083501357	0.373135417889007	0.54180531989366	0.882773278581347
AP3S1	0.0417592008778614	5.57235427338724	0.115763742891886	0.733935338445433	0.941612674914209
AP3S2	-0.0800650006591153	4.60180864835439	0.442091648729058	0.506672535424113	0.865206890296855
APPL1	0.0626072414439546	5.89466157149961	0.323433268107026	0.570016374416505	0.892009894453037
APPL2	-0.0916478096094887	5.37603861960205	0.544394025675571	0.461247307990833	0.846914249015716
ARAP1	0.0283900641477741	6.88315953799266	0.0449596513329263	0.832235507771781	0.967242127766996
ARAP2	-0.0260715647278082	3.97147573327907	0.0199391589569938	0.887810651153508	0.979332036828308
ARAP3	0.0577402681591998	4.56931655797038	0.0803259260020475	0.777069726548021	0.952495797219808
ARF1	-0.00262794686463988	9.42268287240243	0.000652786621037494	0.979635068743306	0.997042864671179
ARF3	-0.11304623720846	8.00753047091246	1.17582731227799	0.279158054344398	0.738403519656323
ARF4	0.0253472220516357	8.13098216317211	0.0460624411947534	0.83022160006465	0.966491369335223
ARF5	-0.226179591650183	7.38948675419838	2.7196422438309	0.100263502452338	0.541754058755313
ARF6	0.15380084525179	7.42035901429586	1.51416323434833	0.219557742373861	0.693145471991613
ARFGAP1	0.292955744890982	6.36564758382374	6.90519919870844	0.00907786049840796	0.215417764064768
ARFGAP2	0.182634608806506	6.23472304275987	3.67375172715093	0.0563132343942585	0.442452541740161
ARFGAP3	-0.0891013571434017	4.99887269791437	0.51049075404647	0.475533303680142	0.852704404766317
ARFGEF1	0.113671901547643	6.055469546404	0.859647818459911	0.35465130700428	0.789885538777243
ARFGEF2	0.240583677753363	5.87019033481951	4.24593716561859	0.0402860187333434	0.391078240018437
ARFIP1	-0.222657021257179	5.16302025854336	4.13732325213468	0.0429083125612074	0.40204293977645
ARFIP2	0.068251446213088	5.94796466278836	0.336032515355989	0.562603529024431	0.889699717347403
ARHGAP1	0.144012878517496	7.36583844813351	1.28275801499753	0.258374645610826	0.723318108702046
ARHGAP24	-0.305845201797741	2.17868473752378	1.99134084065826	0.159332499742192	0.631700821998428
ARHGAP5	0.0555044379604764	6.3009787125616	0.270633123123716	0.603326460798554	0.904813470306411
ARHGDIA	-0.0766738176206094	8.06818451863029	0.409580474541452	0.522716021917115	0.873556632053528
ARHGEF1	0.120502438739781	6.28600251149803	0.843372387510339	0.359239821508268	0.792720249451034
ARHGEF11	0.069089090122946	6.47763664819756	0.430546632385807	0.51227017638398	0.868484148978253
ARHGEF2	0.177561954314392	7.24855616513151	2.35211234638995	0.126264457494928	0.586859928481082
ARHGEF6	0.0819688695672026	3.29033524824313	0.177738114023297	0.673654091142119	0.923221253202644
ARHGEF7	0.00957217424166129	5.42118120391094	0.00804897802447303	0.92857821315539	0.987286260592326
ASAP1	0.00877961882224616	6.22323606634005	0.00363178171634312	0.95198898958219	0.991595311774266
ASAP2	0.0546603539246268	4.91875426507209	0.0727905933285111	0.787518784344147	0.954123279233925
ASAP3	0.227289005018473	5.31765939775447	1.42460099927733	0.233677526418781	0.704117036527194
ATF4	-0.163880041558071	7.84021959479833	2.07396290453204	0.150970651949753	0.62161535405228
ATF6	-0.0329143037408844	6.25782640153085	0.127142134497327	0.72168754762106	0.937567148618757
ATF6B	-0.0434708888855222	7.52742304342629	0.137525730463075	0.711039136977972	0.934106875842878
ATXN3	0.130549843041063	4.93426433295999	1.98895920881245	0.159581260205095	0.631830138563547
ATXN3L	0	NA	NA	1	1
B3GNTL1	-0.159546419772022	3.25789771022257	1.12130026778364	0.290569037998016	0.745134777708852
B4GALNT1	-0.0257581643948016	2.11606555425526	0.00600025560323694	0.938312963724341	0.98935129429189
B4GALNT2	-0.314168080850718	-1.19392197414913	0.374082929041157	0.541293022471945	0.88239235470545
B4GALT1	0.0931040218254465	7.9090124612704	0.278982809537685	0.597795198080785	0.902702346449947
B4GALT3	0.0115575412326737	5.93907783093403	0.0103901969362298	0.918884777624617	0.985444441949441
BAG1	-0.277083007855723	6.07478434961722	3.3533708996569	0.0681507388098234	0.473873352379487
BAG2	0.0240100111257305	4.0009414735914	0.00941010544249981	0.922792618725016	0.986412763677996
BAK1	0.0549435150002001	5.77830918210259	0.133754788234056	0.714851796103262	0.934954235565325
BAX	-0.187313241519963	5.29108875570112	2.64959238264516	0.104723039764755	0.549556945372541
BCAP31	-0.0589822423983719	7.51160166764345	0.158642054766484	0.690719278787118	0.928441725475764
BCL2	-0.143826310117563	3.60703448574467	0.361689151639908	0.548065678680374	0.885177321657415
BET1	-0.132531332738623	4.89811441645876	1.28704107648303	0.257583129872068	0.722672433950649
BET1L	-6.505600080634e-05	5.97006019721716	3.97301734973055e-07	0.999497536003742	0.999945614553661
BNIP1	-0.221954995059381	3.14714243906508	2.80441131566087	0.0951435830787849	0.534287375512879
CALR	0.0638598282950363	10.2843210867331	0.308957112637347	0.578773357545149	0.896207457700286
CANX	-0.0381046595756613	9.44557995300853	0.109584215757988	0.740870416792538	0.944058112363402
CAPN1	-0.0299143006395229	8.67674821621293	0.0574954877076686	0.810677988283595	0.960420347647318
CAPN2	-0.374715466152644	7.81961958483046	6.09660702444523	0.0141528304469816	0.263947150730029
CKAP4	-0.113985263074	7.23027633400446	0.591284426433522	0.442583603954072	0.837204662542683
CLTA	-0.186406657072879	7.74860767973946	2.10504405493602	0.147955262667261	0.618021222658795
CLTB	-0.168932158541563	6.32775316247029	1.08128622860995	0.299324527418142	0.751001847440526
CLTC	0.191877578375193	8.17518154577339	2.73936403217398	0.0990459229173575	0.53928031887906
COG4	0.134699671536679	5.62627065579347	1.25574466205081	0.263437009558049	0.725967907305394
