GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
NET1,0.1596715068,1.0,1.0,0.38748666644096375,0.1983362054,0.4216805158,0.4826793681,0.6905059113,0.5425450217
BAX,0.2154904505,0.6679913511,0.0,0.052952539175748825,0.4777040833,0.8176416169,1.0,1.0,0.5289725051
SEC11C,1.0,0.4340383763,0.0,0.3546450138092041,0.2487052554,0.5690349013,0.4618417932,0.7126144716,0.4726099765
ALG1L,0.4522063215,0.6382605492,0.5,0.014610009267926216,0.1995483856,0.7671962238,0.3126695605,0.8716233473,0.4695142996
RAB42,0.8080037985,0.152644877,0.5,0.13444238901138306,0.1489137672,0.1779791283,0.5160405946,0.6809034771,0.389866004
KIF20A,0.4877382752,0.0582749219,0.0,0.08144928514957428,0.2277072992,0.607805386,0.6851169405,0.8720728106,0.3775206148
TRAPPC6A,0.0415595129,0.064405433,0.0,0.025112537667155266,0.2577980404,0.8224971379,0.6502768902,0.9267477824,0.3485496668
RAB41,0.0362942408,0.0474103048,0.0,0.0,0.6253785212,1.0,0.2778801932,0.7973678362,0.348041387
FBXO2,0.166243539,0.3032775299,0.5,1.0,0.0476827431,0.1460074841,0.2363731285,0.3655727476,0.3456446465
GXYLT2,0.1059104259,0.0773021361,0.0,0.2541748583316803,0.1120409137,0.9123610499,0.3062268625,0.8591831516,0.3283999248
AP3M2,0.2805295432,0.0,0.0,0.0,0.4031118439,0.8857051933,0.3358593822,0.6912894934,0.324561932
GALNT5,0.0654358605,0.4141472615,0.0,0.0,0.123804015,0.782333553,0.3456539281,0.828402393,0.3199721264
REPIN1,0.0433760439,0.0,0.5,0.5310963988304138,0.237096426,0.412009746,0.3256398716,0.4901178502,0.3174170421
DAD1,0.1970950537,0.0,0.0,0.0852765440940857,0.4591215135,0.7091776855,0.4128514481,0.6499414053,0.3141829563
HSPBP1,0.0607264614,0.0,0.0,0.0,0.3343057767,0.810846581,0.4055783689,0.8479060193,0.3074204009
UBXN6,0.0672771293,0.0,0.5,0.019012952223420143,0.3560711265,0.5333105704,0.2975917094,0.5223851417,0.2869560787
RAB27B,0.251681889,0.0,0.0,0.0,0.1297529559,0.4038645809,0.5361792286,0.9540080322,0.2844358358
EXOC6,0.0386319364,0.1507528051,0.0,0.0,0.2378793432,0.7377554043,0.426105025,0.666304876,0.2821786738
UBA5,0.149883231,0.0708977601,0.0,0.05118265748023987,0.6797455321,0.5940091307,0.1637347915,0.5263714912,0.2794780743
DERL2,0.292541885,0.3576953114,0.5,0.10171113163232803,0.4065526085,0.1740933928,0.0291879688,0.3499393803,0.2764652098
PPIA,0.0314931949,0.4132995219,0.5,0.0,0.3101096941,0.3243322053,0.1921043144,0.4331210834,0.2755575018
YOD1,0.2265635421,0.1515056641,0.5,0.14496630430221558,0.1310547125,0.184810551,0.321445726,0.5414169177,0.2752204272
TBC1D30,0.218527178,0.0,0.5,0.006050106603652239,0.3127157797,0.4805492678,0.1689315788,0.4940907066,0.2726080772
RNF5,0.0495726216,0.0,0.5,0.0,0.4003025938,0.5247330364,0.1371732396,0.5410183009,0.269099974
GALNT16,0.0173826076,0.0,0.0,0.0,0.1430458653,0.6578762331,0.5005655869,0.831490599,0.2687951115
ERN1,0.2240511268,0.0563634766,0.5,0.021746637299656868,0.1925953879,0.3954847037,0.1693159981,0.5481351177,0.263461556
ARHGEF2,0.1907663332,0.4152549318,0.0,0.17582519352436066,0.1287306845,0.5654578587,0.0604119368,0.4644456602,0.2501115748
ASAP3,0.0,0.0,0.5,0.0,0.2073122212,0.5121805365,0.1886150998,0.5916624396,0.2499712871
DERL3,0.0359341488,0.1191157129,0.0,0.0,0.1291468508,0.5078724564,0.3601105907,0.8140943466,0.2457842633
VAMP4,0.1814848228,0.0503400145,0.0,0.015037455596029758,0.4012215853,0.4251022398,0.3021015497,0.5514626072,0.2408437844
ATF6B,0.0,0.0792103209,0.0,0.03087458200752735,0.3767343141,0.5681363879,0.2175649173,0.6205636482,0.2366355213
RABEP1,0.2854001096,0.0,0.0,0.16123615205287933,0.1682121156,0.4329134925,0.3070653717,0.5256379262,0.235058146
B3GNTL1,0.0637626508,0.0388377882,0.0,0.0,0.4006435899,0.6795055559,0.1287040683,0.5420569264,0.2316888224
A3GALT2,0.0,0.0704483787,0.0,0.0,1.0,0.4516642284,0.0,0.3279667228,0.2312599162
NAPA,0.0446153594,0.051904053,0.0,0.08193687349557877,0.2770458398,0.4862720862,0.318687491,0.5749633382,0.2294281301
FUT8,0.0396580973,0.0,0.0,0.029603976756334305,0.2106301932,0.7677207537,0.1788111121,0.5846838782,0.2263885014
EXOC1,0.0,0.1325424573,0.5,0.3485814034938812,0.1938620335,0.2463559795,0.0,0.3764964837,0.2247297947
DERL1,0.0,0.0,0.0,0.01341304276138544,0.2543816067,0.5155825658,0.3319840412,0.6777553097,0.2241395708
AKAP10,0.1078680794,0.2089557154,0.0,0.0,0.2908683848,0.6566280461,0.0029375285,0.5215000147,0.2235947211
TMX2,0.0493930106,0.0,0.0,0.03468960523605347,0.3677265127,0.5271160427,0.2366702303,0.5258036809,0.2176748853
