GeneNames,ExtraTreesRegressor,RandomForestRegressor,AdaBoostRegressor,XGBRegressor,SVR,LassoRegression,RidgeRegression,Average
BAK1,0.6224684483,0.7048972386,1.0,0.010929275304079056,0.6907606341,0.0,0.6863969989,0.5307789422
GALNT6,0.7201693933,0.712886495,0.1248203756,0.01711023412644863,1.0,0.0,0.9495555542,0.5035060075
HSPA1B,0.8066523377,1.0,0.6278947137,0.050779059529304504,0.4411263682,0.0,0.4166767592,0.4775898912
UBA7,0.1691479287,0.4548014661,0.7718365447,1.7606100300326943e-05,0.8945602727,0.0,0.8514892189,0.4488361482
IQSEC3,0.7364095544,0.6526169252,0.3991700172,0.07152795046567917,0.5395653341,0.0,0.527326832,0.4180880876
ALG10B,0.5247981372,0.0,0.2059341063,2.063710053334944e-05,0.9321544647,0.0,0.9582992886,0.3744580906
DNAJB11,0.1822928893,0.4415898073,0.1634786916,0.4449928104877472,0.6595484946,0.0,0.6579279559,0.3642615213
B4GALNT1,0.1599304037,0.3135532379,0.3057423096,0.3174000084400177,0.6276264609,0.0,0.6348067659,0.3370084552
PIGH,0.1339009708,0.3125564992,0.6579367203,0.06875372678041458,0.561293881,0.0,0.5585081117,0.3275642728
AP3S1,0.2886666466,0.3403082393,0.4997945802,0.8399350047111511,0.1716917515,0.0,0.1518981303,0.3274706218
HSPA4L,0.0716350915,0.1601837394,0.2822244944,0.01656273752450943,0.8451920842,0.0,0.8945820436,0.3243400272
FBXO6,1.0,0.3809871119,0.1732049938,0.4838024079799652,0.096780336,0.0,0.1275317557,0.3231866579
GALNT15,0.0549352439,0.2462684786,0.398640315,0.0072472007013857365,0.7417326778,0.0,0.7343480768,0.3118817133
CTSA,0.0625649269,0.3494327838,0.1993489713,0.003934336826205254,0.7591505847,0.0,0.7516829949,0.3037306569
USE1,0.0493599188,0.0186718491,0.0,0.07443078607320786,0.9788457564,0.0,1.0,0.3030440443
UGGT2,0.1186391105,0.3587103171,0.0,0.013664942234754562,0.7525539658,0.0,0.7530430088,0.2852301921
RAB9B,0.2228867023,0.4793773049,0.0,0.24883140623569489,0.5072710847,0.0,0.4504318489,0.2726854781
HAS2,0.1895269857,0.0,0.128117011,0.0027094008401036263,0.764301973,0.0,0.7916828453,0.2680483165
RAB32,0.1215352229,0.0199055956,0.2019285814,0.0,0.7332058238,0.0,0.736684024,0.2590370354
HSP90AB1,0.1014288935,0.382825691,0.4215280013,0.005930483806878328,0.4359202043,0.0,0.4526489496,0.2571831748
PIGN,0.5520541263,0.1794562001,0.0256695566,0.0020509036257863045,0.5212354979,0.0,0.480307882,0.2515391666
RAB39B,0.0539084927,0.145846168,0.034167199,0.00032858329359441996,0.7286567029,0.0,0.740550078,0.243351032
UBE2E3,0.1083844432,0.2317239478,0.8317915917,0.023110609501600266,0.2452859647,0.0,0.262320068,0.2432309464
ARHGEF1,0.0998527699,0.3337238867,0.5246009951,0.3603239953517914,0.1766615448,0.0,0.1827656542,0.2397041209
PIK3CA,0.085149579,0.0176432336,0.0,0.0,0.7798974692,0.0,0.792546319,0.2393195144
BNIP1,0.3997074895,0.317196487,0.0,3.069999934268708e-07,0.4697399538,0.0,0.4469436745,0.2333697017
TBC1D14,0.1253747154,0.0,0.1757589947,0.0,0.6587595928,0.0,0.6496139643,0.2299296096
GBGT1,0.0746425283,0.0999004617,0.0,0.0,0.7151770807,0.0,0.7195060127,0.2298894405
RNF5,0.043201408,0.1265310127,0.6342361545,8.515999979863409e-06,0.3929855304,0.0,0.3955613265,0.2275034212
WFS1,0.1225300725,0.1073390096,0.0052325585,0.0,0.6573619829,0.0,0.6771659832,0.224232801
LMAN1,0.0819843795,0.1611086917,0.0,0.04303473234176636,0.6546935726,0.0,0.6130938998,0.2219878966
SGSM3,0.2861111984,0.4283891201,0.4747047598,0.15131038427352905,0.1010631349,0.0,0.1116776712,0.2218937527
ARAP1,0.0122095359,0.1162344136,0.0,0.0,0.7193383497,0.0,0.7041433615,0.2217036658
STX18,0.0934271751,0.1359591071,0.2255294417,0.27010563015937805,0.412036638,0.0,0.4031627526,0.220031535
DNAJB1,0.0366286078,0.5602886159,0.2393079891,0.00024556121206842363,0.3488915542,0.0,0.3488350755,0.2191710577
HAS3,0.1065512205,0.4143784328,0.0,0.0,0.4835587136,0.0,0.4965140826,0.2144289214
TBC1D1,0.1150941754,0.1705032671,0.0,9.619999730148265e-08,0.6146608567,0.0,0.5840487351,0.2120438758
DDIT3,0.2494901021,0.3443814984,0.6432788184,0.0,0.1295611223,0.0,0.0915703751,0.208325988
RAB11FIP3,0.0413620148,0.1307106267,0.0890552707,5.7178098359145224e-05,0.5898252981,0.0,0.5984637866,0.2070677393
UFD1L,0.1334610909,0.2786334548,0.2562986918,0.00011061780242016539,0.3838421926,0.0,0.3740682589,0.2037734724
STX3,0.1033518841,0.1256010976,0.0,1.649000012093893e-07,0.615492451,0.0,0.5784057552,0.203264479
PDIA4,0.0518672715,0.0713798968,0.2050103934,3.6809999528486514e-06,0.5454977312,0.0,0.5420190541,0.202254004
GALNT10,0.1062762638,0.0,0.0,0.0,0.6272141305,0.0,0.6707679823,0.2006083395
ATF4,0.0628994593,0.0642386765,0.0,0.02985943667590618,0.613640622,0.0,0.6326025944,0.2004629698
ARFIP1,0.426005916,0.1147716734,0.0,0.050622038543224335,0.4250645315,0.0,0.3851761117,0.2002343244
STX4,0.1046390932,0.4499472139,0.0,0.0,0.4221237209,0.0,0.41363706,0.1986210126
TBC1D10A,0.2801021165,0.3139195975,0.1551991924,0.0,0.3320132279,0.0,0.3061523676,0.1981980717
EDEM2,0.1126668843,0.0341238781,0.1475102459,0.0,0.5543557452,0.0,0.5363018512,0.1978512292
RAB19,0.1621272764,0.3890996396,0.0,0.0,0.4046686978,0.0,0.4228474512,0.196963295
MAP2K7,0.0100728671,0.0158191246,0.5075846057,0.00012074380356352776,0.4135148912,0.0,0.4266886624,0.1962572707
TBC1D2,0.0173646733,0.2538633707,0.0,0.00032162529532797635,0.5375167649,0.0,0.5617302302,0.1958280949
STX11,0.1564295918,0.1135166528,0.0,0.027042962610721588,0.5187990809,0.0,0.5544574956,0.1957493977
RAB4B,0.0684395362,0.1656496687,0.0,0.0,0.5506310289,0.0,0.5851509156,0.1956958785
SNAP25,0.0793419763,0.0,0.3920391463,0.0,0.4679067161,0.0,0.4300116554,0.1956142134
RBX1,0.0586620014,0.0,0.0364036441,0.0,0.6304637829,0.0,0.6387462333,0.1948965231
COG4,0.2187056307,0.0541294189,0.0322961315,0.0,0.5043727261,0.0,0.502863821,0.187481104
RAB24,0.1447748105,0.0507725845,0.0,0.0006263991817831993,0.558310809,0.0,0.5569709388,0.1873507917
EXOC7,0.0634217561,0.0,0.0,0.0021216869354248047,0.608272009,0.0,0.624799587,0.1855164341
RAB40B,0.0127236217,0.1601522516,0.0,0.0,0.5435930592,0.0,0.5778944636,0.1849090566
SEC11C,0.0123973749,0.0252603955,0.0,6.814999778725905e-06,0.6430822116,0.0,0.6030935222,0.1834057599
BAG2,0.2419506588,0.2878062439,0.0,0.0,0.3747942755,0.0,0.3788814629,0.1833475202
TBC1D4,0.1428504039,0.0,0.0,0.26996684074401855,0.4173446234,0.0,0.4500934189,0.1828936124
MAN2A2,0.1087869652,0.0,0.0,0.017873626202344894,0.5693067806,0.0,0.5813564857,0.1824748368
UBQLNL,0.2306511126,0.2528529566,0.2656680347,6.217999839464028e-07,0.2629953831,0.0,0.2610549505,0.1818890085
AP3B1,0.0349752331,0.0,0.050607813,0.9999998807907104,0.0897336858,0.0,0.0660236711,0.1773343263
SEC31A,0.2485962688,0.0,0.0,6.597999799851095e-07,0.4937186865,0.0,0.4849513129,0.1753238469
PIGT,0.1225392632,0.0,0.0,2.2386000182450516e-06,0.5528004615,0.0,0.5427686597,0.1740158033
SSR1,0.0,0.0898423918,0.0,0.022836599498987198,0.555215043,0.0,0.5440473817,0.173134488
ACAP2,0.2119640705,0.0,0.0,0.0,0.5022786711,0.0,0.4963145742,0.1729367594
COPB1,0.2226156798,0.5956396843,0.0,3.127539821434766e-05,0.1935909336,0.0,0.1964217626,0.1726141908
RUFY1,0.1815383198,0.0096066292,0.1628388512,0.020436342805624008,0.4266484381,0.0,0.4012784306,0.1717638588
PSD2,0.1135275163,0.0345156236,0.2547617366,0.019759122282266617,0.3990531047,0.0,0.3781517176,0.1713955459
HSPA6,0.1210193697,0.0237028302,0.0,0.0009647239930927753,0.5158411649,0.0,0.5379708878,0.1713569967
CYTH2,0.0089536597,0.0122554406,0.2303109495,0.001183536951430142,0.4652533626,0.0,0.4627114446,0.1686669134
ATF6B,0.0495894998,0.3868273911,0.0,1.253099981113337e-06,0.3744686908,0.0,0.3499483557,0.1658335986
EIF2S1,0.0,0.0701313984,0.0,0.01617174781858921,0.5290834501,0.0,0.5423200774,0.1653866677
ARFGAP3,0.0089536597,0.0101699243,0.1261751349,0.0,0.5020793145,0.0,0.5040191482,0.1644853117
PARK2,0.070111583,0.0,0.0,0.5830122828483582,0.2494706679,0.0,0.2387209475,0.1630450687
PDIA2,0.0591073211,0.0739845577,0.069183186,0.0,0.4576107496,0.0,0.4676285016,0.1610734737
SMCHD1,0.0375386353,0.0,0.0,0.0,0.5369118122,0.0,0.5504579972,0.1607012064
VTI1A,0.0981568148,0.0,0.0,0.0,0.515529211,0.0,0.5055490528,0.1598907255
KIF23,0.0,0.0,0.302181825,1.0960000054183183e-06,0.4207454644,0.0,0.3948755252,0.1596862729
DNAJC3,0.3116318433,0.0,0.223233108,0.00014861239469610155,0.2929599062,0.0,0.2840581203,0.1588616557
SEC24D,0.0936924775,0.0,0.0,0.0,0.5031518342,0.0,0.5132779178,0.1585888899
WDR38,0.1581886259,0.0,0.0,0.0,0.4918902027,0.0,0.4543631001,0.1577774184
EIF2AK2,0.0577191276,0.171315363,0.0,0.0,0.4262054261,0.0,0.448227151,0.1576381525
RAB3C,0.0,0.0,0.0,0.0038126460276544094,0.5689812552,0.0,0.5286538067,0.1573496726
YWHAQ,0.0271967413,0.0,0.0,0.0,0.5394348669,0.0,0.5249218126,0.155936203
RAB34,0.0880656385,0.0117435418,0.0,5.1282000640640035e-05,0.4739669037,0.0,0.5158105631,0.1556625613
STX16,0.0358146387,0.0,0.0,0.0,0.5273546195,0.0,0.5254006888,0.1555099924
DNAJA1,0.3119813133,0.0,0.0,1.6505999838045682e-06,0.3852321648,0.0,0.390042122,0.1553224644
RAB42,0.222461658,0.104220934,0.087026969,0.0,0.3245241184,0.0,0.3384963422,0.1538185745
UBE2G1,0.1711101936,0.0,0.2412367364,8.69149971549632e-06,0.3355246731,0.0,0.3258962463,0.1533966487
RPN2,0.0089536597,0.0907682123,0.0,0.0,0.4649152887,0.0,0.5090727307,0.1533871273
UGGT1,0.3039772176,0.6260859193,0.0,0.0,0.0688067159,0.0,0.0701419571,0.1527159728
STX17,0.0107443916,0.0703169311,0.0,0.0011873922776430845,0.494499461,0.0,0.4883599089,0.1521582978
MAN1B1,0.0624997423,0.17251195,0.0,0.003493232885375619,0.3949679503,0.0,0.4228860568,0.1509084189
PIGM,0.2758511751,0.0,0.0,1.0969999664212082e-07,0.3887946157,0.0,0.3900486598,0.1506706515
RER1,0.0447777035,0.3480825934,0.0,0.0,0.3312130297,0.0,0.3293507174,0.1504891491
RAB6B,0.106346894,0.0,0.0,0.0,0.4628534266,0.0,0.4813285215,0.1500755489
ARHGAP5,0.0117516783,0.0076430328,0.0,0.0,0.5064799179,0.0,0.5188520464,0.1492466679
ALG5,0.1211179256,0.0913929361,0.0,0.022004535421729088,0.4058116752,0.0,0.4020932757,0.1489171926
RAB27B,0.078904126,0.038656188,0.0,7.2285001806449145e-06,0.4443032405,0.0,0.4746140084,0.1480692559
GALNT14,0.2705364116,0.0629286798,0.5305318307,0.0,0.0826457723,0.0,0.0894811778,0.148017696
RAB39A,0.1014369811,0.1236145204,0.0,0.0,0.3850839013,0.0,0.4244100673,0.14779221
SYTL2,0.0161165874,0.0916765737,0.0,0.0,0.461183224,0.0,0.4642651618,0.1476059353
RAB20,0.2788738333,0.2931491693,0.0,0.18751096725463867,0.1301533836,0.0,0.1429026124,0.1475128523
HSPA2,0.0905926695,0.1881521376,0.0,0.015818675979971886,0.3754142382,0.0,0.3613180541,0.1473279679
AP1S2,0.0223841492,0.0,0.1302695883,0.16542188823223114,0.3582791638,0.0,0.3404706366,0.1452607752
SIL1,0.0552888485,0.0760156884,0.0,0.0,0.428122796,0.0,0.4573462705,0.1452533719
