pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	0.135613646025547	6.54835192344332	0.454739789346919	0.501580854192028	0.895861720011838
ACAP1	0.162082484477465	3.05793972988828	0.862682334313029	0.355128376981258	0.837708563797413
ACAP2	-0.0135366477810624	5.57902329248663	0.0177772129964396	0.894187714473981	0.982712699908484
ACAP3	0.0788698765064344	5.70874408662865	0.207800319887837	0.649442306333707	0.934136303018184
AGAP1	0.0496173848790965	5.95321942108286	0.34203481485459	0.559916932235391	0.910673504593937
AGAP2	0.0240430873471373	2.04483985878812	0.0125983952383488	0.910846272406567	0.985091688283905
AGAP3	0.129667318051062	6.69239185551869	1.2165132805335	0.272578090751335	0.788562574145511
AGR2	-0.250151644111442	9.42281468832377	1.10111442592577	0.296441020579927	0.802461940813491
AGR3	-0.112034291662002	5.13003868622839	0.0933080242482258	0.760620349046062	0.958650095936149
AKAP10	-0.0326109351254365	4.2769177455114	0.107545404377876	0.743611909987496	0.95506957367148
ALG1	0.124191620850246	5.25119330603755	1.86974170571278	0.174436858874985	0.711424041043257
ALG10B	0.169651922464326	2.98677756354301	0.922485600629284	0.339038953336213	0.829050848912527
ALG11	0.138200517638725	3.33531342243706	1.09825246842646	0.297066312973004	0.802461940813491
ALG12	0.0170735673006338	4.23672265193539	0.0140770014842793	0.90578303217394	0.983977382286871
ALG13	-0.00252954063252922	4.9369276877288	0.000536759350710753	0.981560366324755	0.997189049659218
ALG14	0.048744928349716	4.1386070174963	0.206851248907455	0.650189508779148	0.934136303018184
ALG1L	0.127118677609874	1.79966727559831	0.27480617759053	0.601235328907783	0.922841860813024
ALG1L2	-0.117664805007272	-0.671821841385399	0.383162681601131	0.5372617734251	0.903773941478787
ALG2	0.0141526239896255	5.61129515484708	0.0304449283638095	0.861821913461478	0.976860030127092
ALG3	0.204320804288635	6.75772391787388	2.27352275740741	0.13461603490312	0.664624222777237
ALG5	0.341879317005117	6.16949126802763	8.36981817598664	0.00464290711271336	0.220439121596345
ALG6	-0.0343063363767007	3.99624023616221	0.10851545444699	0.742499606374762	0.954849258096534
ALG8	-0.0785495527576993	5.3960734120919	0.665805528825316	0.416372801213448	0.865129106930277
ALG9	-0.0202529891971276	3.05003784412847	0.039264039281467	0.843311228200957	0.974389684644144
AMFR	0.113521558942444	6.89245533703417	1.7665460789259	0.186703014099881	0.723700671211877
ANKFY1	-0.0282995958343224	5.63801600898152	0.0747205681504805	0.785122891779047	0.961555661833091
AP1B1	0.185627802151463	7.21042134331269	3.08170986223315	0.0821058458699629	0.575692804345841
AP1G1	0.0437435053947994	6.60515362144457	0.289747060608184	0.591526689518332	0.919374907922751
AP1M1	0.0698577271179841	5.51052435529856	0.451718879352969	0.503002224668686	0.895960864470423
AP1S1	0.238967732415471	6.99629664250598	3.2625478204674	0.0737555999795451	0.555126742736984
AP1S2	0.0774819878261572	4.10659501366906	0.215817026323794	0.643211679346907	0.933616069019684
AP3B1	0.0708692432399431	6.13928754252399	0.517955678457408	0.473320626448826	0.886884502761953
AP3B2	0.754536752274541	-0.316035524154229	4.26183410734897	0.0414527723992944	0.482498298785426
AP3D1	0.0610383740342369	7.81005561834082	0.362297274694142	0.548536098417582	0.907839405268143
AP3M1	0.0415243996642774	5.91031487285809	0.189178587981668	0.664497549274272	0.937356316624389
AP3M2	-0.14337453007744	4.51398658509939	1.46483486231288	0.228891307629326	0.758096276551623
AP3S1	-0.110485520862837	5.7426746007984	1.12893262900612	0.290450959124629	0.800559349999874
AP3S2	0.183772250363116	4.68697849681699	4.05018974070551	0.0467373212262915	0.494697735921985
APPL1	-0.087593812834301	5.69544175826852	0.51579282609605	0.474243568388214	0.887575296348312
APPL2	-0.0921194601717994	5.87750632961193	0.74843460910406	0.388952825878893	0.85661136580488
ARAP1	-0.0179702020944046	6.62217441833992	0.0314891843120067	0.859496732564623	0.976289360914859
ARAP2	-0.175351854723208	4.09216587063657	1.54853003077742	0.216134759620194	0.750660759632087
ARAP3	0.16900507469107	4.65245684975335	0.926842819221279	0.337905843311073	0.827956749080986
ARF1	0.135791731680122	9.60922276772156	1.14612124318984	0.286827594426962	0.799257049580599
ARF3	0.0972658777466522	7.83841299574105	1.62026642469618	0.205877607834452	0.742215715751119
ARF4	-0.0891742695920902	7.91685738373569	0.88743468143177	0.348344873890698	0.834648802559727
ARF5	0.268621890270064	7.56528233451281	4.84058633800597	0.0299982071762163	0.44422953516362
ARF6	0.0227082840221938	7.37465774095088	0.0676170193274775	0.795349879200953	0.964472535770373
ARFGAP1	0.167968932703628	7.41321919708931	1.49821578997943	0.223696997629039	0.755983557673439
ARFGAP2	-0.0433590940607949	6.74203146510973	0.444410962882031	0.506469457703943	0.896861541505959
ARFGAP3	-0.0922755097150696	5.61182586897774	0.515801680720549	0.474239783917109	0.887575296348312
ARFGEF1	-0.0432117405743164	6.64146736446388	0.129328186949698	0.719854907565796	0.949153162835693
ARFGEF2	-0.0396031164135076	7.10795414569389	0.116232043099706	0.733841718279022	0.952183444791983
ARFIP1	-0.142055552844365	5.89913159955406	1.74142786152037	0.189840123474017	0.72633292640707
ARFIP2	-0.154361300456188	6.30186548096601	2.35985886023531	0.127514019733839	0.655769173811519
ARHGAP1	-0.0362190241976681	7.22438109456039	0.186513029615966	0.666724029779064	0.9384596291455
ARHGAP24	-0.241684169321401	2.2553328994804	1.53345919329809	0.218367069016782	0.752507772208942
ARHGAP5	-0.0682726515798709	6.26584316785703	0.218768415955241	0.640953324278783	0.933616069019684
ARHGDIA	0.205419869297472	8.15983344160064	4.61203503244689	0.0340585345520876	0.458600825440859
ARHGEF1	0.0979905392065032	6.99774548160876	0.814111270632926	0.368981342231226	0.846606519758041
ARHGEF11	0.0558696576716738	6.21012469916588	0.361650813436387	0.548892434001099	0.907839405268143
ARHGEF2	0.069941062698507	6.37669559936435	0.430462702219579	0.513203195898507	0.898195632582002
ARHGEF6	-0.0814570428030295	3.24669822370724	0.216628277276044	0.642589057575073	0.933616069019684
ARHGEF7	0.234188936094426	6.35664230134146	6.17091473152051	0.0145742726324702	0.341568119944716
ASAP1	-0.0495911376917038	5.3358151203107	0.126701819066487	0.722593682040378	0.949818941046681
ASAP2	0.116791834716062	4.803763112669	0.852332026665314	0.358018991564369	0.840344169333926
ASAP3	-0.312598209542176	3.67620814776764	4.05269431942817	0.0466707320769535	0.494697735921985
ATF4	-0.0497191869207326	8.42309836308165	0.275509577025745	0.600770769910876	0.922671394324154
ATF6	0.00916657092415691	6.11191370037384	0.0104294020380513	0.918853491388179	0.9866218152485
ATF6B	0.148920892395696	7.19832465271651	2.57480805082138	0.111593565063662	0.630848544731638
ATXN3	-0.0873960462275709	4.36440081162411	0.833687935992839	0.363308819401169	0.844022881779983
ATXN3L	0	NA	NA	1	1
B3GNTL1	-0.155147604281399	3.10455744582127	1.21785554619065	0.272315223089577	0.788314735943433
B4GALNT1	-0.161056075710616	0.720601734567649	0.531656111846938	0.467541559141181	0.885900109768905
B4GALNT2	-0.441137270047327	2.45100601729389	0.5587728196226	0.456432924455476	0.879213862213985
B4GALT1	0.0702259812592482	7.43355551772891	0.400864285116755	0.528025598216324	0.902311034903823
B4GALT3	0.146785013878873	5.96673300742185	1.53505696856643	0.218129091552541	0.752485261635648
BAG1	0.00855178205270875	6.84743140633358	0.0054691015873551	0.941188778814122	0.990448758852959
BAG2	-0.246649698323777	3.69556066842176	0.937551728474735	0.335142645045996	0.826255027095436
BAK1	0.101482987690834	5.59604671042637	0.69987601536785	0.404733242254808	0.859950033418478
BAX	0.119220209758017	6.48354783439074	1.06861107127901	0.303644390426463	0.805561117667927
BCAP31	0.147220407841954	8.86551097251615	1.98328418021538	0.162011314647235	0.69901310382739
BCL2	-0.147288575527759	2.90442367721797	0.708125949413004	0.40198710690292	0.859633390588304
BET1	0.0425820390540307	4.59725405883717	0.139281546526114	0.709751838012536	0.947963768816597
BET1L	0.0231143388185156	6.36415312743448	0.103876313637792	0.747870102426786	0.956033065546155
BNIP1	-0.0268870312822981	3.46645708252295	0.0429503210102638	0.836221921240008	0.972759107262731
CALR	0.110170558750286	10.0348819481134	1.52313937411218	0.219911705821207	0.753979045803598
CANX	-0.000302248049617161	9.6603454798137	8.68017023955381e-06	0.997654879361482	0.999749471183952
CAPN1	0.137038472887941	8.61636815399731	1.71925572948224	0.192661053450932	0.72812559927989
