GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
TBC1D7,0.1131741099,0.3978216414,1.0,0.07911066710948944,0.441878644,1.0,0.8615319404,0.8228608026,0.5895472257
PIGN,0.5364409457,0.0,0.5,1.0,0.2063139413,0.8643403634,0.5368868237,0.7263446664,0.5462908426
GALNT14,0.5934423642,0.6837801483,0.0,0.0,0.1706241924,0.8311263135,0.7585209407,1.0,0.5046867449
UBA7,0.744407507,0.6380458821,0.0,0.0,0.1919685441,0.9322937007,0.3893273085,0.7326970365,0.4535924974
RAB9B,0.3173545125,0.3389243777,0.0,0.10472053289413452,0.2343020131,0.8762942794,0.852009632,0.8470904012,0.4463369686
TBC1D1,0.1749925203,0.0,0.0,0.6978368163108826,0.2647158517,0.781670652,0.7269036842,0.781261287,0.4284226014
RAB20,0.8960719941,0.4475777002,0.5,0.07789722084999084,0.1498990153,0.3202349704,0.3604032117,0.5291609681,0.4101556351
GALNT9,0.3765102225,0.5855162245,0.5,0.005502734798938036,0.1366940686,0.4954054745,0.5033481796,0.6005216596,0.4004373205
FBXO6,0.381084199,0.0,0.5,0.1869594007730484,0.1090345689,0.5747511939,0.5741543128,0.6986385129,0.3780777735
MICALCL,0.1247219417,0.2552152222,0.0,0.8603261709213257,0.1407739535,0.7216696531,0.275846997,0.6182780876,0.3746040033
ASAP3,0.2986213515,0.2404585236,0.0,0.09178832173347473,0.127379912,0.7711216801,0.6084226664,0.6616161493,0.3499260756
RAB26,0.1791923407,0.1196160233,0.0,0.0,0.0316714627,0.616722111,1.0,0.8359378727,0.3478924763
HSPA1B,0.0999957259,0.0,0.0,0.1355380266904831,0.1190470532,0.8187872107,0.7351461058,0.8446648526,0.3441473719
RABGEF1,0.7655580097,0.3299740289,0.5,0.057257868349552155,0.2800593132,0.4081703963,0.0,0.3973495813,0.3422961497
SEC61G,0.2150411008,0.0,0.5,0.2480817437171936,0.1491690241,0.719692898,0.2746186075,0.5807823427,0.3359232146
ERP27,0.4449900706,0.3346920377,0.0,0.19498489797115326,0.0353839077,0.4375373584,0.4896965408,0.709169687,0.3308068125
AGR2,0.2519892292,0.2078787503,0.0,0.0,0.0630411405,0.6203042805,0.6707034202,0.8031554037,0.3271340281
CAPN2,0.0,0.3328993778,0.0,0.0,0.1652526644,0.7511479172,0.6169901524,0.7501786754,0.3270585984
RAB2B,0.3484567129,0.0,0.0,0.1904614269733429,0.2525931943,0.7079001893,0.4499791465,0.6562313624,0.325702754
AP3B1,0.2475127991,0.0,0.0,0.46499308943748474,0.1500238957,0.8001342267,0.2897158515,0.6116126352,0.3204990622
DPAGT1,0.6506871197,0.4159183975,0.0,0.0947149395942688,0.1471644337,0.4878231622,0.2526497323,0.4923364198,0.3176617756
UBQLNL,0.3870539058,0.3501562726,1.0,0.10338395833969116,0.2668271645,0.0948793289,0.0,0.2493571727,0.3064572254
UBE2E2,0.5478936271,0.3623830158,0.0,0.13782063126564026,0.0340168689,0.4921476168,0.3581165098,0.5114881785,0.305483306
RAB3D,0.2780790231,1.0,0.0,0.013204103335738182,0.0885823765,0.2894391619,0.2853889709,0.4767795311,0.3039341459
PDIA2,0.2379898275,0.0,0.0,0.04545854032039642,0.097284409,0.7437120575,0.3537079961,0.9529618409,0.3038893339
RAB27B,0.4086886564,0.0,0.0,0.5172340869903564,0.0322866529,0.3672587076,0.4442320399,0.6132618955,0.2978702549
UBE2G2,0.5581579607,0.2606347283,0.0,0.0,0.1404986962,0.5212029916,0.3096067101,0.5734837149,0.2954481002
STX11,0.0,0.2681667191,0.0,0.013417897745966911,0.1098451977,0.6457782505,0.6358855053,0.6841120937,0.294650708
HAS1,0.4597076233,0.6291199951,0.5,0.08017653971910477,0.0598561114,0.3022740649,0.0,0.2645432199,0.2869596943
ALG1,0.2869877332,0.0,0.0,0.0067827655002474785,0.3478993239,0.7136399131,0.2766776201,0.6072181298,0.2799006857
MGAT3,0.0284693714,0.1932507099,0.0,0.0,0.0665308586,0.6842334225,0.5154197493,0.733530614,0.2776793407
RAB11FIP3,0.0,0.0,0.0,0.04469691589474678,0.123014635,0.8081460452,0.5067951678,0.6874935944,0.2712682948
RAB4B,0.0,0.0,0.0,0.0,0.2621194744,0.8438550106,0.3725172376,0.648936153,0.2659284844
SEC24B,0.8107197491,0.5108556574,0.5,0.14242786169052124,0.0299667602,0.0513814653,0.0,0.0817773761,0.2658911087
STX5,0.5734782969,0.4857374013,0.0,0.13623152673244476,0.2073375653,0.3746777205,0.0,0.328686482,0.2632686241
SYTL2,0.0,0.2462088371,0.0,0.0,0.0687499994,0.6552433403,0.4811862597,0.6540526678,0.263180138
MAP3K5,0.2132999738,0.4870391731,0.0,0.0,0.1031127417,0.64494798,0.069890093,0.5498000852,0.2585112558
PIGP,0.4082850251,0.5037732039,0.0,0.05529174581170082,0.1302494939,0.3608372782,0.1147950075,0.4674999377,0.2550914615
RAB14,0.6471435587,0.0,0.0,0.3518177270889282,0.1493089913,0.4739218834,0.0,0.4083583193,0.25381881
EXOC3,0.0503978458,0.0869056447,0.5,0.00790868978947401,0.323280259,0.590778451,0.0,0.4603830078,0.2524567373
GBGT1,0.0,0.0,0.0,0.021387653425335884,0.1251215154,0.5674946457,0.5386911395,0.7577228745,0.2513022286
ALG5,0.3312856319,0.0,0.0,0.0,0.1863560993,0.5854563378,0.2603448775,0.6342728478,0.2497144743
OPTN,0.0,0.3145839691,0.5,0.0,0.1413155339,0.5350540662,0.0,0.5019283491,0.2491102398
RRBP1,0.3149865365,0.357847278,0.0,0.0,0.1011370236,0.6679683201,0.0054249901,0.4894991179,0.2421079083
ALG1L2,0.0,0.203913364,0.0,0.0,0.2314903392,0.7677103774,0.1213163126,0.611680332,0.2420138406
EXOC6B,0.3599846131,0.0,0.5,0.0,0.1047416262,0.5473197197,0.0,0.3735652569,0.235701402
CKAP4,0.0633203704,0.0,0.0,0.4687536060810089,0.0741587878,0.4683169588,0.3091191805,0.4887767959,0.2340557124
GALNT15,0.0,0.1773584585,0.0,0.06158483028411865,0.1009371451,0.7581235981,0.1432311674,0.6214897308,0.2328406163
RAB40B,0.408096173,0.0435964464,0.0,0.030963756144046783,0.1460224412,0.4776049309,0.18935355,0.5481249725,0.2304702838
RAB12,0.0359342929,0.0620754605,0.0,0.0,0.0964644108,0.5592921986,0.5106794529,0.563856917,0.2285378416
RAB19,0.1821802472,0.0,0.0,0.005883832927793264,0.1296378959,0.6569003315,0.1791360166,0.665512456,0.2274063475
CLTA,0.4678515119,0.4764364581,0.0,0.019850268959999084,0.1428366137,0.3950341476,0.0,0.3167581329,0.2273458916
PIGZ,0.1343942556,0.0,0.0,0.0,0.0709853478,0.6377075119,0.3603248318,0.6064529856,0.2262331166
UBE2G1,0.1749925203,0.71470207,0.5,0.16899877786636353,0.0262737811,0.062945887,0.0,0.1302347512,0.2222684734
RAB3A,0.1676276177,0.0,0.0,0.014475054107606411,0.1247940583,0.5800409128,0.2137703047,0.6555808013,0.2195360936
CYTH3,0.0,0.1357900698,0.0,0.2107359766960144,0.1181916031,0.6426738603,0.088808459,0.558767617,0.2193709482
RAB33A,0.0,0.0,0.0,0.29354748129844666,0.1874847588,0.7361995088,0.0,0.5209047456,0.2172670618
FBXO2,0.0895961704,0.1968375713,0.0,0.15284661948680878,0.0353914383,0.5811808447,0.1043679263,0.5664855056,0.2158382595
ASAP1,0.1079953839,0.0620038349,0.0,0.06912310421466827,0.0827225598,0.5348349979,0.3147984546,0.5312213671,0.2128374628
AP3B2,0.0,0.4096395746,0.0,0.0,0.1726605818,0.4915954257,0.1328809396,0.4885607749,0.2119171621
ABO,0.4363146838,0.0,0.0,0.008724736981093884,0.0674879859,0.5085357078,0.0634173836,0.60361967,0.211012521
TUSC3,0.1343942556,0.0,0.0,0.0,0.0798622954,0.5959238741,0.28480752,0.5790734753,0.2092576776
RAB3B,0.4853484854,0.0,0.0,0.04792944714426994,0.0670930763,0.6459625393,0.0,0.4268440457,0.2091471992
EXOC7,0.693123101,0.3558893588,0.0,0.0,0.0974342004,0.3284384294,0.0,0.1934952869,0.2085475471
DNAJB12,0.2559890582,0.0,0.0,0.0,0.2179507073,0.4627728479,0.2087207824,0.4944614774,0.2049868591
ALG10B,0.0,0.0,0.0,0.0,0.1375827824,0.5696495879,0.3242050847,0.5898281569,0.2026582015
GXYLT2,0.0499978629,0.0,0.0,0.0,0.0547529057,0.522253622,0.4379022759,0.555803799,0.2025888082
HSP90AB1,0.6708557514,0.3991404593,0.0,0.0,0.1080039336,0.127258722,0.0,0.2915250474,0.1995979892
HSPA6,0.0,0.0825829821,0.0,0.0,0.050660831,0.492851993,0.2924389387,0.6562260848,0.1968451037
USP6,0.0,0.1594181634,0.0,0.0,1.0,0.2440154676,0.0,0.1538853862,0.1946648772
PIGS,0.5640111865,0.0873090751,0.0,0.0,0.1028669728,0.3495277143,0.0,0.4275007112,0.1914019575
DNAJB1,0.2239904259,0.0,0.0,0.0,0.1440504445,0.4339693331,0.2002028738,0.5219310258,0.1905180129
RAB38,0.308365643,0.3673571713,0.5,0.022526225075125694,0.0043855631,0.2975720154,0.0,0.0193311543,0.1899422215
RER1,0.1464860464,0.5927205283,0.0,0.6451047658920288,0.0784161872,0.0478404044,0.0,0.001531045,0.1890123721
RAB29,0.1279945291,0.273638885,0.0,0.07573691755533218,0.0450211042,0.4116000706,0.1218991149,0.4504950011,0.1882982028
STX19,0.1259946146,0.0,0.0,0.0,0.0333955079,0.4265896765,0.3450753076,0.55248817,0.1854429096
RAB3C,0.2416601592,0.0,0.0,0.0,0.3907180586,0.4091067292,0.0,0.4302952505,0.1839725247
STT3A,0.4090696945,0.0,0.0,0.6572962403297424,0.0874592548,0.2551125425,0.0,0.0615733659,0.1838138873
RALBP1,0.1387471059,0.8844996785,0.0,0.0,0.0252866568,0.2787383418,0.0,0.1413280478,0.1835749788
PSD,0.2519892292,0.2701350877,0.0,0.0,0.0312465364,0.5385794383,0.0,0.3632090318,0.1818949154
ARFGAP2,0.0,0.4216927797,0.0,0.008535095490515232,0.2985584269,0.3808882752,0.0,0.3428029229,0.1815596875
SEC61A2,0.5849749963,0.0,0.0,0.009249464608728886,0.1309683357,0.3061832601,0.0,0.3960913658,0.1784334278
TRAPPC6A,0.0,0.0,0.0,0.0,0.1052130365,0.6875264303,0.115652193,0.5171493721,0.178192629
UBXN6,0.6690066986,0.0861164374,0.0,0.0,0.1714673688,0.2966067033,0.0,0.1935816327,0.1770973551
TBC1D10A,0.1955252596,0.4058452643,0.0,0.011680340394377708,0.1510387443,0.396823758,0.0,0.236728667,0.1747052542
NAPA,0.0,0.0,0.0,0.3396800756454468,0.1529079708,0.5541584763,0.0,0.3495137233,0.1745325308
AMFR,0.3220972997,0.0,0.0,0.0,0.1998129583,0.5028582358,0.0,0.3714621211,0.1745288269
BAX,0.269188494,0.3859575122,0.0,0.09953474253416061,0.0874631575,0.2963439085,0.0,0.2556376038,0.1742656773
RUFY1,0.0727968884,0.3132800611,0.0,0.0,0.1531282277,0.4411830066,0.0,0.4010111152,0.1726749124
PIGV,0.427944448,0.0,0.0,0.0,0.1074495299,0.3467096038,0.0856122741,0.4079600527,0.1719594886
UGCG,0.4252666712,0.1585444424,0.0,0.0,0.0802605935,0.414311846,0.0,0.2887749383,0.1708948114
RAB39A,0.2909875623,0.2411075294,0.0,0.0,0.0832167268,0.3801969493,0.0636260536,0.3070189829,0.1707692255
STX16,0.429305788,0.2234716577,0.0,0.0,0.0385596641,0.3480259635,0.0,0.3254805575,0.1706054538
MAN2A2,0.2831878956,0.0,0.0,0.30041083693504333,0.0984886126,0.3237873361,0.0,0.3554281308,0.1701628515
SYVN1,0.3782949416,0.0,0.0,0.42677491903305054,0.0899058244,0.2624864006,0.0,0.1956704637,0.1691415687
DNAJC5B,1.0,0.0814740419,0.0,0.02595658041536808,0.0117846437,0.0477885243,0.0,0.1678874316,0.1668614027
RAB3IL1,0.146993717,0.0,0.0,0.0,0.0639990534,0.4110673653,0.212152215,0.4938859459,0.1660122871
DNAJA2,0.6350377262,0.0,0.0,0.052685223519802094,0.0898745694,0.2498014568,0.0,0.2978249443,0.16565299
UBA1,0.2709683656,0.0,0.0,0.1549912989139557,0.1426828262,0.2884660419,0.0,0.456414244,0.1641903471
B4GALT1,0.1972590246,0.0732010877,0.0,0.0,0.1219053263,0.5493977536,0.0,0.3664088539,0.1635215058
PGAP1,0.3483739983,0.0,0.0,0.0,0.0276123721,0.65175406,0.0,0.2718543832,0.1624493517
JUN,0.8748497281,0.0834295988,0.0,0.0,0.0457792998,0.1252823375,0.0,0.165270351,0.1618264144
FUT8,0.1035759924,0.0,0.0,0.0,0.1087956345,0.603029906,0.0,0.4789233525,0.1617906107
DNAJC1,0.7020192242,0.0,0.0,0.0,0.0668828469,0.2872832367,0.0,0.2362423287,0.1615534546
HAS3,0.0,0.0,0.0,0.0,0.0519102095,0.4796947222,0.2813382584,0.477897121,0.1613550389
HSP90AA1,0.0,0.0886571398,0.0,0.0,0.0708927721,0.5574987578,0.083899973,0.4845392503,0.1606859866
LMAN1,0.1802953239,0.0,0.0,0.0,0.0438887367,0.5685388855,0.0387968564,0.4514228617,0.160367833
UBE2D1,0.4652602629,0.0,0.0,0.027833595871925354,0.0603484534,0.4177348265,0.0,0.3038115624,0.1593735876
EXOC2,0.2328141194,0.3098556599,0.5,0.008512445725500584,0.0027970303,0.1067617693,0.0,0.1117224876,0.159057939
PIGF,0.4845946715,0.3200765931,0.0,0.0,0.0622066864,0.1769156431,0.0,0.2277419194,0.1589419392
TRAPPC3,0.1194615605,0.4470138557,0.0,0.0,0.1652191033,0.3398345865,0.0,0.1949443222,0.1583091785
LARGE1,0.21541764,0.0,0.0,0.0,0.093358195,0.5315863437,0.0,0.4034048324,0.1554708764
ATF4,0.3688165588,0.0,0.0,0.0,0.1206827313,0.4393549505,0.0189716534,0.2914637402,0.1549112043
CYTH2,0.3216785581,0.8061425798,0.0,0.0,0.024080493,0.027239295,0.0,0.0598075884,0.1548685643
TBC1D2B,0.0,0.0,0.0,0.0,0.0783196074,0.6588123757,0.0142043126,0.487553931,0.1548612783
TMX4,0.0,0.0,0.0,0.0,0.080945449,0.6638737089,0.0,0.4931904175,0.1547511969
RAB36,0.1333276345,0.462814882,0.0,0.0,0.0429119788,0.3951064252,0.0,0.202204164,0.1545456356
RAB39B,0.2351899472,0.0,0.0,0.0,0.2005984358,0.3441537158,0.0057947548,0.447684174,0.1541776285
SEC31B,0.8427832338,0.1346783382,0.0,0.0,0.0006253247,0.0367834562,0.0,0.2131317412,0.1535002618
HAS2,0.1893206035,0.1780746917,0.0,0.0,0.0602036865,0.3549231403,0.0353176432,0.4093605524,0.1534000397
ARHGEF1,0.1007956917,0.2823029977,0.0,0.0,0.1303392775,0.3410307579,0.0,0.3713954971,0.1532330277
SRP68,0.1852861979,0.530102206,0.0,0.019901877269148827,0.1110294038,0.17823028,0.0,0.2002813164,0.1531039102
ARFIP2,0.262394918,0.0,0.5,0.13776935636997223,0.0006723862,0.0731946477,0.0163504381,0.2341998704,0.1530727021
MCF2L,0.1808865954,0.1560074868,0.0,0.0,0.0663229963,0.4055704079,0.0,0.4032702838,0.1515072213
DNAJB9,0.380765543,0.0631700513,0.0,0.0,0.0841375146,0.357362902,0.0,0.3197935858,0.1506536996
RAB11B,0.0,0.0,0.5,0.0057705482468008995,0.0761748741,0.3154543458,0.0,0.3071613938,0.1505701452
DOLK,0.3759839292,0.0,0.0,0.0,0.1532684961,0.338885451,0.0,0.3288993568,0.1496296541
HSPA1L,0.1405430123,0.0,0.0,0.0,0.1112088973,0.5505632464,0.0,0.3809216075,0.1479045954
TBC1D13,0.0,0.0926294453,0.0,0.027746262028813362,0.2106345148,0.4373667488,0.0,0.4125153813,0.147611544
GALNT6,0.0,0.0,0.0,0.0,0.0476842521,0.5917915036,0.1312449661,0.406023708,0.1470930537
SEL1L,0.3747407391,0.0,0.0,0.0,0.0576796117,0.4002926386,0.0,0.3435210018,0.1470292489
AP3D1,0.2665376269,0.6636307231,0.0,0.0,0.0238466356,0.1428728549,0.0,0.0756837398,0.1465714475
BNIP1,0.4822064049,0.0,0.0,0.0,0.1088019645,0.3579421945,0.0,0.2192933905,0.1460304943
CYTH4,0.3548247258,0.0,0.0,0.0,0.0725667359,0.36721987,0.0,0.3704077785,0.1456273888
WAS,0.3585540286,0.2030465934,0.0,0.21738788485527039,0.0429870679,0.146178803,0.0,0.1870323635,0.1443983427
AP3M1,0.3147065484,0.0628498912,0.0,0.0,0.0588860429,0.3764546693,0.0,0.3421022256,0.1443749222
DERL3,0.2299828971,0.2352197475,0.0,0.0,0.0276861506,0.3889626383,0.0,0.2667930283,0.1435805577
DNAJB2,0.1899611112,0.0,0.0,0.43793967366218567,0.0700712024,0.1877103501,0.0,0.2600313837,0.1432142151
ALG13,0.1837739631,0.0,0.0,0.0,0.1180264632,0.5175943204,0.0,0.3240660473,0.1429325992
ARHGAP5,0.3639844421,0.0,0.0,0.0,0.0557469782,0.4098445923,0.0,0.3044473287,0.1417529177
STX2,0.0895961704,0.0,0.0,0.0,0.0557824721,0.6569959315,0.0,0.3250190623,0.1409242045
UBXN2A,0.2161798338,0.0619799965,0.0,0.0,0.1247911377,0.3741524416,0.0,0.3494005199,0.1408129912
POMT2,0.0,0.0,0.5,0.0,0.1510721241,0.2325583089,0.0,0.2423979357,0.1407535461
RASEF,0.074692192,0.0,0.0,0.0,0.0748400709,0.4337054552,0.0329893177,0.5071763455,0.1404254227
ALG3,0.5214312241,0.2533159699,0.0,0.0,0.0418710705,0.2021983977,0.0,0.1012207374,0.140004675
USP6NL,0.0,0.0,0.0,0.0064544109627604485,0.1595074016,0.4321096342,0.0467508512,0.4711897424,0.139501505
TBC1D12,0.0,0.0,0.0,0.0,0.1525868431,0.491956605,0.0294179005,0.435400102,0.1386701813
RNF185,0.2405351733,0.1955377005,0.0,0.2723744809627533,0.0896860355,0.1914392934,0.0,0.116399885,0.1382465711
DNAJC6,0.0,0.0,0.0,0.052031006664037704,0.0378796454,0.3560309152,0.2314786473,0.4276958659,0.1381395101
STUB1,0.157629626,0.0,0.0,0.0,0.1199066504,0.4278350785,0.0,0.388634157,0.136750689
HSPA2,0.3135865963,0.0,0.0,0.0,0.0338966502,0.4373781393,0.0,0.3032383349,0.1360124651
MGAT1,0.2737988233,0.6843707338,0.0,0.0,0.0621592311,0.0404389409,0.0,0.0233163887,0.1355105147
