pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-0.449455743285757	6.46590667255143	2.41293675371621	0.124404991412799	0.925119831066948
ACAP1	-0.14394774301197	3.06083489695307	0.41001883202607	0.523845954926527	0.982840610421855
ACAP2	-0.121785060377735	5.52596460945833	0.743278548349015	0.391268733479928	0.970914182995126
ACAP3	-0.0818925586732657	5.69908854332059	0.13109897191884	0.718279309125344	0.992925079710367
AGAP1	0.0225980271279494	5.97395143180531	0.0428970440627386	0.836461708071684	0.997532852180197
AGAP2	0.252663434481238	2.12159376059593	0.728135631201162	0.396114080011722	0.972120196028567
AGAP3	-0.0810786710767617	6.71009497814605	0.321439010197244	0.572380271032114	0.983567722206318
AGR2	-0.341004162450428	9.18086069864144	1.9442245718435	0.167189363961465	0.948783293118409
AGR3	-0.714883925400417	4.87085051776721	2.5653558808705	0.113290658113034	0.923274297614674
AKAP10	0.113196424781249	4.28512153514512	0.984048853904752	0.32428398277763	0.966499135228389
ALG1	-0.114020264045827	5.26102125112683	1.02202881227114	0.315179697385152	0.963235978220071
ALG10B	-0.00909755647547509	3.06060312553366	0.00175460472741501	0.966695556371568	0.998756365013936
ALG11	-0.153007332013194	3.34748082836493	1.0123755183165	0.31746114410877	0.964762952674751
ALG12	-0.0620498913021025	4.19494190322477	0.106520152661112	0.745019689304166	0.994064157135318
ALG13	0.0285263369550543	4.93446584921158	0.0385117711139658	0.844932008239927	0.997532852180197
ALG14	-0.133850315153588	4.10648590460653	1.06593831059362	0.305071260472942	0.962329613521005
ALG1L	-0.143531822429153	1.79087092197088	0.207875746796373	0.649710691594198	0.988876784071549
ALG1L2	-0.0577001054263184	-0.760442087428349	0.0603595085128588	0.80657715486882	0.997238295714458
ALG2	-0.191924250775855	5.54677164193282	3.38433311263871	0.069642539835606	0.885939577056604
ALG3	-0.249221419176275	6.7579875418506	1.97352234274752	0.164064320245094	0.948783293118409
ALG5	-0.293550670453303	6.22850876213321	3.19071871527987	0.0779629669939847	0.895316662832619
ALG6	-0.0646892384342085	3.95044849509841	0.236060332569797	0.628435076219056	0.985514421474707
ALG8	0.149706993536225	5.39562187617152	1.74306825752897	0.190631027346187	0.950371443526406
ALG9	0.0998658796686034	3.0625184819249	0.655218371343186	0.420727868853982	0.973770003294754
AMFR	-0.108648036784257	6.89623097786387	0.826890942589277	0.365988384763783	0.968642257311123
ANKFY1	0.0805034186005289	5.63588054530175	0.386017969808664	0.536220613124274	0.982840610421855
AP1B1	-0.0730299907104763	7.25581466570991	0.28816819736338	0.59293236358351	0.984359429027751
AP1G1	-0.0326591457305232	6.6073042991032	0.0936440270497042	0.760414017963536	0.994064157135318
AP1M1	0.0768534389846922	5.54672784491334	0.342560445216871	0.560052939996313	0.983407207329488
AP1S1	-0.192541681813615	7.03360732309326	1.43099817777677	0.235243371970527	0.955363184135449
AP1S2	-0.132517435209699	4.08710616269436	0.39315072607549	0.532488103443511	0.982840610421855
AP3B1	-0.183938793508978	6.10825871704114	2.30512677097706	0.133010949356405	0.936046804919374
AP3B2	1.15271674468478	0.431853918763646	5.13065249428034	0.0262959039692054	0.790903974036002
AP3D1	-0.0750662830431495	7.79849954222922	0.344750050395721	0.558804413572171	0.983407207329488
AP3M1	-0.0937056813194245	5.89405425279998	0.51904480648316	0.473413774160958	0.981013916541896
AP3M2	0.0639490009303189	4.44782605263672	0.199810247125825	0.656119001698128	0.989839185227488
AP3S1	-0.075681767598034	5.65284703522399	0.398697818386473	0.529617892858061	0.982840610421855
AP3S2	-0.246863432082584	4.68776655152416	3.74565378598777	0.056587585637703	0.866678673917796
APPL1	-0.0646875125824083	5.62363632138213	0.157107489763445	0.692921356815957	0.991794735733124
APPL2	0.223603174905265	5.89680814755925	2.8404468882008	0.0959356351950656	0.914545168388027
ARAP1	0.17879086307149	6.65475641055617	1.98980758657284	0.16235663604829	0.948783293118409
ARAP2	-0.032047244775774	3.98232823768919	0.0295611173595471	0.863937365832627	0.997532852180197
ARAP3	-0.0521486835500178	4.69855976882388	0.060010186914686	0.807126393732934	0.997324786013128
ARF1	-0.073030537494	9.62757137270958	0.233651750073372	0.630190152747959	0.985514421474707
ARF3	-0.105782621823133	7.8403463339972	1.10242800084111	0.296992363338992	0.962329613521005
ARF4	-0.102012528928669	7.83065249569829	0.705323319336981	0.403580422340736	0.972490271319996
ARF5	-0.150426635338345	7.62406015950354	0.966445745734597	0.328622961212756	0.966499135228389
ARF6	-0.0273481950159137	7.36480345875617	0.068945348160513	0.793574321556469	0.996578783317603
ARFGAP1	-0.130139828271363	7.43233176224728	0.502943703131221	0.480334565962731	0.981678100542361
ARFGAP2	0.00107575127607119	6.70382162697215	0.00016965951790278	0.98964099997822	0.99973643037236
ARFGAP3	-0.0574629706225291	5.53152666513582	0.145866322153449	0.703561113793179	0.991794735733124
ARFGEF1	0.421792750847642	6.7611439677519	6.5591269514876	0.0123739019145292	0.715500120268972
ARFGEF2	0.15686346555966	7.13241520954286	1.24099102911177	0.268718214864216	0.957284232631579
ARFIP1	-0.0686780779931132	5.7946415999271	0.237649274352741	0.627283313435995	0.985514421474707
ARFIP2	0.0387438287705762	6.22146101593403	0.0890252037909521	0.766217450867976	0.994209037675923
ARHGAP1	0.0109933716959795	7.19201069959719	0.0111700268305369	0.916102312953411	0.997557504590949
ARHGAP24	0.196270536429341	2.17026367310081	0.725960226908184	0.396817319970354	0.972120196028567
ARHGAP5	-0.000799886538722683	6.22434862450174	1.84450457785747e-05	0.996584300355315	0.999776595574132
ARHGDIA	0.0280902170612396	8.24867516731414	0.0552352751597083	0.81481074912398	0.997532852180197
