GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
ALG3,0.3670722176,0.9694146723,1.0,0.1141173467040062,0.5927334417,0.2698615703,0.04873037,0.3672264336,0.4661445065
GALNT15,0.0,0.0,0.0,0.0,0.6498280108,1.0,1.0,1.0,0.4562285014
ALG8,0.070167683,0.2377987971,0.5,1.0,0.6435221956,0.2729346685,0.0921920655,0.398367227,0.4018728296
QSOX2,0.2907846192,1.0,0.5,0.03022189438343048,0.3009137386,0.2174626406,0.3424718653,0.3785258719,0.3825475787
HSP90AA1,0.250324949,0.8935743964,0.5,0.05070444941520691,0.4477368348,0.4109893855,0.0,0.3515106894,0.3631050881
RAB31,0.1264916646,0.0,0.0,0.0,0.4564517578,0.6556066197,0.9025918109,0.7069758958,0.3560147186
ERP27,0.0,0.0,0.5,0.0,0.2362713456,0.8471942927,0.3889940429,0.8447971296,0.3521571014
UBE2J1,0.0345356565,0.0,0.0,0.0,1.0,0.4656080719,0.5704518516,0.6086937295,0.3349111637
RAB15,0.0,0.2158510427,0.5,0.01813383214175701,0.0683257562,0.4293659569,0.5867047529,0.6135944281,0.3039969711
TXNDC5,0.0,0.0,0.0,0.0,0.2579368427,0.6444408314,0.69797187,0.7701566137,0.2963132697
DPM2,0.7346932768,0.0,0.5,0.028284583240747452,0.4841010049,0.2424588871,0.0,0.3041584638,0.286712027
AGR3,0.198643491,0.0,0.0,0.0,0.1786791409,0.7629332501,0.3755791792,0.7321594711,0.2809993165
STT3A,1.0,0.8147787409,0.0,0.0,0.1883548067,0.1146801445,0.0,0.1285792951,0.2807991234
GALNT18,0.1010837849,0.0,0.0,0.0,0.1412741544,0.6805110981,0.6398100169,0.6619259311,0.2780756232
DNAJB9,0.0,0.0759935085,0.0,0.0,0.621143035,0.6009995369,0.275806094,0.6183378193,0.2740349992
KIF20A,0.6066876894,0.0092756752,0.0,0.0,0.1649308031,0.1550120276,0.6143402602,0.5533604102,0.2629508582
DOLK,0.0157877287,0.0165256673,0.5,0.0,0.8537609985,0.31387023,0.0,0.3413963692,0.2551676242
HSPH1,0.0725616062,0.0203353174,0.5,0.0,0.0201431223,0.4042357703,0.374820402,0.4885325764,0.2350785993
JUN,0.094188154,0.0705829943,0.0,0.0,0.2184954582,0.2983835975,0.4673161896,0.665913048,0.2268599302
AP3M2,0.1744035472,0.3097405158,0.0,0.0,0.1138705692,0.3606438374,0.3316046723,0.461635955,0.2189873871
RAB3IP,0.7149414079,0.0447084777,0.0,0.0,0.1360462616,0.2270060919,0.1630766661,0.3953042138,0.2101353899
WDR38,0.0930276008,0.0,0.5,0.0,0.4088819078,0.3509011585,0.0,0.2853919004,0.2047753209
KIF23,0.2499969661,0.4445658283,0.0,0.0,0.0009681633,0.0300029486,0.4592651116,0.4377545836,0.2028192002
B3GNTL1,0.0925665997,0.7989764205,0.0,0.06577684730291367,0.0934247406,0.2473516464,0.0,0.3206055758,0.2023377288
BCL2,0.0,0.0,0.5,0.0,0.1850661136,0.4295270499,0.0,0.5001495154,0.2018428349
HSP90AB1,0.3679410636,0.432725073,0.0,0.21045979857444763,0.1006303246,0.2481887687,0.0,0.2517718592,0.201464611
DPP6,0.0292619621,0.1331036119,0.0,0.0,0.2648934597,0.4218307272,0.1920543395,0.5297895977,0.1963667123
ARAP3,0.0828855755,0.0,0.0,0.0,0.0282872994,0.3825518293,0.551078484,0.5160590666,0.1951077818
TBC1D30,0.0816809923,0.1166133117,0.0,0.0,0.0930023476,0.3484548607,0.4034439564,0.5031893302,0.1932980999
ARHGEF1,0.6239535252,0.0,0.0,0.0,0.4356246141,0.1789805949,0.0,0.2572919278,0.1869813328
DDIT3,0.0,0.0,0.0,0.0,0.1318125162,0.753463848,0.076827721,0.5305646842,0.1865835962
SRPRB,0.03180152,0.1910288524,0.0,0.0,0.6042626469,0.3141325415,0.0,0.3361450773,0.1846713298
CANX,0.7582501849,0.0,0.0,0.0,0.5238956204,0.0875883881,0.0,0.0879473774,0.1822101964
HAS3,0.0345356565,0.0,0.0,0.0,0.074295789,0.5278023394,0.2409467824,0.5724543578,0.1812543656
EIF2AK2,0.0605850943,0.003951947,0.0,0.0,0.4870567812,0.455635287,0.0,0.4327352919,0.1799955502
RAB17,0.0,0.2004644295,0.0,0.0,0.3429861906,0.4654237954,0.0648220421,0.3320768463,0.175721663
