GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
BAX,0.5104869281,1.0,1.0,0.9999998807907104,0.4534148312,0.1324035557,0.3267662722,0.3083535632,0.5914281289
AGR3,0.0599124885,0.4998751279,1.0,0.08711279183626175,0.1022835977,0.8799040573,0.9173544288,1.0,0.5683053115
TUSC3,0.9317892966,0.262405145,0.5,0.14137183129787445,0.2560443949,0.4798087827,0.3365626095,0.5283376468,0.4295399633
MAN1A1,0.052163763,0.0760077312,0.0,0.07361409813165665,0.4537728714,0.8978246239,1.0,0.706250421,0.4074541886
GALNT7,0.0783964553,0.2615315032,0.5,0.10806363821029663,0.32640572,0.6473019276,0.5848073422,0.5083170487,0.3768529544
ERP27,0.1386786412,0.0,0.0,0.003051901236176491,0.0899764305,0.7798068659,0.831874797,0.9518122512,0.3494001109
TBC1D4,0.4525614339,0.7934159509,0.5,0.468720018863678,0.0875823675,0.0977653535,0.0028149568,0.3106886607,0.3391935928
ARAP3,0.0443672985,0.0150574244,0.5,0.0,0.3897592453,0.5265581231,0.6758281195,0.4626756146,0.3267807282
KDELR3,0.0432447208,0.0,0.0,0.0,0.3949134281,1.0,0.4660699849,0.569257996,0.3091857662
DPP6,0.4805609167,0.2728651138,0.5,0.0,0.1655469687,0.2376928217,0.2251671789,0.3569720237,0.2798506279
AP1S1,0.5044655985,0.2501168408,0.0,0.032451990991830826,0.5910118672,0.3318310156,0.1675214084,0.2887658387,0.27077057
CTSA,1.0,0.0,0.0,0.019536642357707024,0.0031583664,0.3215819232,0.3384333774,0.3029951242,0.2482131792
GALNT5,0.0480040935,0.0,0.5,0.0,0.0183892024,0.7415521016,0.1662185657,0.4436698346,0.2397292247
MGAT3,0.173901307,0.0847838975,0.0,0.0,0.1435294887,0.5551657474,0.3451277882,0.5510327635,0.231692624
GLT1D1,0.6250682245,0.2603854948,0.0,0.0,0.0745933308,0.6345719507,0.0,0.1692633391,0.2204852925
