GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
RAB29,0.2792547583,0.5331365911,1.0,0.20204535126686096,0.3427149842,0.7092962803,0.8021357008,0.8350118583,0.5879494405
COPZ2,0.1558331171,0.0,1.0,0.4168243706226349,0.4113324073,0.757207365,0.7326627636,0.98729255,0.5576440717
MICALCL,0.0969317021,0.0,1.0,0.27916955947875977,0.2153227746,0.460501291,1.0,1.0,0.5064906659
SNAP47,0.5024996934,0.2792619474,0.0,0.3968786597251892,1.0,0.6427806321,0.4463205798,0.5544472208,0.4777735917
RAB34,0.1897620947,0.4392690829,1.0,0.0,0.2714970796,0.2773781199,0.6883276549,0.5419227508,0.4260195978
TBC1D16,0.1645030199,0.2179688783,0.0,0.021206999197602272,0.6645674333,1.0,0.5575133997,0.7548350659,0.4225743495
NSFL1C,0.1051972632,0.4576916402,1.0,0.2709140181541443,0.7780716424,0.260477964,0.1048402646,0.3360836473,0.414159555
INPP5E,0.276175783,0.0459149484,0.0,0.21764305233955383,0.6942319177,0.9298192168,0.4917440932,0.6400202907,0.4119436628
DDIT3,0.2941753596,0.1410265574,1.0,0.011798730120062828,0.2813411771,0.429255337,0.4454425835,0.5939053684,0.3996181391
DNAJB9,0.1806173201,0.406297367,0.0,0.7314507365226746,0.1843787373,0.5083526402,0.5791497257,0.5695753179,0.3949777306
RUFY1,0.4448402797,1.0,1.0,0.4031839966773987,0.1295336761,0.1556285535,0.0,0.0179817539,0.3938960325
SAR1A,0.2291709471,0.5026594292,1.0,0.3544594645500183,0.3422402984,0.2618862821,0.111585107,0.3027123444,0.3880892341
STX1B,0.5374442213,0.2370645076,1.0,0.0,0.1702619218,0.3493791312,0.2542203491,0.4551091847,0.3754349145
UBA7,0.3745811857,0.7217332541,0.0,0.1688806414604187,0.6162388485,0.5333439203,0.0900181212,0.4869606041,0.3739695719
RAB40B,0.3424567179,0.1579530482,0.0,0.35665929317474365,0.3895841959,0.6402935517,0.4604856208,0.5803780515,0.3659763099
RAB39B,0.2461089137,0.6659532974,0.0,0.5083949565887451,0.2721033425,0.3027506891,0.4264352921,0.4998240999,0.3651963239
PARK2,0.287106403,0.1355762004,0.0,0.0,0.6841003534,0.6552238636,0.5010590847,0.6578562801,0.3651152732
TBC1D12,0.03309863,0.0398353663,1.0,0.03421454876661301,0.2226623318,0.3888217932,0.5281361963,0.5697014506,0.3520587896
BCL2,0.3142820777,0.2618280639,1.0,0.5491600632667542,0.0976001996,0.1161127385,0.1693555041,0.2457287124,0.3442584199
BAX,0.4013397772,0.8133592967,0.0,0.8233019113540649,0.1228524415,0.0139175488,0.1827233982,0.3634367213,0.3401163869
TBC1D2,0.7217538145,0.0250445173,0.0,0.0703447237610817,0.1585861855,0.5306393722,0.5096512674,0.694957719,0.3388722
DNAJA2,0.2447310194,0.2628612724,1.0,0.04973668232560158,0.459677184,0.3830136299,0.0,0.3083596881,0.3385474345
RAB9B,0.4883242823,0.0607542669,0.0,0.046457502990961075,0.4466765185,0.3112667,0.5674214871,0.7789709132,0.3374839589
SEC13,0.3505627435,0.0891407014,1.0,0.17412887513637543,0.6356229445,0.1780679591,0.0,0.2075562113,0.3293849294
KDELR2,0.1151218039,0.0,0.0,0.0,0.9613973686,0.4606118336,0.46732157,0.5959339865,0.3250483203
DNAJB11,0.2343336457,0.6771343449,1.0,0.43451544642448425,0.0825568514,0.090716101,0.0,0.074797646,0.3242567544
SEC61G,0.1101466449,0.3603922948,0.0,0.12883077561855316,0.4046025784,0.3784317284,0.5525251937,0.5831967964,0.3147657515
TRAPPC2,0.3697286705,0.3080170291,0.0,0.4379211664199829,0.4851968972,0.5819754216,0.0,0.2934799764,0.3095398952
HSPA1L,0.1037580756,0.7793727854,0.0,0.04592163860797882,0.2525679968,0.3465430434,0.4555743039,0.462706548,0.305805549
UBE2G2,0.3009850422,0.5777691944,0.0,0.3426505923271179,0.4137426415,0.3846427648,0.0703967906,0.2924858044,0.2978341038
EVI5,0.06619726,0.0726395398,0.0,0.010200697928667068,0.5266693684,0.5084862822,0.590826382,0.6052709911,0.2975363152
TBC1D17,0.2962704393,0.0,0.0,0.10304863750934601,0.7757449492,0.4377897111,0.3013559162,0.4468720971,0.2951352188
ABO,0.2599505368,0.2951416138,0.0,0.6954159736633301,0.1202651637,0.3240210025,0.2708418503,0.3691722386,0.2918510474
COG4,0.5140233453,0.0,0.0,0.04488954320549965,0.7895706153,0.5056573052,0.0412481395,0.4240040884,0.2899241296
STX19,0.239551416,0.0082287181,0.0,0.004997813608497381,0.309726896,0.5911982813,0.4521962149,0.7115402007,0.2896799426
MCF2L,0.5107662314,0.395324579,0.0,0.03517262265086174,0.2057586279,0.3106838613,0.3905288291,0.4613134797,0.2886935289
DPM1,0.2482397248,0.0705343422,0.0,0.14295172691345215,0.5830647964,0.4968623888,0.3131988474,0.4513132856,0.288270639
GALNT5,0.5889725242,0.1735602923,0.0,0.12736833095550537,0.1478639547,0.2341049015,0.4763636633,0.5291439014,0.284672196
NCKIPSD,0.2576674265,0.1522466452,1.0,0.011477848514914513,0.2986051951,0.2791216213,0.0,0.2300763778,0.2786493893
RAB20,0.3691979017,0.137190474,0.0,0.429078608751297,0.2933057856,0.1435987052,0.3545860863,0.4991681467,0.2782657135
STX4,0.3775375169,0.488915977,0.0,0.03682456165552139,0.7061587516,0.3089832629,0.0153173887,0.2900738744,0.2779764166
HSPA1B,0.0745123309,0.5222571015,0.0,0.047122057527303696,0.2312485471,0.4067008049,0.3543535286,0.5564905389,0.2740856137
RABGEF1,0.1878822109,0.5803221475,0.0,0.28269317746162415,0.4523683198,0.1645009972,0.1603321051,0.3624830595,0.2738227522
UBXN2A,0.1959466172,0.508016574,0.0,0.028704019263386726,0.3736204855,0.474596869,0.1858116515,0.4231590994,0.2737319145
PIGH,0.4182881372,0.3354036047,0.0,0.0,0.4068397004,0.4147167894,0.1646846992,0.4465437994,0.2733095913
MOGS,0.2132406488,0.9941060201,0.0,0.1403844952583313,0.3967890447,0.194417505,0.0,0.2376211921,0.2720698632
ALG13,0.5920700954,0.4170215034,1.0,0.017138253897428513,0.0525061281,0.0881424608,0.0,0.0003632651,0.2709052133
BAG2,0.33548569,0.6163925453,0.0,0.08116570115089417,0.3289095042,0.297237166,0.1286785963,0.3669672075,0.2693545513
TBC1D10A,0.0716420562,0.3649004496,0.0,0.06064106896519661,0.4560964854,0.4425144796,0.2797579682,0.4554832536,0.2663794702
RAB25,0.3815177201,0.1895593178,1.0,0.2921768128871918,0.067187156,0.1320950376,0.0,0.0618180229,0.2655442584
FBXO2,0.1660450603,0.340541184,1.0,0.13260993361473083,0.0461348518,0.0177987889,0.1909643006,0.2301330611,0.2655283975
GALNT12,0.142368353,0.6739072694,0.0,0.05154256522655487,0.2813556722,0.6231879093,0.0104112797,0.3358061106,0.2648223949
ARHGEF7,0.3620660276,0.3566207058,0.0,0.0,0.5092201533,0.5027778773,0.0076416452,0.3774854219,0.2644764789
RAB33A,0.2041082182,0.0,0.0,0.045865871012210846,0.2431235739,0.448184102,0.48417301,0.6810284236,0.2633103998
