GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
SEC11A,0.1517212363,0.4666447614,1.0,0.03975948318839073,0.7350642723,0.8000232607,0.913257489,0.594151589,0.5875777615
GALNT16,0.2372555252,0.108252404,1.0,0.053143568336963654,0.1521416332,0.9998001323,0.8580981038,1.0,0.5510864209
BAK1,1.0,0.8196558509,1.0,0.09151127189397812,0.2636243992,0.4036339143,0.310600549,0.3650348948,0.53175761
EIF2AK2,0.5919198016,0.7129750825,1.0,0.01227471325546503,0.0771564395,0.2155092822,0.4130839601,0.4125167596,0.4294295048
HSPA4L,0.1631254775,0.0251343555,0.0,0.04699317365884781,0.3625540696,0.823352696,1.0,0.9149560811,0.4170144817
GALNT10,0.4844884073,0.0501222436,1.0,1.0,0.1382338217,0.4309292129,0.0,0.1583388613,0.4077640684
UBE2E2,0.3267521478,0.2480820855,1.0,0.02729790471494198,0.1764080519,0.5515354726,0.4096343245,0.5108842115,0.4063242748
DDIT3,0.2280304971,0.0957338275,0.0,0.00023686379427090287,0.2239450944,1.0,0.8910676748,0.7567459396,0.3994699871
SEC16A,0.5315868365,0.5541343988,0.0,0.1976073533296585,0.5781650896,0.6891146564,0.2103227696,0.3652417012,0.3907716007
ARFGAP3,0.2832445938,0.3649599599,0.0,0.036936204880476,0.4001809616,0.8065116945,0.5859249962,0.6162746104,0.3867541277
CAPN2,0.3756949381,0.3076353557,0.0,0.0385240837931633,0.3936585292,0.527207793,0.6768289742,0.6025337988,0.3652604341
ALG3,0.2268525198,0.3438253506,1.0,0.16987809538841248,0.3384975295,0.3039629814,0.1958205001,0.3296622377,0.3635624018
UBE2D2,0.0456931126,0.0374241343,1.0,0.029772117733955383,0.1934832378,0.5723329633,0.4501951935,0.4921590018,0.3526324701
SYTL2,0.0485446942,0.0198685851,0.0,0.033260464668273926,0.3030133728,0.8845733606,0.6454382033,0.8423976188,0.3471370374
GANAB,0.064647075,0.0430458855,0.0,0.015504715032875538,0.4895305829,0.6441909898,0.8977994351,0.502702028,0.3321775889
ARHGAP1,0.182816021,0.0644375749,1.0,0.0531177818775177,0.2324542759,0.5087804955,0.2576944543,0.3398764926,0.329897137
RAB39B,0.711728053,0.3007976873,0.0,0.11178908497095108,0.0964474276,0.4390168745,0.4713797541,0.4506922722,0.3227313942
STX8,0.5325995751,0.7252366632,0.0,0.18215595185756683,0.1927180807,0.3332575083,0.2222246287,0.258520366,0.3058390967
VTI1A,0.1650964872,0.0030852586,0.0,0.0023084054701030254,0.5177037586,0.7275717606,0.5534235897,0.4745962431,0.3054731879
RAB26,0.1570353291,0.0,1.0,0.02012711390852928,0.1190766497,0.4235457789,0.3242428242,0.3878469771,0.3039843341
UBQLNL,0.0402184889,0.0211015048,0.0,0.03530050814151764,0.227575283,0.7521175541,0.6842552043,0.6710501878,0.3039523414
AP3B2,0.2932112351,0.6794009588,0.0,0.18088291585445404,0.1381040897,0.3715264379,0.3040024246,0.3772874432,0.2930519381
ATXN3,0.0945427083,0.0785579739,1.0,0.00869667436927557,0.1738959659,0.3712644243,0.2814422813,0.3224960854,0.2913620142
GXYLT2,0.1105187472,0.0563994801,0.0,0.03004562482237816,0.2346288479,0.6889737726,0.542609803,0.5910584072,0.2817793354
TBC1D2,0.2851202344,0.1847110194,0.0,0.0,0.2595686749,0.5585835256,0.4448330271,0.5066549779,0.2799339324
PIGN,0.1088810622,0.0472627029,0.0,0.02082870341837406,0.3768017725,0.594896919,0.5925616341,0.476224325,0.2771821399
TBC1D22A,0.0798963574,0.0512678051,0.0,0.0,0.7626576105,0.5901462494,0.2580921648,0.3898616277,0.2664902269
TMX4,0.3898809251,0.6012742523,0.0,0.01702762395143509,0.1562551535,0.3867564171,0.1815189945,0.3600284989,0.2615927332
UBXN6,0.1545837326,1.0,0.0,0.05419517308473587,0.401024308,0.2725726747,0.0,0.1586247774,0.2551250832
WDR38,0.2474747105,0.2094226636,1.0,0.06865305453538895,0.0371790653,0.1547072348,0.1434199071,0.1735296735,0.2542982887
BCAP31,0.1172289731,0.1422360663,0.0,0.002141144359484315,0.3882972476,0.6159220341,0.3746116895,0.3898086395,0.2537807243
MGAT1,0.1480095886,0.1112185792,1.0,0.03242658078670502,0.1231688888,0.2598518264,0.0766079753,0.2480478857,0.2499164156
TBC1D22B,0.1277584323,0.0465351064,1.0,0.004595300182700157,0.3564076777,0.28624061,0.0,0.1772709859,0.2498510141
GXYLT1,0.0456480027,0.0103979785,0.0,0.0,0.2780852837,0.6977651288,0.4914759632,0.4739862819,0.2496698298
RABGAP1L,0.1628874143,0.1379879363,1.0,0.06618443131446838,0.1933471636,0.2206251701,0.0,0.2087242431,0.2487195448
RAB11A,0.0436980068,0.1097428453,0.0,0.002528380136936903,0.3148570177,0.6050185686,0.4283887653,0.4714262323,0.246957477
USE1,0.0545515478,0.4846700182,0.0,0.0,0.3449660324,0.3895024992,0.3460005537,0.3523662053,0.2465071071
SRPRA,0.2265497065,0.0780887699,0.0,0.0015763185219839215,0.5262231633,0.6687309345,0.1096603387,0.3386670179,0.2436870312
GALNT8,0.1989253044,0.033832401,1.0,0.07520122826099396,0.1470235022,0.1441108962,0.0900169918,0.2522785281,0.2426736065
MCF2L,0.0831861011,0.1234352623,0.0,0.044342171400785446,0.3463443012,0.4412322825,0.4447612541,0.4408309936,0.2405165458
GALNT13,0.0690100494,0.0,0.0,0.0,0.2653283247,0.6263174586,0.490266595,0.4674220891,0.2397930646
