GeneNames,ExtraTreesClassifier,RandomForestClassifier,AdaBoostClassifier,XGBClassifier,LinearDiscriminantAnalysis,SVC,LassoRegression,RidgeRegression,Average
HSP90AB1,0.4177853676,1.0,0.3333333333,0.32332664728164673,0.4502876752,0.4697943249,0.1583730452,0.555012718,0.4634891389
ALG10B,0.4183490631,0.3976616186,0.3333333333,0.1829652041196823,0.2604635293,0.7313347004,0.5061841005,0.7974534748,0.453468128
BET1L,0.8162035151,0.0,0.3333333333,0.16070447862148285,0.4047419951,0.6430425393,0.5452669482,0.6881672192,0.4489325036
RAB36,0.3652578151,0.1196994209,0.0,0.0,0.1275619705,1.0,0.752037475,1.0,0.4205695852
B4GALNT1,0.2465490252,0.8727513995,0.6666666667,0.4243793189525604,0.0487393221,0.4197613393,0.1955581284,0.4541873711,0.4160740714
DNAJC5B,0.0,0.5365039833,0.0,0.0,0.1948403532,0.8804004473,0.7232637659,0.9042809428,0.4049111866
FBXO6,0.0,0.0,0.0,0.09331665188074112,0.2052743078,0.9143513715,1.0,0.9915569896,0.4005624151
DDIT3,0.1753237512,0.4534624972,0.0,0.0,0.209737451,0.777565565,0.6872289675,0.8987701023,0.4002610418
IQSEC3,0.1643660168,0.3521794583,0.3333333333,0.0,0.0737886895,0.7138385407,0.417930583,0.8828170882,0.3672817137
AGR3,0.4636251278,0.0,0.0,0.0,0.0790777841,0.8962814491,0.4968150354,0.9356320817,0.3589289348
AP3S1,0.0,0.0,0.3333333333,0.8502182960510254,0.5170870865,0.4864648158,0.1295764385,0.5038573787,0.3525671686
CRYAB,0.146103126,0.0,0.0,0.369730681180954,0.0573436301,0.8569997093,0.4627204556,0.9044341191,0.3496664652
RAB40C,0.4962058112,0.0,1.0,0.20207096636295319,0.2505669624,0.3840727413,0.0,0.4302237544,0.3453925295
TBC1D22A,0.0,0.6410349088,0.0,0.02952893078327179,0.3797618059,0.5713167784,0.2771659231,0.5638074822,0.3078269786
STX16,0.2493549329,0.4035776833,0.0,0.0,0.1528284071,0.5352748821,0.3942619771,0.6689229046,0.3005275984
STX1A,0.2723319298,0.0,0.0,0.0,0.2776899102,0.7017506992,0.3745175862,0.7749166198,0.3001508432
UBQLN4,0.2107256626,0.8242166457,0.0,0.6053615212440491,0.12834677,0.2861007649,0.0,0.3339319661,0.2985854163
SEC31B,0.6207920893,0.5370216095,0.0,0.0781337097287178,0.1030529598,0.3411364812,0.1978949614,0.4867205817,0.2955940491
