pspGenes	logFC	logCPM	F	PValue	FDR
A3GALT2	0	NA	NA	1	1
ABO	-1.02470859380225	1.76496818911456	3.75959146451401	0.0573971492281202	0.551725508793922
ACAP1	0.478926390180732	2.7263899830952	2.49785641747643	0.119463715566088	0.66356261298645
ACAP2	0.0741164042268721	5.47525159318381	0.158925144570461	0.691618316680366	0.947613486087858
ACAP3	-0.253292161812313	5.44905812347304	1.03700538285933	0.312766473257692	0.810959595845794
AGAP1	-0.140817648755974	5.89329630986017	0.466818341838783	0.497186733428253	0.891217080759493
AGAP2	-0.773909623586604	3.55346641577271	1.93869097072574	0.169149369885067	0.713779509633972
AGAP3	-0.0946760125953464	6.98850393405487	0.199264692214335	0.656984485921433	0.939805270039426
AGR2	0.445226710368798	5.3326264569739	0.335904864539865	0.564456924990691	0.912525536339089
AGR3	-1.32398083839731	1.86050334230062	2.59937508794564	0.112358319502085	0.658529913805081
AKAP10	0.112855509063135	4.47472400336434	0.333798988412625	0.565676699200327	0.912897067029402
ALG1	-0.0414964338170845	4.10384395268482	0.0453149175395317	0.832175706349751	0.974711651551051
ALG10B	0.293996977128108	3.97123328399637	1.47116942803619	0.230099697911263	0.763839178356479
ALG11	-0.104849508210569	2.68849650930283	0.201231319753278	0.655407565526429	0.939769076582933
ALG12	-0.0711333576258498	3.56309790891897	0.148414403575772	0.701470626478334	0.949607870799154
ALG13	-0.00266671462806615	4.47288017783551	0.000233422104171839	0.987862931122161	0.997144394635129
ALG14	-0.0814129088890752	3.48591756574798	0.184943553098122	0.668759425107795	0.941861003339704
ALG1L	0.14676765873651	0.839059127874375	0.082462359657207	0.775015740005402	0.966359506105922
ALG1L2	-0.278657122554229	-0.155658407737805	0.697189411173077	0.407170896039257	0.859527794519345
ALG2	0.259843839761097	4.76223565135235	2.5584364856372	0.115164506416494	0.660102138251971
ALG3	0.139814372188994	6.2905073638817	0.458116658700335	0.501207822521464	0.892787512153329
ALG5	-0.0217341227060769	4.83197415858739	0.010984228095079	0.916893192097001	0.988756195537084
ALG6	-0.181427978872743	4.05529824864737	0.902798740991693	0.345992146414796	0.829963746218712
ALG8	0.331219282357113	5.53463317555861	4.13170946230517	0.0466936755711475	0.52569072702489
ALG9	0.0150803661619648	3.50295945490391	0.0068674322889606	0.934241519079406	0.991447741857114
AMFR	-0.0551954937401819	6.10807246591179	0.12358327064808	0.726459671486541	0.955086227450246
ANKFY1	0.147003096669919	5.63023674871203	0.498470172332207	0.483011809594339	0.88687872751543
AP1B1	0.0977520816633674	6.98325240635636	0.303195292918536	0.584010092521098	0.917553340064273
AP1G1	0.147027721265581	6.00811308253044	0.79726276114755	0.37561893051538	0.844501848706111
AP1M1	0.218730778962516	6.72672914289741	1.1266330968242	0.292913675742251	0.799398749491769
AP1S1	0.0502760493666691	5.90755634353656	0.0621348134586057	0.804037547877157	0.969111817059164
AP1S2	-0.0900746556938488	5.92904546673128	0.0958162869493827	0.758023427017781	0.961861626723067
AP3B1	0.0618823868970457	5.8768966813617	0.146126360805735	0.70366822500917	0.949607870799154
AP3B2	0.184555329026524	2.34969523627	0.211018227659444	0.64769511644186	0.937119371790905
AP3D1	0.00968910040908926	7.27776294849883	0.00465347892550969	0.945849017098848	0.992342972353069
AP3M1	-0.086797940559806	5.95288273476444	0.295962108836498	0.588519357038897	0.919641441102767
